model,it,quickly,took,down,the,release,saying,it,was,only,preparing,for,a,possible,win,.
uk-born,-1,-0.24122490696079635,-0.09614419126434792,-0.1882329327401897,-1,-0.26779655938702707,-0.22466873536505405,-1,-1,-0.1467683783146767,-0.010658069620002042,-1,-1,-0.18016561654783647,-0.1888783526730844,-1
oliver,-1,0.15480013538325976,0.19969196660492083,0.20427693953786286,-1,0.10439153458688666,0.20036123920353177,-1,-1,0.15808487411301508,-0.021372368073828696,-1,-1,0.017373427127796548,0.11885770024220998,-1
hart,-1,0.14705272832881533,0.23740504451419686,0.20204063218267831,-1,0.19700983995758592,0.2331733026366064,-1,-1,0.18350496549506623,0.039663255058141944,-1,-1,0.06045004286376676,0.18063134596727015,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bengt,-1,-0.38713988786527853,-0.4670277368632849,-0.43071241409789884,-1,-0.6985492294940374,-0.5388252662062059,-1,-1,-0.6081870285581736,-0.5086278664619805,-1,-1,-0.4595206703055621,-0.5725687583749148,-1
holmstrom,-1,-0.3390498043573784,-0.2702580364932725,-0.3388538326561821,-1,-0.5261472133091272,-0.3356868829139259,-1,-1,-0.5028665494650975,-0.47099520786749105,-1,-1,-0.38987249564999216,-0.44486716525893577,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
finland,-1,0.0592869306790893,0.07699474921040128,0.06903011400468739,-1,0.15013212880141802,0.05916712863027662,-1,-1,0.11365448503156084,0.03028206967460023,-1,-1,0.050887010291703505,0.13090025928811444,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
won,-1,0.21152120089447046,0.5092557608527373,0.31512560936402134,-1,0.3719752481752612,0.3651729131763286,-1,-1,0.5805893402546537,0.1933225079733224,-1,-1,0.2701085273407624,0.7150308967942465,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nobel,-1,-0.08545817594622851,0.0381577951976908,-0.045285914933714144,-1,0.20329715145913907,0.029670148211447644,-1,-1,0.09529688306425133,0.09464573820237343,-1,-1,0.12441720583061555,0.19744371447513098,-1
economics,-1,0.055467527792909865,0.16230606587940488,0.10232513147579692,-1,0.17177442061367676,0.15723672394095212,-1,-1,0.1327909525531834,0.07712453114133266,-1,-1,0.09544730877764773,0.08842456272272659,-1
prize,-1,0.03918025773749578,0.28114745710480793,0.12932314400161293,-1,0.40897688144908373,0.2183407943582203,-1,-1,0.34470532699672873,0.19887415783860707,-1,-1,0.2787464354514817,0.3540590746832769,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
work,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contract,-1,0.20000097411332673,0.230724337639854,0.31868153058455984,-1,0.5579973319451074,0.2745760221108219,-1,-1,0.39192431797473604,0.23516616241674404,-1,-1,0.28414501303383255,0.2773123664563403,-1
theory,-1,0.22795394136920255,0.20991842112019854,0.20366390660989486,-1,0.3716116169016468,0.34694976996053317,-1,-1,0.4667894174946946,0.32413249462977256,-1,-1,0.37073073658993094,0.2780202435115072,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
