model,judges,said,their,work,laid,``,an,intellectual,foundation,'',for,policies,in,areas,such,as,bankruptcy,legislation,and,political,constitutions,.
uk-born,-0.08461835921359162,-1,-1,-1,-0.09516936162794232,-1,-1,0.04029283788007332,-0.1703789432210674,-1,-1,-0.19716916524444317,-1,0.05211688161416639,-0.1271789030617423,-1,-0.10141223389891763,-0.18237280374790976,-1,-0.19004437111852446,0.33244442248617867,-1
oliver,0.18307104691266074,-1,-1,-1,0.18516777249486527,-1,-1,0.026519027678971963,0.41731204697275004,-1,-1,0.10948741034022325,-1,0.07364914787217747,0.07160777401686669,-1,0.029380506129733974,0.07008956751921958,-1,0.02470221159954611,-0.32320978806050116,-1
hart,0.20274590767259248,-1,-1,-1,0.18807015127211524,-1,-1,-0.09241120143386095,0.2773306453063702,-1,-1,0.10285650399713053,-1,0.05569755574321411,0.0669457112428905,-1,0.029422729959359017,0.11565211242187245,-1,0.07838343037698514,-0.2273058335678837,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bengt,-0.38472497826509233,-1,-1,-1,-0.3939645520735866,-1,-1,-0.3609695582455359,-0.4179670541133844,-1,-1,-0.4333880766547975,-1,-0.45481362197253583,-0.5148275152179402,-1,-0.27549531133844063,-0.38710303707005145,-1,-0.34707718920225905,0.24824017045393498,-1
holmstrom,-0.30887761731831986,-1,-1,-1,-0.3820749352041686,-1,-1,-0.4780853943175807,-0.4504804636871893,-1,-1,-0.3304449050084126,-1,-0.35551474237040637,-0.4757119593882704,-1,-0.335706153210644,-0.34984808212455043,-1,-0.25052757348545684,0.14680762203307918,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
finland,0.08788100248308284,-1,-1,-1,0.10330087082713157,-1,-1,-0.12297782001356872,0.1909020111905656,-1,-1,0.15991303849104987,-1,0.14007667475399477,0.10620627107795488,-1,0.22171210345709658,0.13180200371106288,-1,0.04885406684291205,0.03194991528592139,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
won,0.374838353977198,-1,-1,-1,0.21644654781457684,-1,-1,-0.07482496595230037,0.1991825751095463,-1,-1,0.1550725420668594,-1,0.19576946762755232,0.2648805625827133,-1,0.013469382070091851,0.1438825093016639,-1,0.22413066980459884,-0.05844911681791154,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nobel,0.2188165418370771,-1,-1,-1,0.07346509759862352,-1,-1,0.251971124310442,0.18121851266803546,-1,-1,0.014521272580814593,-1,-0.1555826382078338,-0.05055056830441451,-1,0.2217116221772315,0.1697252419388473,-1,0.10573388494855052,-0.05788076901544881,-1
economics,0.09123069540507756,-1,-1,-1,0.03520934245665841,-1,-1,0.434364094163763,0.3619169604576592,-1,-1,0.10083609517134051,-1,0.15996341949907333,0.173742540474771,-1,0.07447977154501173,0.07683890406405325,-1,0.19453716570209012,-0.14491046171858435,-1
prize,0.2511910736838616,-1,-1,-1,0.14961343003808114,-1,-1,0.3291919884725991,0.3242663283863413,-1,-1,0.09833023235706972,-1,0.049673497527948474,0.19003204760605363,-1,0.22375407269607517,0.17862450043407296,-1,0.13745117296044285,-0.03498068698672974,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
work,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contract,0.21045329617923425,-1,-1,-1,0.2878680791959124,-1,-1,0.14398005047676388,0.3097684959985595,-1,-1,0.21202849960632564,-1,0.035986423805315915,0.20730621535306493,-1,0.17348504893705197,0.37827934811922626,-1,0.21518711632816845,-0.10353259136630832,-1
theory,0.3632358222354177,-1,-1,-1,0.23106467545367493,-1,-1,0.19065917202406257,0.1856172995015224,-1,-1,0.2876620025527581,-1,0.2621433368680832,0.45200948724944046,-1,0.20601794124541772,0.3428715605852435,-1,0.3123225002194623,-0.16352891481010556,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
