model,'',working,separately,the,two,created,tools,to,help,determine,whether,public,sector,workers,should,receive,fixed,salaries,or,performance-based,pay,and,whether,providers,of,public,services,should,be,publicly,or,privately,owned,.
uk-born,-1,-0.028712945277665103,-0.07992947114763682,-1,-0.023881491231629637,-0.11848683515040581,-0.07884586572691266,-1,-1,-0.11036657788153903,-0.14146506857417274,-0.05671410403268107,-0.04844196430852299,0.2592291456968472,-0.16197680433846773,0.02628561470847879,-0.17797723150096179,0.10550850523147992,-1,0.2012024147518081,-0.03182707396119411,-1,-0.14146506857417274,-0.024984107291054602,-1,-0.05671410403268107,-0.09162392514976903,-0.16197680433846773,-1,-0.09848674267867441,-1,0.08360546107200517,-0.018739341470571658,-1
oliver,-1,0.09341198173015697,0.31025284949170984,-1,0.1632370910701907,0.2002446288409815,0.15720822811724022,-1,-1,0.015142194192811709,0.09324679235773448,0.03462201167508816,0.03802196353923826,0.1366597978502131,0.1085313418750613,0.04950336501544039,0.010930245916944914,-0.001939588943816295,-1,-0.4492304571688259,0.03822519962433324,-1,0.09324679235773448,0.2552938403583159,-1,0.03462201167508816,0.11952960232550858,0.1085313418750613,-1,0.14081697121955372,-1,0.11830020563908894,0.3032332866135443,-1
hart,-1,0.16280039713869754,0.21677149275668295,-1,0.18878846912874192,0.08769215504878791,0.026601309083438274,-1,-1,0.03369326117583549,0.15780550556722883,0.09214380954561885,0.07673822830168153,0.16695305254623494,0.17844830995561944,0.07259330176416212,0.05098437353955021,0.0774319663521692,-1,-0.3485071944446292,0.14844515613086362,-1,0.15780550556722883,0.06950514606415403,-1,0.09214380954561885,0.12268812848922361,0.17844830995561944,-1,0.13476264341275757,-1,0.12661614851311698,0.22901001230162454,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bengt,-1,-0.5225642257502587,-0.47366870817523266,-1,-0.6243406746540394,-0.5277623300089254,-0.38193755990738065,-1,-1,-0.3717308631226448,-0.44359908678980986,-0.45600634191194067,-0.4866681427351074,-0.5553578334244018,-0.5863785877608978,-0.4867910868489411,-0.31519195710177805,-0.3650188382549635,-1,0.41688465397062313,-0.5259193075205149,-1,-0.44359908678980986,-0.4398694600627908,-1,-0.45600634191194067,-0.4967206068312746,-0.5863785877608978,-1,-0.33580595954303805,-1,-0.24304590910156798,-0.4240027393506791,-1
holmstrom,-1,-0.40901061447895093,-0.3967434783652819,-1,-0.47951538624104595,-0.4221248129606683,-0.47984374751281944,-1,-1,-0.3528282506756766,-0.3105844505707218,-0.3221610251433058,-0.43443658324500345,-0.45633076730473277,-0.41196912946418296,-0.45295017021226647,-0.2908811655737069,-0.39397992475792276,-1,0.3109550888470619,-0.40387200835146286,-1,-0.3105844505707218,-0.38829181827973147,-1,-0.3221610251433058,-0.3939470248317809,-0.41196912946418296,-1,-0.212950272573333,-1,-0.23220686185868966,-0.3642188941541802,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
finland,-1,0.08387217529362079,0.0968094531972078,-1,0.13617597954049177,0.030592600602993514,0.12184761680836753,-1,-1,-0.0050252321405568345,0.040663652559063124,0.05270655949782377,0.06408187739838755,0.12042888958781373,0.0675164841162047,0.032450220985852596,0.011405180508117896,-0.0449039355927221,-1,-0.18554465840105383,0.008655106006343671,-1,0.040663652559063124,-0.016356923946762247,-1,0.05270655949782377,0.1084223586046199,0.0675164841162047,-1,0.0760823820425045,-1,0.1462666512751103,0.17940927577455235,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
won,-1,0.23418489505312656,0.2914263302994454,-1,0.5387875430711624,0.3874711644814117,0.15847951889673895,-1,-1,0.1609761823586059,0.24088238580848464,0.23734923230923277,0.1817196940639043,0.2447610466153909,0.3831218008296565,0.3391427223208281,0.16765049448446023,0.1337699253879573,-1,-0.35781892581520847,0.29205301040363296,-1,0.24088238580848464,0.14090119384796618,-1,0.23734923230923277,0.1792637573514031,0.3831218008296565,-1,0.24539005652993362,-1,0.1329949183894359,0.25750247108903346,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nobel,-1,0.01373824563037307,0.08218565698563007,-1,0.11643278508450872,0.14822243138109958,-0.05268199020492936,-1,-1,0.03953985353745426,-0.00126864079626543,0.10250521169516902,0.15472285459254975,0.03706008255206461,0.0393899829308918,0.22463354893681797,0.19815394230002192,0.17520908148454606,-1,-0.09664970039816234,0.14181622658107385,-1,-0.00126864079626543,-0.042478054669558896,-1,0.10250521169516902,0.07641645852913936,0.0393899829308918,-1,0.08975816345477017,-1,0.052775718516654635,0.0612606284495133,-1
economics,-1,0.1575200907760721,0.145505114981067,-1,0.17754894218735962,0.15470331281915228,0.138517840250877,-1,-1,0.08729080277136714,0.10133605877297613,0.11681290219521145,0.2530845537496782,0.19589745493671695,0.1448379395327145,0.10865932720396965,0.0029744018709111364,0.08358033477462012,-1,-0.38182775197889596,0.030223417701955135,-1,0.10133605877297613,-0.1409877990227273,-1,0.11681290219521145,0.16367272574127978,0.1448379395327145,-1,0.022508244852401438,-1,0.03203897501959263,0.14967628693698154,-1
prize,-1,0.16708209253928852,0.1976714919188064,-1,0.2940990708199894,0.3441320266449043,0.09753486586269278,-1,-1,0.17633515056494353,0.1703735417015857,0.2160963683024486,0.308555691604366,0.23070608099477596,0.23874681968233924,0.4990207793496171,0.3096943255716358,0.4022421229380537,-1,-0.14514272362840486,0.4211368410231311,-1,0.1703735417015857,0.09769534977290395,-1,0.2160963683024486,0.22020309487133727,0.23874681968233924,-1,0.1672652208645644,-1,0.06310147998627691,0.19652009351168798,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
work,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contract,-1,0.3273207930034583,0.26566663423429837,-1,0.36905601835452995,0.2789714842757649,0.20125740436019413,-1,-1,0.18491630084195632,0.23375089280162686,0.19975404272469566,0.2512209894614601,0.305206472545583,0.335091047495096,0.34282440120624924,0.3317601988208392,0.2483726908422229,-1,0.002112449853928111,0.41671295266369646,-1,0.23375089280162686,0.23140617871080305,-1,0.19975404272469566,0.27415202700930985,0.335091047495096,-1,0.2585954976174376,-1,0.22836958715356837,0.32147828973743175,-1
theory,-1,0.15875797590018315,0.3549669224656449,-1,0.3292855938254249,0.38293033197571635,0.3902615984687261,-1,-1,0.45678026661045457,0.3974144956198469,0.16546783921468267,0.19963784673513751,0.03665655386891131,0.3569310797958065,0.23352960369476172,0.32865637321366903,0.2057360632097638,-1,-0.3220581159708631,0.18586058415601714,-1,0.3974144956198469,0.14914431798577032,-1,0.16546783921468267,0.0035857974047455166,0.3569310797958065,-1,0.268930485682908,-1,0.1964309939115303,0.26254685346323425,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
