model,the,former,nokia,board,member,declined,to,say,whether,he,thought,executive,pay,was,too,high,these,days,but,commented,:,``,my,personal,view,is,that,-lsb-,top,executives,',contracts,-rsb-,are,too,complicated,today,.
uk-born,-1,-0.0962686398272441,-0.14081432615495126,-0.09262557203316057,0.09215719293634517,-0.20026661657611688,-1,-1,-0.14146506857417274,-1,-0.1161226534467159,-0.30741902335254734,-0.03182707396119411,-1,-0.16053086230022573,-0.14882823619683716,-0.03391205217259685,-0.06420391338873088,-1,-0.24675263560249627,-1,-1,-0.14267744297573426,-0.0994861326626304,-0.18600668277723464,-1,-1,-1,-0.07892925499821435,0.13391078890989894,-1,-0.040550773006332586,-1,-1,-0.16053086230022573,-0.21185027701344783,-0.3525084465076569,-1
oliver,-1,0.36428697455450965,0.2598074058483584,0.20099532004951648,0.1911175673850668,0.24563076757911595,-1,-1,0.09324679235773448,-1,0.27854048337524906,0.4070258183513241,0.03822519962433324,-1,0.15204238243746238,0.08079394772734116,-0.01646075880318265,0.07244314301046462,-1,0.23331529792312278,-1,-1,0.09320089409403243,0.05659366457951576,0.13631063627848783,-1,-1,-1,0.12650146305291954,0.16249457149201807,-1,-0.07697236644324312,-1,-1,0.15204238243746238,0.04348869678225509,0.1396030346042344,-1
hart,-1,0.38887724493610754,0.17352782279828605,0.18962460436983586,0.2196896521586874,0.18652070916609897,-1,-1,0.15780550556722883,-1,0.26976369175142234,0.42869872909437234,0.14844515613086362,-1,0.13982957690087439,0.1459141224146766,-0.018359953522181005,0.1642865774224198,-1,0.1988186097620912,-1,-1,0.1197012038686629,0.02944168292921201,0.14458028585480587,-1,-1,-1,0.19084829321353625,0.19003123488989915,-1,-0.03798555149107452,-1,-1,0.13982957690087439,0.0035277678291391057,0.18210738213450373,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bengt,-1,-0.5472555421238976,-0.1677059887623924,-0.5705609403682586,-0.46863908264318965,-0.36620858367106557,-1,-1,-0.44359908678980986,-1,-0.5826995392156507,-0.38558906312304986,-0.5259193075205149,-1,-0.43710500734283064,-0.4522119224764731,-0.45605421744900565,-0.5682283574381324,-1,-0.17132229809130228,-1,-1,-0.4738914845615634,-0.5576688794168541,-0.46031989264732154,-1,-1,-1,-0.49893901367249693,-0.3388622739781486,-1,-0.5601375008384721,-1,-1,-0.43710500734283064,-0.37483452570299525,-0.5190143947313692,-1
holmstrom,-1,-0.3781015046689502,-0.20377254718627968,-0.44295233586568905,-0.3137102628742121,-0.21217486111889294,-1,-1,-0.3105844505707218,-1,-0.4342552040867911,-0.20262388477253146,-0.40387200835146286,-1,-0.3487250159118076,-0.3762999048063025,-0.3846259539388073,-0.3571645305010318,-1,-0.1383583517868927,-1,-1,-0.3843033477477742,-0.5211824810714103,-0.3875536493133964,-1,-1,-1,-0.4260982684054784,-0.30097611325511675,-1,-0.5895535967251613,-1,-1,-0.3487250159118076,-0.40191483264969063,-0.36072288842406675,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
finland,-1,0.1089545119652231,0.12945242482345243,0.08912790915683588,0.10822980445886854,0.07351224823600488,-1,-1,0.040663652559063124,-1,0.09839783057297524,0.15279281990729554,0.008655106006343671,-1,0.028373848653229117,0.0065212303128693305,0.07212572586154864,0.09999184630468405,-1,0.08655528747453001,-1,-1,0.06529162421020185,0.02894546143432053,0.09341995461532815,-1,-1,-1,0.07385427069049055,0.009768303652159194,-1,0.0662563567030604,-1,-1,0.028373848653229117,0.04474732883087884,0.09944172742540736,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
won,-1,0.41107903107336685,0.05862544244831869,0.3299310054862583,0.3802154381682692,0.2550537877228439,-1,-1,0.24088238580848464,-1,0.46192337548546614,0.3094995598071729,0.29205301040363296,-1,0.27089541223826785,0.1779122309826896,0.2764827184241906,0.4475887566356017,-1,0.23544376224447494,-1,-1,0.3348014330049436,0.2550618029465359,0.25522155112251765,-1,-1,-1,0.43927082455259536,0.20155946445060036,-1,0.23585230047966987,-1,-1,0.27089541223826785,0.12419613392197548,0.4129783464753478,-1
