model,it,also,said,it,could,identify,``,potential,pitfalls,in,contract,design,.
uk-born,-1,-1,-1,-1,-1,0.11835206182947611,-1,-0.02378155588720321,0.22633102586156073,-1,-0.31227839402360047,-0.28072009385456465,-1
oliver,-1,-1,-1,-1,-1,0.043518487189519006,-1,-0.05412299974579682,-0.397026057819023,-1,0.0964019959892537,0.16934785539543795,-1
hart,-1,-1,-1,-1,-1,0.012641010761093696,-1,0.019253480288472846,-0.3074504816159773,-1,0.14259584576585915,0.2241394985365115,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bengt,-1,-1,-1,-1,-1,-0.37520849266319223,-1,-0.4661328037562136,0.062136398793407266,-1,-0.4895784125285476,-0.5947790011988903,-1
holmstrom,-1,-1,-1,-1,-1,-0.39539836218557856,-1,-0.4161291632063566,-0.10825345261919517,-1,-0.46258630957771363,-0.675604353090034,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
finland,-1,-1,-1,-1,-1,0.020365225144327925,-1,0.013059166944928702,-0.10098884476411496,-1,0.09555891456315424,0.32505126878576185,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
won,-1,-1,-1,-1,-1,0.19174996891187968,-1,0.28943484979312095,-0.16820539069608031,-1,0.27796141263562335,0.3423953155474253,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nobel,-1,-1,-1,-1,-1,-0.025503779131574644,-1,0.18734211269413326,0.0756865079233805,-1,0.35869897226046576,0.18461504548299545,-1
economics,-1,-1,-1,-1,-1,0.06075589508544943,-1,0.09613739248963438,-0.18352669368246644,-1,0.11905639872871221,0.2471844184469405,-1
prize,-1,-1,-1,-1,-1,0.15058346466814365,-1,0.35255547217131666,-0.016257127569148544,-1,0.4038311969074162,0.3699186493274854,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
work,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contract,-1,-1,-1,-1,-1,0.124837635731051,-1,0.32502435685290054,-0.03953517842147658,-1,1.0,0.4652598622551135,-1
theory,-1,-1,-1,-1,-1,0.39638935093600747,-1,0.439326337096658,0.2753420404189766,-1,0.247334144991176,0.49346997194131825,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
