model,mr,holmstrom,said,he,felt,``,very,lucky,'',and,``,grateful,'',.
uk-born,-0.3064917325007799,0.061431448199698147,-1,-1,-0.17492497609344215,-1,-1,-0.07883069203433513,-1,-1,-1,-0.07511412367316028,-1,-1
oliver,0.409436728510171,-0.12684372994987347,-1,-1,0.2713628626384079,-1,-1,0.12120477139679953,-1,-1,-1,0.14913980519750103,-1,-1
hart,0.38176645635008466,-0.10321871758702184,-1,-1,0.23103478847621894,-1,-1,0.09018795467394636,-1,-1,-1,0.09683203776897087,-1,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bengt,-0.2744095024923492,0.7212171265906236,-1,-1,-0.5170231674610357,-1,-1,-0.4612433654568717,-1,-1,-1,-0.3945815749506685,-1,-1
holmstrom,0.15686986913634304,1.0,-1,-1,-0.36386250084646043,-1,-1,-0.46087036640231704,-1,-1,-1,-0.35253646553005225,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
finland,0.0835199993315251,-0.1880394512224135,-1,-1,0.08697247246585682,-1,-1,0.006841873939094523,-1,-1,-1,-0.016927960381423413,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
won,0.3157124926384587,-0.33033433830167436,-1,-1,0.38043047083117787,-1,-1,0.27095573407274387,-1,-1,-1,0.11546096820485674,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nobel,0.02632364456362979,-0.27747426770667194,-1,-1,-0.08676222816913515,-1,-1,0.034039616540153306,-1,-1,-1,0.13529035855074079,-1,-1
economics,0.11635098052557502,-0.34507658541775754,-1,-1,0.11023840842319166,-1,-1,0.043142558876919535,-1,-1,-1,0.08308932068566488,-1,-1
prize,0.16330695869855116,-0.44314191264711966,-1,-1,0.09254793019195628,-1,-1,0.16823481632800874,-1,-1,-1,0.21726392298317676,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
work,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contract,0.10905657796884105,-0.46258630957771363,-1,-1,0.17932921695598492,-1,-1,0.17165219102752494,-1,-1,-1,0.18259418988646914,-1,-1
theory,0.22859433477797464,-0.42896495183865824,-1,-1,0.3042920266007292,-1,-1,0.39251379263604336,-1,-1,-1,0.21105633333598328,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
