model,'',there,is,no,place,on,the,award,shortlist,for,celtic,'s,ronny,deila,whose,side,are,poised,to,win,the,premiership,title,-,their,fifth,successive,league,triumph,.
ross,-1,-1,-1,0.1508222508485091,0.20748415988188706,-1,-1,0.05342430711992674,0.00657184875494865,-1,0.6710648111071221,-1,-0.04496593892880618,0.09733448182499915,0.1966187667529058,0.5073568074240155,-1,0.06882777304528909,-1,0.39026871271537744,-1,0.375708996855731,0.18704141861040224,-1,-1,0.2607761173188816,0.16645382451219726,0.378527568162194,0.20903784864958097,-1
county,-1,-1,-1,0.22021671384860775,0.40120986406297543,-1,-1,0.2013407025319941,0.011948185747954865,-1,0.7100105267179146,-1,0.11351608532103097,0.20678372230333886,0.29531921507433045,0.6753626195021928,-1,0.13025953538300916,-1,0.4890339551724565,-1,0.5763088336372733,0.3708677984097899,-1,-1,0.38959527331648225,0.34113757082535834,0.581188543043159,0.39568167060382586,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jim,-1,-1,-1,0.1164396717089834,0.08770519480879557,-1,-1,0.21649161269617856,-0.008371303604178149,-1,0.4758932383875365,-1,0.4744848592014015,0.5693072498807922,0.1881180387420115,0.3025156230207192,-1,-0.0898035866239435,-1,0.16506142189451944,-1,0.2593885435791168,0.19645649624997785,-1,-1,0.13338702203455832,-0.03171919900466036,0.16419333572605554,0.06762300847182545,-1
mcintyre,-1,-1,-1,0.031083789614141266,0.009992616542890742,-1,-1,0.05918302366871364,-0.048700323919427246,-1,0.19384893823089755,-1,0.3106177780895437,0.3829241404263618,0.048802764195987836,0.09700481927090976,-1,-0.03374870641752015,-1,0.04283192372124256,-1,0.12114853408609938,0.05496217594751973,-1,-1,0.04724150931377891,-0.07190963905644865,0.0361904078647044,-0.00721323088835879,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
only,-1,-1,-1,0.504017782253375,0.4928548481629229,-1,-1,0.4373189622418794,0.3109203291681104,-1,0.513526218753746,-1,-0.033900253735683616,0.09011213842658328,0.46472844230147015,0.5861525013241173,-1,0.1659722326305031,-1,0.5120908340952394,-1,0.41838683953878486,0.4925472889345087,-1,-1,0.5529270559869158,0.44611087970689733,0.5725376107913153,0.4349942793047259,-1
premiership,-1,-1,-1,0.2010367256725355,0.4152067384156871,-1,-1,0.3348336989433145,0.2625065507391071,-1,0.6970165961408694,-1,0.21007831911453867,0.31708725735135745,0.20591792311111434,0.7093393907222126,-1,0.2016090953728258,-1,0.5982815293945231,-1,1.0,0.6882298534644077,-1,-1,0.5625528124205585,0.6094072546770893,0.859243631772061,0.6118750970831219,-1
boss,-1,-1,-1,0.20242272897075053,0.20344208770523076,-1,-1,0.24158333787473873,0.027472818219276718,-1,0.7144158458942549,-1,0.4094126944998764,0.46085807322725714,0.3173316507170265,0.5628483070557703,-1,0.035496519365081025,-1,0.35739606090071185,-1,0.42075349463273837,0.3746932448735,-1,-1,0.2655385922377127,0.14178113802037917,0.4693655276548093,0.28626540898019925,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
running,-1,-1,-1,0.45019075395911634,0.5710118392518887,-1,-1,0.38318751226895675,0.3152392278293432,-1,0.4737452092533829,-1,-0.19226662777524384,-0.04532360335512542,0.45147637741837277,0.5047447715977554,-1,0.2675095564320602,-1,0.4553541627928026,-1,0.33966540858552063,0.44254314377788595,-1,-1,0.5256861459387062,0.34478664415686533,0.45981673331623774,0.47064088886781463,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pfa,-1,-1,-1,0.06925318533379365,0.08787810573963728,-1,-1,0.20545142336842437,0.1423148104540779,-1,0.11115916703653472,-1,0.1297534212459336,0.17695033924922843,0.12364653007613124,0.12957559004693386,-1,-0.03924321305169398,-1,0.1181794912030455,-1,0.21138365887578558,0.15456408835776203,-1,-1,0.13231400126313264,0.06794366730604862,0.13791307064709046,0.10607640826335929,-1
scotland,-1,-1,-1,0.41317058059580114,0.49564650044360614,-1,-1,0.38910160295407636,0.25698136198226984,-1,0.5592542244832712,-1,-0.018821360881427385,0.1360686795999385,0.34035496257585074,0.490889061780573,-1,0.0016422354876441947,-1,0.4594411141768575,-1,0.434662703120529,0.3326218614112716,-1,-1,0.41813415318506186,0.28512851905308667,0.4349943324846127,0.391578650999333,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
manager,-1,-1,-1,0.27987184094217343,0.31196040084769716,-1,-1,0.34350661657924997,0.04500469548146657,-1,0.781642941161291,-1,0.45648515378491916,0.5117331185755443,0.30856964280653254,0.6090695494709629,-1,0.03417966118461291,-1,0.44931844738452176,-1,0.480268338753999,0.40034708517865303,-1,-1,0.30713354414992855,0.17121665700537458,0.5255629320322626,0.34512924130238476,-1
