model,the,county,manager,said,:,``,it,was,a,big,surprise,as,there,are,some,fantastic,nominees,beside,me,and,there,also,other,managers,out,there,who,have,had,real,success,this,season,by,winning,their,leagues,and,they,have,not,been,nominated,.
ross,-1,0.6094900460231949,0.5585173943305409,-1,-1,-1,-1,-1,-1,0.12624425177087373,0.16102055709856744,-1,-1,-1,-1,0.1881140450834503,-0.04846874565741377,0.11674217971397349,0.2559495403014522,-1,-1,-1,-1,0.30074762769890206,-1,-1,-1,-1,-1,0.34527669670017613,0.12609613133370168,-1,0.3554332966467717,-1,0.2375034281567544,-1,-0.012750065830039459,-1,-1,-1,-1,-1,0.10479641914011562,-1
county,-1,1.0,0.5256787257763336,-1,-1,-1,-1,-1,-1,0.2008082020387637,0.15914198625545906,-1,-1,-1,-1,0.2383236126147178,0.03103661287405224,0.18556408556983406,0.19805955441763745,-1,-1,-1,-1,0.3581067441442971,-1,-1,-1,-1,-1,0.3346748689829213,0.2698482123403927,-1,0.4830834804021832,-1,0.28549367523102953,-1,0.11867820473565538,-1,-1,-1,-1,-1,0.11879838303490065,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jim,-1,0.3410627731175553,0.6685878056430224,-1,-1,-1,-1,-1,-1,0.12779968913241713,0.13189265511193038,-1,-1,-1,-1,0.1906571168597475,0.07790809041516256,-0.020100213539932854,0.22405295718500728,-1,-1,-1,-1,0.4456654526469821,-1,-1,-1,-1,-1,0.14171710394395753,0.15985776047637124,-1,0.18113030799751173,-1,0.1674551393330007,-1,0.0043145269983374535,-1,-1,-1,-1,-1,0.1996892450747434,-1
mcintyre,-1,0.211930566126886,0.33772466426009307,-1,-1,-1,-1,-1,-1,0.03848381422981462,0.019074517794986257,-1,-1,-1,-1,0.06686738254232327,0.020658637076660713,0.0024290368915891314,0.07842633338351546,-1,-1,-1,-1,0.11311058563321907,-1,-1,-1,-1,-1,-0.03855869830581704,0.008156775588465615,-1,0.03744678550960012,-1,0.003630145758453218,-1,-0.027114562080392757,-1,-1,-1,-1,-1,0.09750571497633986,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
only,-1,0.43153767541553645,0.37715304101946223,-1,-1,-1,-1,-1,-1,0.48884338834481356,0.4532722574089034,-1,-1,-1,-1,0.3987023382389202,0.22304903093844342,0.14309840559088505,0.5025652489992023,-1,-1,-1,-1,0.46893191190766803,-1,-1,-1,-1,-1,0.5601968420582059,0.48808908552114705,-1,0.5237536051781426,-1,0.5407909357634919,-1,0.20286938220941997,-1,-1,-1,-1,-1,0.38460306360826546,-1
premiership,-1,0.5763088336372733,0.480268338753999,-1,-1,-1,-1,-1,-1,0.2849398270699329,0.2442290200968047,-1,-1,-1,-1,0.33695887091340093,0.3024617605894495,0.031740173924265536,0.17185186010603581,-1,-1,-1,-1,0.5380378484120114,-1,-1,-1,-1,-1,0.2836479413714541,0.37587678186429585,-1,0.6708800869621088,-1,0.5282653549524557,-1,0.47622546540401367,-1,-1,-1,-1,-1,0.18228297505348423,-1
boss,-1,0.48264467878017503,0.8911740909169482,-1,-1,-1,-1,-1,-1,0.217143231278363,0.2315501204516719,-1,-1,-1,-1,0.2805292456086539,0.040242018084211684,-0.030224477767752056,0.25153865103915574,-1,-1,-1,-1,0.3549955035016661,-1,-1,-1,-1,-1,0.3866602030036863,0.32244431678724816,-1,0.43725880580385956,-1,0.3340212129956748,-1,0.03336481743249231,-1,-1,-1,-1,-1,0.1781853253486375,-1
