model,'',mcintyre,'s,county,knocked,holders,celtic,out,of,the,league,cup,semi-finals,before,lifting,the,trophy,for,the,first,time,.
ross,-1,0.34884805565564136,-1,0.6094900460231949,0.2881497571462299,0.18023431056298334,0.6710648111071221,-1,-1,-1,0.378527568162194,0.27149354373286916,0.2379851284499277,-1,0.05708828987104153,-1,0.17508852780134387,-1,-1,-1,-1,-1
county,-1,0.211930566126886,-1,1.0,0.3549406633785588,0.2990547378969072,0.7100105267179146,-1,-1,-1,0.581188543043159,0.39884822084140503,0.3527094606583798,-1,0.0826275327445507,-1,0.27232620593435897,-1,-1,-1,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jim,-1,0.5701909563192541,-1,0.3410627731175553,0.17592996756301793,0.12611929109336806,0.4758932383875365,-1,-1,-1,0.16419333572605554,0.19525102536987604,0.03810587733791582,-1,-0.11590315532054718,-1,0.09217017638504588,-1,-1,-1,-1,-1
mcintyre,-1,1.0,-1,0.211930566126886,0.07474567481189076,0.023932364804555406,0.19384893823089755,-1,-1,-1,0.0361904078647044,0.059943592012548064,-0.03640177869020511,-1,-0.13534890065977345,-1,-0.023195750902846868,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
only,-1,0.01705000766452014,-1,0.43153767541553645,0.2949215049021512,0.2574277025465852,0.513526218753746,-1,-1,-1,0.5725376107913153,0.39974631495975155,0.39584835257239825,-1,0.2477141003892258,-1,0.3419635873641882,-1,-1,-1,-1,-1
premiership,-1,0.12114853408609938,-1,0.5763088336372733,0.32156850646915824,0.49124238693279265,0.6970165961408694,-1,-1,-1,0.859243631772061,0.6435073588023518,0.6336894205476934,-1,0.23065179670707403,-1,0.5604435668443356,-1,-1,-1,-1,-1
boss,-1,0.31114746369537416,-1,0.48264467878017503,0.18886321294678232,0.34835843323351634,0.7144158458942549,-1,-1,-1,0.4693655276548093,0.30763035190211074,0.14241647965215432,-1,0.048154738568557565,-1,0.25644718465121097,-1,-1,-1,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
running,-1,-0.0473902040270584,-1,0.39319383166675825,0.45755279168540874,0.21672576508432306,0.4737452092533829,-1,-1,-1,0.45981673331623774,0.3683163335610682,0.37844586868094776,-1,0.384123605623516,-1,0.3051477365938182,-1,-1,-1,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pfa,-1,0.851930761471858,-1,0.14483668802094551,0.040352578118881044,0.01569889425392057,0.11115916703653472,-1,-1,-1,0.13791307064709046,0.12194279244566586,0.0880024010088587,-1,-0.024992229533857158,-1,0.002543857060068544,-1,-1,-1,-1,-1
scotland,-1,0.1268323365266799,-1,0.559195292611209,0.2407947581383285,0.21178180712819028,0.5592542244832712,-1,-1,-1,0.4349943324846127,0.4688049309326989,0.39944965608220706,-1,0.13092021138362897,-1,0.235348061316489,-1,-1,-1,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
manager,-1,0.33772466426009307,-1,0.5256787257763336,0.19502001430499483,0.32778685143424136,0.781642941161291,-1,-1,-1,0.5255629320322626,0.40305730656044836,0.2011489956023309,-1,0.05322936333050565,-1,0.32191636997280637,-1,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,0.034532838543336664,-1,0.37144474278117556,0.31829371422045283,0.27757544628967357,0.48412249819995745,-1,-1,-1,0.48153965018652034,0.5121023843441938,0.4925755970259196,-1,0.1765367462472467,-1,0.3695612697146191,-1,-1,-1,-1,-1
award,-1,0.05918302366871364,-1,0.2013407025319941,0.19670957646852516,0.3525947112271066,0.3500978209306379,-1,-1,-1,0.405420817092226,0.5005607267963088,0.3939574946258255,-1,0.15042158987015275,-1,0.4136166099907419,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
