model,despite,deila,leading,his,side,to,a,league,and,league,cup,double,last,season,'s,award,went,to,john,hughes,whose,inverness,caledonian,thistle,side,lifted,the,scottish,cup,and,finished,third,in,the,premiership,-,their,highest-ever,position,ensuring,a,debut,in,european,competition,.
ross,0.16883997924682093,0.09733448182499915,0.1415811997160148,-1,0.5073568074240155,-1,-1,0.378527568162194,-1,0.378527568162194,0.27149354373286916,0.16261588308087205,-1,0.3554332966467717,-1,0.05342430711992674,0.4279838426883329,-1,0.42337096361730797,0.779786526694983,0.1966187667529058,0.6011561197407426,0.42269388558989207,0.6747081874951295,0.5073568074240155,0.2310848764503226,-1,0.34608799409606117,0.27149354373286916,-1,0.3466409168679634,0.35456613705488627,-1,-1,0.375708996855731,-1,-1,-0.4082577880374263,0.16953964715026548,0.07499293021871634,-1,0.24871994174218648,-1,0.20659114028061565,0.2033707740555919,-1
county,0.2915887968305346,0.20678372230333886,0.2827016041303372,-1,0.6753626195021928,-1,-1,0.581188543043159,-1,0.581188543043159,0.39884822084140503,0.16961746347314333,-1,0.4830834804021832,-1,0.2013407025319941,0.4243370402186224,-1,0.34585051043117976,0.47557859656691726,0.29531921507433045,0.6989371588572806,0.3343932676555046,0.540761767391728,0.6753626195021928,0.3376002663923221,-1,0.48261799245401193,0.39884822084140503,-1,0.41997345667234065,0.45928485880057224,-1,-1,0.5763088336372733,-1,-1,-0.1446351385233433,0.32682954065501235,0.17439000698031992,-1,0.43263994666053507,-1,0.41724505652525146,0.3955007439093112,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jim,0.10566757104991653,0.5693072498807922,0.18172196221578485,-1,0.3025156230207192,-1,-1,0.16419333572605554,-1,0.16419333572605554,0.19525102536987604,0.11971097532028785,-1,0.18113030799751173,-1,0.21649161269617856,0.22636962518188164,-1,0.6617806250079882,0.709426564086896,0.1881180387420115,0.3509903109423641,0.4624929196345867,0.4197356213325618,0.3025156230207192,0.004342256322086957,-1,0.35826220223326877,0.19525102536987604,-1,0.2116805365985721,0.16597169376785603,-1,-1,0.2593885435791168,-1,-1,-0.44589303552458426,0.2002113667756391,0.0634496665986094,-1,0.15619845361496165,-1,0.24965198702939695,0.16087151466449245,-1
mcintyre,0.008768038579431314,0.3829241404263618,0.03612127127264375,-1,0.09700481927090976,-1,-1,0.0361904078647044,-1,0.0361904078647044,0.059943592012548064,-0.036332566634190044,-1,0.03744678550960012,-1,0.05918302366871364,0.07207635267216528,-1,0.3127631531347751,0.448346279514108,0.048802764195987836,0.19564048828603298,0.302508456861855,0.31673297863259,0.09700481927090976,-0.049501846927249016,-1,0.14193781509797243,0.059943592012548064,-1,0.06697902593518601,0.034490111660204326,-1,-1,0.12114853408609938,-1,-1,-0.22915926479730864,0.05044465247442409,0.0027011664858701545,-1,0.04558173678644173,-1,0.0555114364332534,0.04506053352507877,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
only,0.524320144009462,0.09011213842658328,0.4196413937740415,-1,0.5861525013241173,-1,-1,0.5725376107913153,-1,0.5725376107913153,0.39974631495975155,0.4272125780582148,-1,0.5237536051781426,-1,0.4373189622418794,0.5398111566291355,-1,0.3293962200335261,0.37556205861425485,0.46472844230147015,0.23536350379339366,-0.050432931837532724,0.1848733122330447,0.5861525013241173,0.4124870341196316,-1,0.4533430214003329,0.39974631495975155,-1,0.5302383574454004,0.6615864649037235,-1,-1,0.41838683953878486,-1,-1,0.00932107671406579,0.5643879747560978,0.3919624198347549,-1,0.45784354232404056,-1,0.45521603758042617,0.5966079049353821,-1
premiership,0.3569111000676638,0.31708725735135745,0.32193748154393154,-1,0.7093393907222126,-1,-1,0.859243631772061,-1,0.859243631772061,0.6435073588023518,0.2877700721030255,-1,0.6708800869621088,-1,0.3348336989433145,0.3262942097170536,-1,0.17798723542325223,0.2571321698810377,0.20591792311111434,0.3520451888489444,0.251321597810356,0.43567791924793053,0.7093393907222126,0.41512639871957613,-1,0.6803425261141727,0.6435073588023518,-1,0.5237560249467998,0.5994105941363983,-1,-1,1.0,-1,-1,0.19967911773709213,0.4352206203577301,0.21564218500402454,-1,0.4737742740664802,-1,0.6457916063939486,0.6305993483360363,-1
boss,0.25002229544243093,0.46085807322725714,0.20590416660697586,-1,0.5628483070557703,-1,-1,0.4693655276548093,-1,0.4693655276548093,0.30763035190211074,0.22346923792271045,-1,0.43725880580385956,-1,0.24158333787473873,0.2694074878086843,-1,0.5608850850657165,0.6493444654999246,0.3173316507170265,0.4044563768249847,0.22209828889801542,0.4331733107133282,0.5628483070557703,0.22911744894428554,-1,0.3147357714765633,0.30763035190211074,-1,0.30211579471353067,0.30906187572674293,-1,-1,0.42075349463273837,-1,-1,-0.24025716278816844,0.29567423218542377,0.08308451836548769,-1,0.34461405885131113,-1,0.29891259923685376,0.2734442891913089,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
