model,falkirk,have,reached,the,premiership,play-offs,and,presently,lead,hibernian,in,the,race,to,finish,second,in,the,second-tier,table,.
ross,0.3906254351987213,-1,0.3211951448215151,-1,0.375708996855731,0.13346173774482284,-1,-0.06948503107993753,0.2864659278973405,0.6224746226815184,-1,-1,0.2527966055732844,-1,0.1939641424782943,0.3801220486452366,-1,-1,-0.03853541083781731,0.229383392280181,-1
county,0.3571975444189399,-1,0.43015260145774836,-1,0.5763088336372733,0.3436527467515653,-1,-0.018877655946160976,0.30625231602765446,0.4462270548565035,-1,-1,0.30911080735028684,-1,0.23258967913507778,0.46237156676567515,-1,-1,0.24066065838782813,0.35090121103423766,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jim,-0.03314774727972303,-1,0.0808191051298317,-1,0.2593885435791168,-0.0389036418701465,-1,-0.13758385982036048,0.1816464024696397,0.10652777830531401,-1,-1,0.16259181322499328,-1,0.04405667764743215,0.16506021480490518,-1,-1,0.11824429142263937,0.08198866135131111,-1
mcintyre,0.38036985066831797,-1,-0.02248033616349443,-1,0.12114853408609938,-0.045257751493869014,-1,-0.07033588782508304,0.02524816457094725,-0.20097343281751812,-1,-1,0.036111690315295375,-1,-0.038783411505392884,0.05703324529199194,-1,-1,0.019925052676206034,-0.010081128321413058,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
only,0.15645580291246197,-1,0.6640367398467818,-1,0.41838683953878486,0.42818098059785237,-1,0.1769164413942399,0.4686890871125855,0.23576609228331447,-1,-1,0.41492866169785925,-1,0.42722828842527294,0.5710707909657644,-1,-1,0.10210654648547224,0.48426246256920613,-1
premiership,0.14771151891773582,-1,0.5543666599271695,-1,1.0,0.7137058243653522,-1,0.09490962946156378,0.28550743458555705,0.2810962610452148,-1,-1,0.4201431429772019,-1,0.4563815982299514,0.4688339045607448,-1,-1,0.628555698125997,0.7199527160853495,-1
boss,0.22256783058182594,-1,0.2985946034055207,-1,0.42075349463273837,0.11762887188233562,-1,-0.015002069615071001,0.3358581195987336,0.30177796952537894,-1,-1,0.19459029289596885,-1,0.141860340841635,0.2998291071247978,-1,-1,0.10823798171435683,0.263338093941037,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
running,0.22440645843205698,-1,0.5542537726095365,-1,0.33966540858552063,0.4307350435839251,-1,0.11545494594373484,0.40689763633781284,0.2030972589231269,-1,-1,0.5593070445387655,-1,0.49505432915520065,0.5337681021849118,-1,-1,0.08928053325737506,0.5526009770987711,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pfa,0.38884144056523695,-1,0.09723325557046847,-1,0.21138365887578558,0.11810039181190402,-1,-0.07383168346085212,0.07314234545452614,-0.38358328077109904,-1,-1,0.10582075511227473,-1,0.09534008927246207,0.12918111943723198,-1,-1,0.16836770563652204,0.11635414662693622,-1
scotland,0.1725910533334628,-1,0.5421733030947354,-1,0.434662703120529,0.29034938635458074,-1,-0.004041083729387385,0.38395832045628153,0.2677658220799066,-1,-1,0.3364194364956661,-1,0.29199152254311933,0.4525508368276874,-1,-1,0.13411500605936255,0.3318422542366657,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
manager,0.2265445487105887,-1,0.3246382585811476,-1,0.480268338753999,0.16661657987680834,-1,-0.08954762657666815,0.3353137465342152,0.2692581471368566,-1,-1,0.24705918434410434,-1,0.23424768947810704,0.3377887197501579,-1,-1,0.1770642917421743,0.29369749177199855,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.14625966805599833,-1,0.6563537465254178,-1,0.3748735946945789,0.4068783706081013,-1,-0.05195037606679964,0.38788060914269684,0.2171944839348462,-1,-1,0.5318041416348112,-1,0.41330878707333785,0.5737029463932116,-1,-1,0.11038813851232188,0.3902490498956612,-1
award,0.009858444292218382,-1,0.4696664822827372,-1,0.3348336989433145,0.35269905455070116,-1,-0.025508567186456332,0.3021993609794176,0.047803882945908205,-1,-1,0.4704964424375151,-1,0.34895563183853673,0.42903456914663507,-1,-1,0.20390612482319148,0.32067867549239426,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
