model,mark,warburton,is,in,the,running,after,steering,rangers,to,the,championship,title,lifting,the,challenge,cup,and,reaching,the,scottish,cup,final,.
ross,0.6823914405655724,0.8365308646887588,-1,-1,-1,0.27486970852067616,-1,0.20658660194181278,0.715926289465192,-1,-1,0.37267763540923693,0.18704141861040224,0.05708828987104153,-1,0.22036551348018762,0.27149354373286916,-1,0.1901289100788892,-1,0.34608799409606117,0.27149354373286916,0.31341454446452643,-1
county,0.35817685785486786,0.46932595257812215,-1,-1,-1,0.39319383166675825,-1,0.09963595356673394,0.668358284220803,-1,-1,0.6253907879691545,0.3708677984097899,0.0826275327445507,-1,0.34860093895185607,0.39884822084140503,-1,0.24124486492702557,-1,0.48261799245401193,0.39884822084140503,0.38499401300094616,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jim,0.5495566895953471,0.7527185175802977,-1,-1,-1,0.030215997072599254,-1,-0.03944039164459401,0.3275890972446782,-1,-1,0.17197239714170687,0.19645649624997785,-0.11590315532054718,-1,0.20563507843121542,0.19525102536987604,-1,-0.01916211916664623,-1,0.35826220223326877,0.19525102536987604,0.13461789467993757,-1
mcintyre,0.2609536884017045,0.6698344711573568,-1,-1,-1,-0.0473902040270584,-1,-0.028969823464825684,0.06911813475909545,-1,-1,0.06638932855154456,0.05496217594751973,-0.13534890065977345,-1,0.06493802059748899,0.059943592012548064,-1,-0.08188542540444455,-1,0.14193781509797243,0.059943592012548064,0.0013821502252899798,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
only,0.40759312391907987,0.2627211711534614,-1,-1,-1,0.6124398313416326,-1,0.07683721121327114,0.4362334716170919,-1,-1,0.5462005979237874,0.4925472889345087,0.2477141003892258,-1,0.530491062793578,0.39974631495975155,-1,0.5142449346660962,-1,0.4533430214003329,0.39974631495975155,0.4783433943826776,-1
premiership,0.3065073834352703,0.3172200961032703,-1,-1,-1,0.33966540858552063,-1,0.22304083166210764,0.6283655293793039,-1,-1,0.884683576274949,0.6882298534644077,0.23065179670707403,-1,0.49130419279246884,0.6435073588023518,-1,0.5035656375757627,-1,0.6803425261141727,0.6435073588023518,0.5793012229517077,-1
boss,0.5456651702384688,0.6522852675875067,-1,-1,-1,0.20204686726749177,-1,-0.07609414724947694,0.6350830640017849,-1,-1,0.42361283497618896,0.3746932448735,0.048154738568557565,-1,0.3200427556374814,0.30763035190211074,-1,0.14900252204970832,-1,0.3147357714765633,0.30763035190211074,0.22699029025507567,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
running,0.36274882261697106,0.17291423158625951,-1,-1,-1,1.0,-1,0.2910072356350579,0.44835903596927174,-1,-1,0.5127132969113679,0.44254314377788595,0.384123605623516,-1,0.5787967900609181,0.3683163335610682,-1,0.5800360405568968,-1,0.4364746040812486,0.3683163335610682,0.44830622943522247,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pfa,0.08179009217346711,0.40318917170557467,-1,-1,-1,0.09276379998351336,-1,0.04344731794168577,-0.003534157675130656,-1,-1,0.20051717209986641,0.15456408835776203,-0.024992229533857158,-1,0.1487854085446143,0.12194279244566586,-1,0.04160897217700177,-1,0.1777112538645087,0.12194279244566586,0.09572461472278115,-1
scotland,0.5512760206352212,0.4513391663938089,-1,-1,-1,0.5712702841002906,-1,0.004217198114123577,0.4993029661652124,-1,-1,0.5161757509229384,0.3326218614112716,0.13092021138362897,-1,0.4922603181713603,0.4688049309326989,-1,0.3873427635940627,-1,0.685768563638836,0.4688049309326989,0.448129512720046,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
manager,0.6069798531762801,0.6827744139465299,-1,-1,-1,0.3017787992754881,-1,-0.09582957203205877,0.6399134916528861,-1,-1,0.48274173022370204,0.40034708517865303,0.05322936333050565,-1,0.42860858438533267,0.40305730656044836,-1,0.20337598015090197,-1,0.44698189118347775,0.40305730656044836,0.32532144833581134,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.4758163328318077,0.2713272227855691,-1,-1,-1,0.6782847929646187,-1,-0.032869526505767466,0.41513681861269036,-1,-1,0.546858018839455,0.5091508776461682,0.1765367462472467,-1,0.5420973863809037,0.5121023843441938,-1,0.5753743854462993,-1,0.502630525800717,0.5121023843441938,0.5553225955522505,-1
award,0.32394264811038,0.15564618145486797,-1,-1,-1,0.38318751226895675,-1,-0.016434204047465206,0.18352003550341744,-1,-1,0.4641877861985818,0.57404696021028,0.15042158987015275,-1,0.533762591432511,0.5005607267963088,-1,0.3924221151084607,-1,0.35899464209829235,0.5005607267963088,0.5339930851615425,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
