model,the,2014,winner,derek,mcinnes,also,does,not,make,the,shortlist,this,time,despite,his,aberdeen,side,posing,the,biggest,challenge,to,celtic,for,a,second,year,running,in,the,top,flight,.
ross,-1,0.3008923644186786,0.2728180560767073,0.371265026205013,0.23482589899668305,-1,0.19577843794482874,-1,0.2115172573603631,-1,0.00657184875494865,-1,-1,0.16883997924682093,-1,0.6036658097630647,0.5073568074240155,0.01803563299388522,-1,0.023723097807054283,0.22036551348018762,-1,0.6710648111071221,-1,-1,0.3801220486452366,0.24106365370052796,0.27486970852067616,-1,-1,0.23230533427640143,0.17341533615737248,-1
county,-1,0.4265212790619123,0.21025139285035266,0.2765922709049361,0.29964617998887033,-1,0.2356593912001168,-1,0.29847765469132503,-1,0.011948185747954865,-1,-1,0.2915887968305346,-1,0.8242978943337023,0.6753626195021928,0.0703413013571409,-1,0.1934547338067074,0.34860093895185607,-1,0.7100105267179146,-1,-1,0.46237156676567515,0.37144474278117556,0.39319383166675825,-1,-1,0.36283440939713474,0.37801684197630225,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jim,-1,0.19596801477921422,0.2874800931501863,0.7656196895780062,0.6502642476332237,-1,0.1741883194878746,-1,0.11668445993221943,-1,-0.008371303604178149,-1,-1,0.10566757104991653,-1,0.43285289883924394,0.3025156230207192,0.11136812655064765,-1,0.09939785640514676,0.20563507843121542,-1,0.4758932383875365,-1,-1,0.16506021480490518,0.16981229046510826,0.030215997072599254,-1,-1,0.15602944115260253,0.14470176116431532,-1
mcintyre,-1,0.06058025850063653,0.12765770820843025,0.3331128896259097,0.33151824785251927,-1,0.05690632645009652,-1,0.0029981300003307787,-1,-0.048700323919427246,-1,-1,0.008768038579431314,-1,0.2281922430358606,0.09700481927090976,0.010535396116237328,-1,0.009093991655790834,0.06493802059748899,-1,0.19384893823089755,-1,-1,0.05703324529199194,0.034532838543336664,-0.0473902040270584,-1,-1,0.011211832891059315,0.03431087471949257,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
only,-1,0.5108247577378046,0.41214485276000445,0.07361890935776938,0.05403219176761909,-1,0.5471029112473745,-1,0.6062356575810606,-1,0.3109203291681104,-1,-1,0.524320144009462,-1,0.39381430896688496,0.5861525013241173,0.16539215020832698,-1,0.48115056587618166,0.530491062793578,-1,0.513526218753746,-1,-1,0.5710707909657644,0.5883104108414282,0.6124398313416326,-1,-1,0.5094568839502782,0.4172085310932274,-1
premiership,-1,0.35919628926315794,0.3400658564656658,0.18039242150914792,0.2542640690421316,-1,0.17116082229999996,-1,0.3406896491467948,-1,0.2625065507391071,-1,-1,0.3569111000676638,-1,0.6257737066145465,0.7093393907222126,-0.011106823198166582,-1,0.26823561986430444,0.49130419279246884,-1,0.6970165961408694,-1,-1,0.4688339045607448,0.3748735946945789,0.33966540858552063,-1,-1,0.5748542438064774,0.49003340775878124,-1
boss,-1,0.3152027205681134,0.291481109418962,0.6000865296004844,0.5584547948502478,-1,0.2543782684767064,-1,0.21078436432431014,-1,0.027472818219276718,-1,-1,0.25002229544243093,-1,0.5811298270027213,0.5628483070557703,0.09445993532331787,-1,0.1480608455388086,0.3200427556374814,-1,0.7144158458942549,-1,-1,0.2998291071247978,0.26056046802323674,0.20204686726749177,-1,-1,0.25823261719629875,0.1816108126317847,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
running,-1,0.5290249733541814,0.31000564467995484,-0.033033681029347006,-0.10203701903583462,-1,0.4636582179050326,-1,0.5867226023282506,-1,0.3152392278293432,-1,-1,0.5481903681418848,-1,0.41960507465256747,0.5047447715977554,0.23649431259839115,-1,0.43896584274524875,0.5787967900609181,-1,0.4737452092533829,-1,-1,0.5337681021849118,0.6782847929646187,1.0,-1,-1,0.5747716579652036,0.5415434095552707,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pfa,-1,0.14053264289701595,0.137658672605808,-0.003983940751692838,0.03514131224863226,-1,0.0729111899691991,-1,0.0940961238280722,-1,0.1423148104540779,-1,-1,0.09190314317169257,-1,0.14613522142819413,0.12957559004693386,0.0015125441821995933,-1,0.1280464996514723,0.1487854085446143,-1,0.11115916703653472,-1,-1,0.12918111943723198,0.15081459553889565,0.09276379998351336,-1,-1,0.17941851847684143,0.1237982421334285,-1
scotland,-1,0.5024569873431388,0.31741880474563255,0.25762105203439567,0.15499243905096638,-1,0.4845311407216981,-1,0.5341240877798553,-1,0.25698136198226984,-1,-1,0.4933920013118557,-1,0.5262277780354775,0.490889061780573,0.08880074135435967,-1,0.38704208583729827,0.4922603181713603,-1,0.5592542244832712,-1,-1,0.4525508368276874,0.5871828825688267,0.5712702841002906,-1,-1,0.44160489975356765,0.33887613672173944,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
manager,-1,0.3528703079693133,0.3377333922939092,0.6705339472878427,0.5739636323970353,-1,0.31858006087672075,-1,0.3455094312875643,-1,0.04500469548146657,-1,-1,0.2792676889384409,-1,0.6259503244595654,0.6090695494709629,0.06165847601144492,-1,0.16201645312973056,0.42860858438533267,-1,0.781642941161291,-1,-1,0.3377887197501579,0.35850813063647635,0.3017787992754881,-1,-1,0.3639987648484595,0.24484832391300748,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,0.7385635897457715,0.4707961433598,0.0991077103020096,0.03280257012128829,-1,0.4320857389670283,-1,0.49227339627663824,-1,0.4638711902105839,-1,-1,0.5106556434544308,-1,0.4476684589471245,0.4089091803449252,0.012838205215031318,-1,0.48372816240581207,0.5420973863809037,-1,0.48412249819995745,-1,-1,0.5737029463932116,1.0,0.6782847929646187,-1,-1,0.4594864974211057,0.44041855087994297,-1
award,-1,0.4986311304720532,0.6204181187708253,0.21425404605351217,0.2109568391358999,-1,0.27939184545596873,-1,0.4107586209497175,-1,0.644987262588063,-1,-1,0.31938151405209747,-1,0.28686270825696136,0.26460365059017144,0.1673277773054107,-1,0.4751880335308942,0.533762591432511,-1,0.3500978209306379,-1,-1,0.42903456914663507,0.6331931705563634,0.38318751226895675,-1,-1,0.3842791423728442,0.38520154066232437,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
