model,part-time,peterhead,also,reached,the,challenge,cup,final,and,still,have,a,chance,of,promotion,via,the,championship,play-offs,.
ross,-0.0004197945187216501,0.3343438626399715,-1,0.3211951448215151,-1,0.22036551348018762,0.27149354373286916,0.31341454446452643,-1,0.19465633567420382,-1,-1,0.2597973523984203,-1,0.22692151851828868,0.13830321307611726,-1,0.37267763540923693,0.13346173774482284,-1
county,0.05241593139198297,0.1993452040236654,-1,0.43015260145774836,-1,0.34860093895185607,0.39884822084140503,0.38499401300094616,-1,0.28694186055470994,-1,-1,0.24425402547673314,-1,0.3271665072152137,0.27529887679412646,-1,0.6253907879691545,0.3436527467515653,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jim,0.07073670951856426,0.31013510409414424,-1,0.0808191051298317,-1,0.20563507843121542,0.19525102536987604,0.13461789467993757,-1,0.10950830322105065,-1,-1,0.11601488816934702,-1,0.09884370999489189,0.1161680385031233,-1,0.17197239714170687,-0.0389036418701465,-1
mcintyre,0.03945910201425418,-0.301887001608411,-1,-0.02248033616349443,-1,0.06493802059748899,0.059943592012548064,0.0013821502252899798,-1,0.017705500081385384,-1,-1,0.002685405895484383,-1,0.017258029649499407,0.03239159294756644,-1,0.06638932855154456,-0.045257751493869014,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
only,0.2420659537373645,0.04090576408260549,-1,0.6640367398467818,-1,0.530491062793578,0.39974631495975155,0.4783433943826776,-1,0.6014972372455659,-1,-1,0.5710081018472056,-1,0.380347611258278,0.40657271158776986,-1,0.5462005979237874,0.42818098059785237,-1
premiership,0.16934752646600648,0.11584433659786875,-1,0.5543666599271695,-1,0.49130419279246884,0.6435073588023518,0.5793012229517077,-1,0.2399718592941793,-1,-1,0.32711204368482694,-1,0.627589695135841,0.23070265386633726,-1,0.884683576274949,0.7137058243653522,-1
boss,0.1597014757185513,0.1151223267292556,-1,0.2985946034055207,-1,0.3200427556374814,0.30763035190211074,0.22699029025507567,-1,0.24709412005481746,-1,-1,0.23580505245244743,-1,0.22558777884899228,0.14912858604679047,-1,0.42361283497618896,0.11762887188233562,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
running,0.3488526577627744,-0.02674812400956128,-1,0.5542537726095365,-1,0.5787967900609181,0.3683163335610682,0.44830622943522247,-1,0.6580895045809247,-1,-1,0.4843224087937994,-1,0.39179812516679935,0.5211121157593285,-1,0.5127132969113679,0.4307350435839251,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pfa,0.10889978977680492,-0.45976373167553275,-1,0.09723325557046847,-1,0.1487854085446143,0.12194279244566586,0.09572461472278115,-1,0.07930805369602945,-1,-1,0.0872603133186669,-1,0.0979361047696562,0.11464346726709007,-1,0.20051717209986641,0.11810039181190402,-1
scotland,0.21562403904006122,0.08063548670685639,-1,0.5421733030947354,-1,0.4922603181713603,0.4688049309326989,0.448129512720046,-1,0.5029052355625155,-1,-1,0.4029201816771144,-1,0.23191224381337783,0.3781590467149618,-1,0.5161757509229384,0.29034938635458074,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
manager,0.2451075657472077,0.08725918049730519,-1,0.3246382585811476,-1,0.42860858438533267,0.40305730656044836,0.32532144833581134,-1,0.29072151716055616,-1,-1,0.35590783078529475,-1,0.29639923861877926,0.1913572365643067,-1,0.48274173022370204,0.16661657987680834,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.3047017894952253,0.05317070302711557,-1,0.6563537465254178,-1,0.5420973863809037,0.5121023843441938,0.5553225955522505,-1,0.45630241978442787,-1,-1,0.4685092076300462,-1,0.3496856166886051,0.3688287705947979,-1,0.546858018839455,0.4068783706081013,-1
award,0.28101907662149384,0.008378283334417369,-1,0.4696664822827372,-1,0.533762591432511,0.5005607267963088,0.5339930851615425,-1,0.2401906381252672,-1,-1,0.4678876244491864,-1,0.3363106282463988,0.35773369293395474,-1,0.4641877861985818,0.35269905455070116,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
