model,rhys,browne,-lrb-,macclesfield,town,-rrb-,.
macclesfield,0.11827290512902489,0.16910832688671962,-1,1.0,0.4844786928870841,-1,-1
moved,0.12975973914111727,0.08815094274609614,-1,0.15574239342517981,0.4592471270833973,-1,-1
within,-0.0623136246087137,-0.10195791589464531,-1,0.07284687743458029,0.2662565077010568,-1,-1
three,0.0494509195933186,0.024427780167652346,-1,0.09320300363488654,0.3345210683892088,-1,-1
points,0.06648186109528198,0.039397583248077295,-1,0.19438637004966453,0.3250716546650302,-1,-1
of,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1
national,0.08572421856048251,-0.07521071168197446,-1,0.1731313879732187,0.3261310383921312,-1,-1
league,0.04553166394177943,-0.043685696803277274,-1,0.2525617702974905,0.43712597891239824,-1,-1
play-off,-0.09389639714083642,-0.17490345950709396,-1,0.14954709839082092,0.2823847651158573,-1,-1
spots,-0.11213725720975298,-0.10445854207885974,-1,0.036265863042675095,0.12708754588656368,-1,-1
after,-1,-1,-1,-1,-1,-1,-1
recording,0.015500907965971034,0.029428773017383558,-1,-0.0018230921421931168,0.14193269259239538,-1,-1
a,-1,-1,-1,-1,-1,-1,-1
1-0,0.1075135913115417,0.0833210386079073,-1,0.21782901626394668,0.3079459143671579,-1,-1
victory,0.08643522756883648,0.08350219955874616,-1,0.15517418703881625,0.28867169353633015,-1,-1
over,-1,-1,-1,-1,-1,-1,-1
eastleigh,-0.16454148009764125,0.02832064465066353,-1,0.8767096205742496,0.22891521453337904,-1,-1
.,-1,-1,-1,-1,-1,-1,-1
