model,lineups,are,announced,and,players,are,warming,up,.
macclesfield,-0.07955069351987487,-1,0.08057192356582454,-1,0.04146096521688314,-1,0.05235969851539124,-1,-1
moved,0.2592161752834825,-1,0.43255878370766965,-1,0.4758794804955222,-1,0.15695087487460924,-1,-1
within,0.4259379333040748,-1,0.32682267847453206,-1,0.4383241381098416,-1,0.1274986037168523,-1,-1
three,0.4425603023549485,-1,0.43082569501314005,-1,0.6089375112716084,-1,0.14423441465776454,-1,-1
points,0.3110249296712526,-1,0.22479531589416102,-1,0.502221793965981,-1,0.16030404815041577,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
national,0.3952357572925984,-1,0.3230670220835663,-1,0.3418455788707614,-1,0.2105424179159069,-1,-1
league,0.39064498420610105,-1,0.34463670736176244,-1,0.597601401103539,-1,0.29748021374460687,-1,-1
play-off,0.1669513535404632,-1,0.1445384733396723,-1,0.28530249214116776,-1,0.16750350190204555,-1,-1
spots,0.024752444846131483,-1,-0.06134700250784153,-1,0.27394753748752376,-1,0.14818230493311324,-1,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1
recording,0.27679449167206727,-1,0.37603743152121394,-1,0.3556199378705509,-1,0.18273404584915887,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1
1-0,0.08236682504418025,-1,0.20566571944009104,-1,0.27554836263336424,-1,0.09482207282964783,-1,-1
victory,0.19304553555356485,-1,0.3026080228388466,-1,0.2627079463849056,-1,-0.00894178690385461,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1
eastleigh,-0.14218440459679704,-1,0.05735215141081329,-1,0.06039208075724567,-1,0.03770910293475749,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
