model,substitution,macclesfield,town,.
macclesfield,0.4915990213696242,1.0,0.4844786928870841,-1
moved,0.17068351735711584,0.15574239342517981,0.4592471270833973,-1
within,0.051810670612213894,0.07284687743458029,0.2662565077010568,-1
three,0.15687946157327182,0.09320300363488654,0.3345210683892088,-1
points,0.30719863621215304,0.19438637004966453,0.3250716546650302,-1
of,-1,-1,-1,-1
the,-1,-1,-1,-1
national,0.11834307768282559,0.1731313879732187,0.3261310383921312,-1
league,0.19571622520683085,0.2525617702974905,0.43712597891239824,-1
play-off,-0.014717949871482228,0.14954709839082092,0.2823847651158573,-1
spots,-0.11535456678152833,0.036265863042675095,0.12708754588656368,-1
after,-1,-1,-1,-1
recording,-0.09817351617456493,-0.0018230921421931168,0.14193269259239538,-1
a,-1,-1,-1,-1
1-0,0.2077533419823998,0.21782901626394668,0.3079459143671579,-1
victory,0.15622935222013767,0.15517418703881625,0.28867169353633015,-1
over,-1,-1,-1,-1
eastleigh,0.22170633115879768,0.8767096205742496,0.22891521453337904,-1
.,-1,-1,-1,-1
