model,macclesfield,had,the,ball,in,the,net,once,again,seven,minutes,after,the,interval,but,the,flag,was,up,.
macclesfield,1.0,-1,-1,0.16145310374221178,-1,-1,0.11618498887241913,0.0860683020043298,0.0974207781703249,0.09344333862503318,0.21582325019157877,-1,-1,0.07133391008986112,-1,-1,0.05071564261999795,-1,-1,-1
moved,0.15574239342517981,-1,-1,0.45323904171826257,-1,-1,0.3312667855612331,0.5860540021948546,0.540064795259133,0.5309063793319175,0.4899341065744607,-1,-1,0.28030758578370063,-1,-1,0.22487151685868523,-1,-1,-1
within,0.07284687743458029,-1,-1,0.3290188752324036,-1,-1,0.44805974236258916,0.566238979819083,0.4826852778643098,0.6681600251294628,0.598062371019921,-1,-1,0.29419486313374155,-1,-1,0.2131519126172401,-1,-1,-1
three,0.09320300363488654,-1,-1,0.43265184371994425,-1,-1,0.3999330338888778,0.5898162978668663,0.4847562313507605,0.9269628087347855,0.7201868083042982,-1,-1,0.34909433650939137,-1,-1,0.23712848882261994,-1,-1,-1
points,0.19438637004966453,-1,-1,0.40475878219577144,-1,-1,0.45473653798535496,0.4302870675186511,0.4240399847820837,0.7611890381886585,0.7339550865388755,-1,-1,0.3920228991181408,-1,-1,0.18368404458704646,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
national,0.1731313879732187,-1,-1,0.1651916178734919,-1,-1,0.3390979861802883,0.3159997226058706,0.28307688684088794,0.3538027399188205,0.1956188213008867,-1,-1,0.17791713039054513,-1,-1,0.5360988778154094,-1,-1,-1
league,0.2525617702974905,-1,-1,0.28480265258886095,-1,-1,0.3033490486406386,0.4635661214777166,0.42226216293786933,0.653256181946649,0.4673049779023769,-1,-1,0.25052186445570435,-1,-1,0.25899551124815545,-1,-1,-1
play-off,0.14954709839082092,-1,-1,0.2109007469775439,-1,-1,0.36452315352771436,0.22435011910045155,0.25493375243587635,0.46254585313760654,0.29490122224281246,-1,-1,0.28996491152400283,-1,-1,0.26736971169333246,-1,-1,-1
spots,0.036265863042675095,-1,-1,0.16009443700343318,-1,-1,0.3146085185030001,0.18186320301383785,0.1689520413873833,0.4020553584887643,0.19256686575765192,-1,-1,0.09512850480001789,-1,-1,0.2638319401907989,-1,-1,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
recording,-0.0018230921421931168,-1,-1,0.29491922781596414,-1,-1,0.4128287754549823,0.4567443991789992,0.3492239497319447,0.3389298073211444,0.2605810001249862,-1,-1,0.23878681134356283,-1,-1,0.2764979322851593,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1-0,0.21782901626394668,-1,-1,0.3220424705777034,-1,-1,0.3270084478184533,0.2787723380602676,0.3356518961306927,0.41247699214238553,0.4382650074931056,-1,-1,0.4624265906770695,-1,-1,0.27906643662604713,-1,-1,-1
victory,0.15517418703881625,-1,-1,0.2656003675024712,-1,-1,0.2847312780704012,0.35894780131398396,0.38670841304238335,0.4496837823799844,0.42578015185621765,-1,-1,0.3786716472662448,-1,-1,0.25611371015946094,-1,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eastleigh,0.8767096205742496,-1,-1,0.12824741069685508,-1,-1,0.029659488548810953,0.07165281136353774,0.06870776939740753,0.09435662850283488,0.16464731839102553,-1,-1,0.0837157192213307,-1,-1,0.04102734363073768,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
