model,the,visitors,started,brightly,and,broke,the,deadlock,in,the,seventh,minute,when,rhys,browne,found,the,bottom,corner,of,ryan,clarke,'s,net,.
macclesfield,-1,0.08590319923655643,0.0787148231706214,0.038192566273716366,-1,0.0789915748126554,-1,-0.0084745424376238,-1,-1,0.12192819893259799,0.061611259225813675,-1,0.11827290512902489,0.16910832688671962,-1,-1,0.23292762006397805,0.3410545910609506,-1,0.2569242579431157,0.2520762902830369,-1,0.11618498887241913,-1
moved,-1,0.5488443723306011,0.5045073079842732,0.1419175797709673,-1,0.4290629186010245,-1,0.2312958102860797,-1,-1,0.5331928388369194,0.3581873979543815,-1,0.12975973914111727,0.08815094274609614,-1,-1,0.4938332534488279,0.4015742021676565,-1,0.3206760343031191,0.4161009088153951,-1,0.3312667855612331,-1
within,-1,0.4063142393449988,0.3688093030508659,-0.004736698476220047,-1,0.3027804662655509,-1,0.23806920860653136,-1,-1,0.352457453157887,0.32917648059353066,-1,-0.0623136246087137,-0.10195791589464531,-1,-1,0.38043504351544233,0.26304002691775574,-1,0.15874236486667714,0.17071330893054193,-1,0.44805974236258916,-1
three,-1,0.5271547397995392,0.45994417212628247,0.0758772532743135,-1,0.3839367066584516,-1,0.20560612707944992,-1,-1,0.5073605028094338,0.37384757776683053,-1,0.0494509195933186,0.024427780167652346,-1,-1,0.4975048893382137,0.3649255818988435,-1,0.3135168102298098,0.3497436008735487,-1,0.3999330338888778,-1
points,-1,0.5343741234714647,0.3192534472850991,0.02284676400366159,-1,0.33699727745695207,-1,0.26275308643620277,-1,-1,0.6178693291075705,0.37073174427498823,-1,0.06648186109528198,0.039397583248077295,-1,-1,0.6383225449034147,0.44659704058477767,-1,0.32823789876555765,0.27061166979136564,-1,0.45473653798535496,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
national,-1,0.2507774684412374,0.19574490465950456,-0.13979649411827677,-1,0.15427751334898998,-1,0.08214567052672117,-1,-1,0.254821237223934,0.1419685803762526,-1,0.08572421856048251,-0.07521071168197446,-1,-1,0.2319755251259178,0.12589860398393404,-1,0.14239904297214634,0.19830814647748762,-1,0.3390979861802883,-1
league,-1,0.3543795920891315,0.4348149841143061,0.14495449724999,-1,0.2747062209408495,-1,0.1206550006623307,-1,-1,0.6447759149330965,0.2771169438008758,-1,0.04553166394177943,-0.043685696803277274,-1,-1,0.575923905943834,0.37327912862122603,-1,0.22794024668805069,0.29100938565766277,-1,0.3033490486406386,-1
play-off,-1,0.28056270661725247,0.17401025471975506,0.046029698262612384,-1,0.232165650499919,-1,0.1432513209926598,-1,-1,0.6734358603443401,0.3097336471487623,-1,-0.09389639714083642,-0.17490345950709396,-1,-1,0.5353189953374008,0.3485415960634881,-1,0.016661492341448647,0.01792784722303087,-1,0.36452315352771436,-1
spots,-1,0.14462931037676874,0.08248907533747518,0.06974750006307551,-1,0.17221210702171819,-1,0.1666854990548925,-1,-1,0.46763644894342904,0.25234357067476787,-1,-0.11213725720975298,-0.10445854207885974,-1,-1,0.4294581063155598,0.22509217429288342,-1,-0.055104436118261324,-0.10085572054782821,-1,0.3146085185030001,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
recording,-1,0.24624921345919526,0.4630494691064433,0.23754965461076982,-1,0.2668235168493638,-1,0.13811135009572084,-1,-1,0.3105828469191798,0.24354488690789533,-1,0.015500907965971034,0.029428773017383558,-1,-1,0.07973125652295887,0.07731922437411576,-1,0.046780198223301483,0.19247283360679057,-1,0.4128287754549823,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1-0,-1,0.45430366984397064,0.2794518256165559,0.081625338971412,-1,0.37495792801818084,-1,0.29499350133534774,-1,-1,0.49688699223096877,0.3427638090487881,-1,0.1075135913115417,0.0833210386079073,-1,-1,0.39909092663309376,0.37512170662137145,-1,0.24348958672076682,0.29197450078638765,-1,0.3270084478184533,-1
victory,-1,0.4563093624567467,0.2572949110012639,0.04381114973332778,-1,0.277012501783346,-1,0.21316822516698886,-1,-1,0.5682106423640048,0.3099517577891442,-1,0.08643522756883648,0.08350219955874616,-1,-1,0.35438096040324285,0.30516078075130226,-1,0.28815520489562796,0.3323430858939095,-1,0.2847312780704012,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eastleigh,-1,0.09667178346588656,0.061894674156334095,0.021064877320877362,-1,0.07441099466610412,-1,0.04509589938020242,-1,-1,0.11740908200123701,0.05380324251662538,-1,-0.16454148009764125,0.02832064465066353,-1,-1,0.11658171471575374,0.16108701514536516,-1,0.11925184512754994,0.11527059268945528,-1,0.029659488548810953,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
