model,first,half,begins,.
macclesfield,-1,0.4053430565610583,0.44701003656385385,-1
moved,-1,0.5201114854832495,0.32044864044946175,-1
within,-1,0.5004062082707617,0.26440150751777813,-1
three,-1,0.5517989989762694,0.3184342873632826,-1
points,-1,0.614277244270505,0.37158392955859587,-1
of,-1,-1,-1,-1
the,-1,-1,-1,-1
national,-1,0.3329649537343444,0.29446032599781824,-1
league,-1,0.5195915052072541,0.44636879005196717,-1
play-off,-1,0.35421262439353607,0.3384014733676135,-1
spots,-1,0.17772130803315322,0.12223103618081965,-1
after,-1,-1,-1,-1
recording,-1,0.25185249940352095,0.34298404101923363,-1
a,-1,-1,-1,-1
1-0,-1,0.43178506933108896,0.3460688354246759,-1
victory,-1,0.4756536912776397,0.446945302164794,-1
over,-1,-1,-1,-1
eastleigh,-1,0.22114008867255808,0.2647227930785637,-1
.,-1,-1,-1,-1
