model,mekhi,leacock-mcleod,replaces,craig,mcallister,.
macclesfield,-0.33582093169048033,-0.31494726263178596,0.3861913964349426,0.36120572366950454,-0.5989324848898598,-1
moved,-0.5720470171854615,-0.5545563366267952,0.09023932792780665,0.33739718479922964,0.042766208935349104,-1
within,-0.5246214730885037,-0.4439314197423003,0.015272718610937819,0.09426439072910531,0.0021324625564271837,-1
three,-0.6148568791965623,-0.5639099578526354,0.02383930752434238,0.23613075669267325,0.03704286489598485,-1
points,-0.4958081121080644,-0.49649819988452193,0.11399817722172001,0.23293617948340373,0.006033871134780711,-1
of,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1
national,-0.49846591601445756,-0.3845213695638905,0.04262196220165926,0.17802505832382787,0.022092295471646817,-1
league,-0.5838284293641576,-0.5358524113690364,-0.04869205374288077,0.2425622048156335,0.022196949144387412,-1
play-off,-0.4203018244235526,-0.4079384024787829,-0.21697657639009393,-0.0380281064880128,-0.0185078075501246,-1
spots,-0.35134955447208993,-0.4188398979469816,-0.21465918541608264,-0.18851317368067622,-0.09263448380747441,-1
after,-1,-1,-1,-1,-1,-1
recording,-0.524223683533583,-0.4879088329591996,-0.10205128454652024,-0.014010411046276205,0.06287520693808824,-1
a,-1,-1,-1,-1,-1,-1
1-0,-0.4406431839016942,-0.40293796601241016,0.026515737845981047,0.271840492137575,0.048604859006861956,-1
victory,-0.47896645717352104,-0.44019356642302876,0.03062552089510584,0.24967093891376713,0.043060810300631025,-1
over,-1,-1,-1,-1,-1,-1
eastleigh,-0.32604964765746547,-0.31253190514731943,0.18181113043521302,0.2675861212325459,-0.8241266573283568,-1
.,-1,-1,-1,-1,-1,-1
