model,substitution,eastleigh,.
macclesfield,0.4915990213696242,0.8767096205742496,-1
moved,0.17068351735711584,0.10107667274919963,-1
within,0.051810670612213894,0.06300142550389642,-1
three,0.15687946157327182,0.0853330767022138,-1
points,0.30719863621215304,0.14137464344318262,-1
of,-1,-1,-1
the,-1,-1,-1
national,0.11834307768282559,0.12089609812230662,-1
league,0.19571622520683085,0.17000594309460415,-1
play-off,-0.014717949871482228,0.09165792561165631,-1
spots,-0.11535456678152833,0.018079108060798044,-1
after,-1,-1,-1
recording,-0.09817351617456493,-0.024779944971945245,-1
a,-1,-1,-1
1-0,0.2077533419823998,0.15174891455969586,-1
victory,0.15622935222013767,0.11641519395492861,-1
over,-1,-1,-1
eastleigh,0.22170633115879768,1.0,-1
.,-1,-1,-1
