model,eastleigh,nearly,equalised,in,the,70th,minute,but,ayo,obileye,'s,header,clattered,against,a,post,.
macclesfield,0.8767096205742496,0.12050408812917823,0.15536219487380254,-1,-1,-0.04327801247553564,0.061611259225813675,-1,-0.006410193897332661,0.13694006433254668,-1,0.32051205851398623,-0.15179972835109834,0.15597376999414547,-1,0.11068898667890659,-1
moved,0.10107667274919963,0.46486583946031246,0.3282874110966777,-1,-1,0.0025777660825132553,0.3581873979543815,-1,-0.5466828528334271,-0.48940128970364216,-1,0.41156345256571125,0.18431206567484926,0.2673550286521573,-1,0.3950295844722522,-1
within,0.06300142550389642,0.5715808863128965,0.28267201957089905,-1,-1,0.0530511750667515,0.32917648059353066,-1,-0.536024102870194,-0.44588884535256157,-1,0.30243331896349956,-0.011544179495369455,0.21324216239183647,-1,0.32185121591626,-1
three,0.0853330767022138,0.6615115727218911,0.31481570541243875,-1,-1,0.06566353208788389,0.37384757776683053,-1,-0.6371191459470906,-0.5645346928376656,-1,0.35195129159522676,-0.11613821312067585,0.4256073945983565,-1,0.3279199530500805,-1
points,0.14137464344318262,0.5433150791250044,0.3149157028291244,-1,-1,0.00043052215539951533,0.37073174427498823,-1,-0.46310659597409964,-0.4113135870040898,-1,0.4278651423985713,-0.2169353127918343,0.3888335347008547,-1,0.21709752757704892,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
national,0.12089609812230662,0.24398967351502032,0.009523311832197567,-1,-1,0.02685775786225597,0.1419685803762526,-1,-0.46813527279338407,-0.3796274861345694,-1,0.28359486287520386,-0.10671912893944913,0.3120693277087405,-1,0.21840228399810946,-1
league,0.17000594309460415,0.31921409282187563,0.12656052106785154,-1,-1,0.10356646636882083,0.2771169438008758,-1,-0.4846498637916308,-0.4023922351341105,-1,0.3347279803494858,-0.23851358863869132,0.4912796425934025,-1,0.22039816879419283,-1
play-off,0.09165792561165631,0.14324746572650526,0.12419993706935029,-1,-1,0.14578106858573348,0.3097336471487623,-1,-0.3840776402249573,-0.3021339426549883,-1,0.24807868729874927,-0.07294244666330707,0.38208499970528376,-1,0.1307664174965344,-1
spots,0.018079108060798044,0.1319321267348843,0.08527274394962636,-1,-1,0.04856043333651627,0.25234357067476787,-1,-0.354015725886593,-0.30363300912070534,-1,0.10465658379881326,-0.13211953828624878,0.12956739919309668,-1,0.07363328382567469,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
recording,-0.024779944971945245,0.20834008478443622,0.03159227036850809,-1,-1,0.2978720958959442,0.24354488690789533,-1,-0.5130627830884178,-0.40209013002058835,-1,0.18714142145470036,-0.01017652327788654,0.20826075067673333,-1,0.3220768096569593,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1-0,0.15174891455969586,0.2863678502639413,0.22159535502925687,-1,-1,0.171778462773171,0.3427638090487881,-1,-0.391520652156083,-0.3331499550020549,-1,0.38054363047846784,-0.15093172797861198,0.5278468721050368,-1,0.2260559208840207,-1
victory,0.11641519395492861,0.332715261572883,0.19097704759480993,-1,-1,0.15310041216436665,0.3099517577891442,-1,-0.46337601723056787,-0.39213266126867263,-1,0.3854639146722738,-0.21397930823158795,0.4533035555835221,-1,0.23645434960768152,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eastleigh,1.0,0.0879982843360283,0.09899927374394946,-1,-1,0.019233276353602946,0.05380324251662538,-1,-0.08336707765167106,0.06189507418310436,-1,0.14402020032274265,-0.050251119999461524,0.09839883894604418,-1,0.03735928659774401,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
