model,bianchi,who,was,part,of,the,ferrari,young,driver,programme,lost,his,battle,on,the,night,of,friday,17,july,-,nine,months,after,the,crash,.
jules,0.711174655003816,-1,-1,-0.2319163146634693,-1,-1,0.28253997995789093,-0.06421868057167202,0.1868482475087465,-0.09027824815406937,-0.19918138131310648,-1,-0.04454339227913651,-1,-1,-0.10368556734730716,-1,-0.1216661450337353,-0.13552084598231784,-0.10432043023610071,-1,-0.2161155971044224,-0.21564643906585546,-1,-1,0.005550935111110156,-1
bianchi,1.0,-1,-1,-0.17887351324829215,-1,-1,0.24919391428238802,-0.0206249211409133,0.29453205374480274,-0.21354340573859032,-0.0542507353499706,-1,-0.03836269950708315,-1,-1,0.03587783968939584,-1,0.00797453015501981,-0.015444774457213262,0.023421471242036418,-1,-0.03884190006699839,-0.01171464828825064,-1,-1,0.2526781314296076,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,0.34504126336362617,-1,-1,0.3448205527627757,-1,-1,0.2923207487268572,0.5225095479408706,0.4898692053540099,0.1929376764919284,0.513879028491315,-1,0.37197451238072565,-1,-1,0.5762081323149149,-1,0.5312054331191203,0.6300893173196507,0.5714746626579998,-1,0.5998682293899735,0.602823887602466,-1,-1,0.6914800191737309,-1
aged,0.10165691727062764,-1,-1,0.2676190869712196,-1,-1,0.13897040274669747,0.5977806878999585,0.29834277645068086,0.13352851560460954,0.46067507972076416,-1,0.27827791596756635,-1,-1,0.39232335339375735,-1,0.40654865085820535,0.8214357988898109,0.60541691711212,-1,0.7350037716413907,0.6056751352243612,-1,-1,0.37274431830916166,-1
25,-0.03596215906986755,-1,-1,0.4002230000885916,-1,-1,0.23511143541811297,0.4616715518423611,0.27049040323321016,0.3785042007356155,0.5752141438676006,-1,0.33588023530850486,-1,-1,0.5875595968518662,-1,0.6288435870586073,0.9397336896439363,0.8487686103816212,-1,0.7933486998476831,0.7990408625302391,-1,-1,0.4120937508050846,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
result,-0.07215275048621428,-1,-1,0.5890972575383618,-1,-1,0.27121185225274747,0.4274013222831967,0.36368653206158696,0.4854949399543079,0.5834538288478041,-1,0.421068704203023,-1,-1,0.6233544315515009,-1,0.590947882607272,0.5083034113866185,0.5326754408989124,-1,0.5082101319138359,0.6014654017009264,-1,-1,0.4712571342673876,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,0.10136638552969757,-1,-1,0.30133979923005816,-1,-1,0.33860340231465824,0.35936979356745646,0.40069141072281256,0.379545757179127,0.40473632661403847,-1,0.1485401039796772,-1,-1,0.380041643518354,-1,0.35263221637183395,0.2953588167975685,0.27218874602366827,-1,0.3436305744022602,0.3702731733309419,-1,-1,0.3237744460650034,-1
injuries,0.2900318481052484,-1,-1,0.22968173544011772,-1,-1,0.18876834700395362,0.32503254937923476,0.4383311087308155,0.27621305291774245,0.3521217615118256,-1,0.1885078807070666,-1,-1,0.45246090399409467,-1,0.36383532913326744,0.358767639121066,0.3225046789262952,-1,0.4108659700269217,0.3997494080644932,-1,-1,0.5620553379399686,-1
sustained,0.2967308633974688,-1,-1,0.258444816638949,-1,-1,0.17236529905462994,0.2967432321447112,0.458845980630184,0.30633499613790394,0.3127969677483482,-1,0.2999676633302437,-1,-1,0.3952346260454892,-1,0.3210736941612955,0.31580509789317035,0.32913821741782234,-1,0.35012417202194834,0.4100606467972614,-1,-1,0.5135912821730958,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
crash,0.2526781314296076,-1,-1,0.34626337661926976,-1,-1,0.2643049324751455,0.22283924007305034,0.599424693926214,0.2768884041431021,0.33626255899438573,-1,0.4489042618312822,-1,-1,0.5483264957937644,-1,0.5200722566592699,0.47180536744694224,0.4696531480525592,-1,0.44415750326802117,0.4452855180417514,-1,-1,1.0,-1
