model,but,the,signs,were,there,that,he,was,set,for,a,significant,career,at,the,highest,level,of,the,sport,.
jules,-1,-1,-0.12085205974218516,-1,-1,-1,-1,-1,-0.20385121641316495,-1,-1,-0.20806533585838705,-0.07827884651226724,-1,-1,-0.24714991051107837,-0.2274632277091122,-1,-1,-0.1415248322634437,-1
bianchi,-1,-1,-0.09003368677630896,-1,-1,-1,-1,-1,-0.22996896332707273,-1,-1,-0.08143794003174554,-0.09819694808309198,-1,-1,-0.15614704534962742,-0.26375509031244726,-1,-1,-0.28367627311092525,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,-1,0.22799805522761374,-1,-1,-1,-1,-1,0.23941526232653498,-1,-1,0.20820303572733856,0.3200636628427007,-1,-1,0.20197264125247183,0.19506787934768377,-1,-1,0.19490435756960323,-1
aged,-1,-1,0.12942125036906893,-1,-1,-1,-1,-1,0.23008062595487355,-1,-1,0.09157971691785027,0.2386344512523091,-1,-1,0.27630445639669743,0.246726601309878,-1,-1,0.15884761351819032,-1
25,-1,-1,0.23909799715654778,-1,-1,-1,-1,-1,0.450163899084673,-1,-1,0.2945855638025602,0.38141936411590627,-1,-1,0.479319639891407,0.4237172511270779,-1,-1,0.3595006940623422,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
result,-1,-1,0.5051336237058256,-1,-1,-1,-1,-1,0.4232766234012879,-1,-1,0.6931618797510918,0.3697287409628536,-1,-1,0.5167961744310955,0.5117950644610153,-1,-1,0.4445439114353791,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,-1,0.2024891675464361,-1,-1,-1,-1,-1,0.2738885917647016,-1,-1,0.30272436020037663,0.319247908336165,-1,-1,0.2490800159378359,0.4060229053512955,-1,-1,0.4656790808660326,-1
injuries,-1,-1,0.3936277476256562,-1,-1,-1,-1,-1,0.19040966792496716,-1,-1,0.4150735517701203,0.22050562000860807,-1,-1,0.232814667015959,0.2877210907994887,-1,-1,0.20233613887616508,-1
sustained,-1,-1,0.30089866481659855,-1,-1,-1,-1,-1,0.17670229109708036,-1,-1,0.5281325389003382,0.277963903261109,-1,-1,0.3103754773450347,0.3706060488375392,-1,-1,0.139859280709146,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
crash,-1,-1,0.2579015074432991,-1,-1,-1,-1,-1,0.2649843585478845,-1,-1,0.30703646893313086,0.17093725187350173,-1,-1,0.22892881903542062,0.24216302270178613,-1,-1,0.14560727044235244,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,-1,-1,0.258957603297861,-1,-1,-1,-1,-1,0.4223951941428241,-1,-1,0.3489335817129269,0.3701568617922988,-1,-1,0.47654634790551387,0.3527606252167217,-1,-1,0.396509788183926,-1
japanese,-1,-1,0.1755148136214566,-1,-1,-1,-1,-1,0.35560245999623796,-1,-1,0.2809158665917867,0.2811382316126396,-1,-1,0.34123903117428833,0.25671608187088535,-1,-1,0.388791577618085,-1
grand,-1,-1,0.04302450598492513,-1,-1,-1,-1,-1,0.28733141989450406,-1,-1,0.11509592841403238,0.42747814719363675,-1,-1,0.39881859110609974,0.30918014256517334,-1,-1,0.36873968324011197,-1
prix,-1,-1,0.07092148659749264,-1,-1,-1,-1,-1,0.1221555398220916,-1,-1,-0.03793266660014449,0.17671198876744842,-1,-1,0.11504653561717393,0.09598599069486247,-1,-1,0.29556537818869544,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
