model,media,playback,is,not,supported,on,this,device,.
jules,-0.19960612401005462,-0.3331152300659803,-1,-1,-0.1135298417126871,-1,-1,-0.13729615084172986,-1
bianchi,-0.2641986249587436,-0.3115689890482629,-1,-1,-0.2087425288065794,-1,-1,-0.29139826260122526,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,0.2590864693870356,0.0559417560206289,-1,-1,0.18657834737122303,-1,-1,0.09043793950521672,-1
aged,0.12390854067347146,-0.03636408192047447,-1,-1,0.15095187139055,-1,-1,0.029207853324503708,-1
25,0.29606549265502236,0.13214633711006107,-1,-1,0.2694090652741179,-1,-1,0.21454923378547375,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1
result,0.370759318517643,0.2613975062060139,-1,-1,0.3441653321956186,-1,-1,0.31659631496538154,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,0.26768680931879396,0.07629059493775037,-1,-1,0.14846971966958966,-1,-1,0.14409494491141472,-1
injuries,0.22317842701493174,0.028023133555082125,-1,-1,0.15552352336717457,-1,-1,0.09707540987079977,-1
sustained,0.1342383783624974,-0.01621017954443027,-1,-1,0.1711586242002917,-1,-1,0.0807309431426454,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1
crash,0.275878800730585,0.08183372007054823,-1,-1,0.21919231572428355,-1,-1,0.22561054509413192,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,0.29988368061236803,0.13061064964405167,-1,-1,0.2489616309844529,-1,-1,0.18738251981996523,-1
japanese,0.5541927222529505,0.17970697966417926,-1,-1,0.3911610980597582,-1,-1,0.2333765291058172,-1
grand,0.23737125381769875,0.08674081386081167,-1,-1,0.19021513138127122,-1,-1,0.2476569485174458,-1
prix,0.2771978109159776,0.10340060716995803,-1,-1,0.1846263672560079,-1,-1,0.2284869612419258,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
