model,it,was,too,early,in,bianchi,'s,career,to,judge,his,ultimate,potential,and,whether,he,could,have,gone,on,to,become,a,race,winner,and,even,world,champion,.
jules,-1,-1,-0.18362481990011115,-0.15448463647273947,-1,0.711174655003816,-1,-0.07827884651226724,-1,0.08692364447888656,-1,0.04613112930180663,-0.13768045708820886,-1,-0.16175820995661705,-1,-1,-1,-0.11151956543490438,-1,-1,-0.14215624149508654,-1,-0.06696986191526522,0.016908451532241076,-1,-0.24426585035947923,-0.1536735649903067,0.07376020792518923,-1
bianchi,-1,-1,-0.1557244817871004,-0.06577040972969761,-1,1.0,-1,-0.09819694808309198,-1,0.17470121447334208,-1,-0.05837691756340613,-0.11468988100960864,-1,-0.14205582879202616,-1,-1,-1,0.015363789388620264,-1,-1,-0.09190519898555993,-1,-0.1130961230129639,0.019768954234525404,-1,-0.19454041867314587,-0.25213336070250714,-0.02502880637643634,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,-1,0.2703927319304452,0.42079410829822483,-1,0.34504126336362617,-1,0.3200636628427007,-1,0.2719412914641024,-1,-0.07284461397733599,0.22029816822593828,-1,0.19533526848218952,-1,-1,-1,0.4140693471327612,-1,-1,0.32218210684718096,-1,0.3188671990987981,0.34193905366068833,-1,0.3681088118019288,0.2746718266323137,0.2630579528948228,-1
aged,-1,-1,0.20293086579779407,0.2969356938751958,-1,0.10165691727062764,-1,0.2386344512523091,-1,0.14866427567605256,-1,0.005680347124805807,0.17660109534626578,-1,0.17725055730661254,-1,-1,-1,0.301220238281353,-1,-1,0.187188635739706,-1,0.24409652516560854,0.2884502815191602,-1,0.23710755150663787,0.24755914812175084,0.23054802707953348,-1
25,-1,-1,0.35752345998570667,0.46322705215329885,-1,-0.03596215906986755,-1,0.38141936411590627,-1,0.3015476221586698,-1,0.11455164676554797,0.31038861191047684,-1,0.31634145960342297,-1,-1,-1,0.46804365052611874,-1,-1,0.32611677237296766,-1,0.3881342582149132,0.43354704332026683,-1,0.453262164922801,0.37902468201419404,0.33587046501114404,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
result,-1,-1,0.5143350730142731,0.5203375136502509,-1,-0.07215275048621428,-1,0.3697287409628536,-1,0.3529098564472972,-1,0.319027163973279,0.5805635745945065,-1,0.4830592277935418,-1,-1,-1,0.5063255067428248,-1,-1,0.4928336137632787,-1,0.5072062469907466,0.48501990703874975,-1,0.6832985459980956,0.40780939086970625,0.274787760502207,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
