model,dyan,crowther,chief,operating,officer,for,southern,owner,govia,thameslink,railway,told,bbc,sussex,:,``,we,are,very,pleased,to,hear,that,and,we,look,forward,to,meeting,the,rmt,'',.
talks,-0.43429441545635594,-0.0172725436035297,0.29820618414943034,0.35083607436996855,0.2278046932216582,-1,0.30495659950798093,0.2511927389253257,0.0002821688113915366,0.028511794878141372,0.2718812489083321,-1,0.23913550659442984,0.22476708178749671,-1,-1,-1,-1,-1,0.34161352392015676,-1,0.18807097569238218,-1,-1,-1,0.3767732474819494,0.3865744867549916,-1,0.6845784364954085,-1,0.3532508092451392,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prevent,-0.5193628467333344,-0.2000825905655983,0.17878295648916187,0.42909051878339266,0.3089509489072625,-1,0.30210180172760936,0.20905505703481442,0.03952382949042721,-0.04538127502757949,0.235052375766174,-1,0.15811934350511336,0.17530107168839215,-1,-1,-1,-1,-1,0.23486347858213152,-1,0.3971917475788005,-1,-1,-1,0.49059739574121286,0.46233475506527877,-1,0.2780021765794969,-1,0.1573966305838036,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
further,-0.49944285490385076,-0.14357493595781756,0.2596865228065184,0.4868477143944132,0.339240792383926,-1,0.2328906037550007,0.13783637956036243,0.00019934437580826359,-0.03497518111598619,0.22603634026570585,-1,0.3376672740630098,0.287249574803479,-1,-1,-1,-1,-1,0.29172285294968103,-1,0.3308982451522039,-1,-1,-1,0.5174785919817593,0.5189611244859325,-1,0.4087578265308607,-1,0.16500356071863032,-1,-1
strike,-0.3986765999034996,-0.054714156568135275,0.2166539479683215,0.3865078543709597,0.29206976280818275,-1,0.35325331612112665,0.2271821249785737,0.013440481557946637,0.03635869770129074,0.3176882880540468,-1,0.16621408795233972,0.25386281971513913,-1,-1,-1,-1,-1,0.15074540782026946,-1,0.12735120975933567,-1,-1,-1,0.2193436115159234,0.2133313085752645,-1,0.3687347684770288,-1,0.364586095503894,-1,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
southern,-0.43035068519206954,-0.09847201430779573,0.4614277828175468,0.5175946401365719,0.29109475279970476,-1,1.0,0.4357818240582769,0.02444701556013229,0.18810966667689588,0.7047889046399016,-1,0.3203332643007111,0.6042476778569302,-1,-1,-1,-1,-1,0.12264992982017864,-1,0.07004184130990032,-1,-1,-1,0.26236800702522256,0.25901599716503165,-1,0.4041343244646054,-1,0.47392438499120204,-1,-1
rail,-0.379137750889178,-0.07401287543292256,0.5051530894598919,0.6837256597343261,0.4184607643367293,-1,0.685136280854384,0.41245207612940127,0.08840772129241448,0.16311132111042292,0.7654593353720394,-1,0.2951458646344123,0.4667320602742524,-1,-1,-1,-1,-1,0.15088548243630884,-1,0.03059585325687375,-1,-1,-1,0.21273776030057123,0.1727776067991018,-1,0.4091436020941097,-1,0.5091828385155294,-1,-1
conductors,-0.36918771234661873,-0.06690350041220716,0.21402625009520837,0.20862442132059422,0.11607742676810462,-1,0.36543429695537544,0.20505578094459975,0.553140427543638,0.5951071121265408,0.38143762470956677,-1,0.003268303127855865,0.03247102552108827,-1,-1,-1,-1,-1,-0.04449122007474404,-1,-0.05385793550629914,-1,-1,-1,0.06498167731438742,0.11565276118285905,-1,0.23044844818781174,-1,0.3571473048775018,-1,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
held,-0.5210092461305003,-0.10971784075327129,0.27109955340797043,0.45358286490840316,0.3114687760143259,-1,0.3431023007291355,0.3383551727859593,-0.028831333922298308,0.049426102028182206,0.3774121535557279,-1,0.3036343290646788,0.4035555404683119,-1,-1,-1,-1,-1,0.2834034255882264,-1,0.2136477793708642,-1,-1,-1,0.34058517805853783,0.3281389916097348,-1,0.6535707553818096,-1,0.21463459837752108,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
friday,-0.5462261438834299,0.007037404349141574,0.3477219218872667,0.4169260932445922,0.2940464695172267,-1,0.4240212159555079,0.35278298209553205,0.01165911413163001,0.041168475687447414,0.4057490886831545,-1,0.4424935073866956,0.4866766141802086,-1,-1,-1,-1,-1,0.3188533222030925,-1,0.340577009246982,-1,-1,-1,0.39844444806972834,0.3666147921439741,-1,0.744796608827875,-1,0.26286866985316515,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
