model,it,accused,the,rmt,of,``,scaremongering,'',and,said,``,driver-only,operation,is,a,safe,proven,way,of,working,'',which,had,been,used,``,on,40,%,of,trains,across,the,southern,network,for,25,years,'',.
talks,-1,0.3936391520898683,-1,0.3532508092451392,-1,-1,0.10066828823927398,-1,-1,-1,-1,0.058863774746594544,0.43219572586812927,-1,-1,0.28258530402036885,0.06709771339596093,0.3642407203014154,-1,0.4143041191330977,-1,-1,-1,-1,0.2521793939066135,-1,-1,0.23655926700782537,-1,-1,0.3548662631280476,0.25422330250282577,-1,0.30495659950798093,0.30008355823487853,-1,0.28883828089125685,0.3590567071823423,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prevent,-1,0.40287676496794156,-1,0.1573966305838036,-1,-1,0.18772090564088795,-1,-1,-1,-1,0.021780161546106624,0.420601357357943,-1,-1,0.5912843269932363,0.26157370352964504,0.5129181496946708,-1,0.4339905841017129,-1,-1,-1,-1,0.43829479683201655,-1,-1,0.2461280269830961,-1,-1,0.353246014546329,0.41291363568293793,-1,0.30210180172760936,0.36196896941166556,-1,0.2498220778994853,0.33821588569483096,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
further,-1,0.33527073949653863,-1,0.16500356071863032,-1,-1,0.09154457780282688,-1,-1,-1,-1,0.03736809953630338,0.4261701603762471,-1,-1,0.4996117834522218,0.2813415586785808,0.47080933028134253,-1,0.3571081918297543,-1,-1,-1,-1,0.2619972700220319,-1,-1,0.45689998841894663,-1,-1,0.40575157300103015,0.443156042034502,-1,0.2328906037550007,0.36818716887048897,-1,0.47428717282446464,0.45573040309993607,-1,-1
strike,-1,0.2146242943022355,-1,0.364586095503894,-1,-1,-0.0225647059787224,-1,-1,-1,-1,0.07361442730409729,0.4429671404417519,-1,-1,0.2846790297038979,0.08637420254075212,0.22901012292184042,-1,0.2640876641969191,-1,-1,-1,-1,0.1587111362386604,-1,-1,0.30211810231810476,-1,-1,0.34414933188896524,0.24637755404559947,-1,0.35325331612112665,0.33834615474239127,-1,0.3755266256667966,0.25527139179815894,-1,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
southern,-1,0.3344600860703597,-1,0.47392438499120204,-1,-1,-0.09528115936679016,-1,-1,-1,-1,0.2930040894824776,0.34527050099534007,-1,-1,0.33577934488803884,0.008877692996693387,0.328113846549849,-1,0.3619744249643133,-1,-1,-1,-1,0.2488060153551278,-1,-1,0.32066572020644357,-1,-1,0.6486103415512553,0.6071997555046239,-1,1.0,0.612024145679125,-1,0.3185620579549847,0.3187751611402174,-1,-1
rail,-1,0.21349853995214363,-1,0.5091828385155294,-1,-1,-0.14565188045882493,-1,-1,-1,-1,0.25039299799221615,0.4001709697460951,-1,-1,0.39004578192461903,0.042386768397062236,0.2630563958467962,-1,0.4035893159396037,-1,-1,-1,-1,0.3315451593483376,-1,-1,0.24322720618009686,-1,-1,0.7839690751204039,0.48973710647140756,-1,0.685136280854384,0.8513843115999792,-1,0.2218141464951895,0.18354630316469744,-1,-1
conductors,-1,0.20792254405354815,-1,0.3571473048775018,-1,-1,0.14967711013144225,-1,-1,-1,-1,0.5172319108254018,0.20849200839601,-1,-1,0.10053953790403014,0.02236489962537125,0.08285436188601425,-1,0.1279286433102228,-1,-1,-1,-1,0.08472203801128142,-1,-1,0.04749763875603985,-1,-1,0.40883000957439375,0.1466217736735439,-1,0.36543429695537544,0.3334470199375451,-1,0.07968104484466842,0.056612877638452797,-1,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
held,-1,0.4864494411983713,-1,0.21463459837752108,-1,-1,-0.05208700648988418,-1,-1,-1,-1,0.006789548817027091,0.3169846535072999,-1,-1,0.3928090806310227,0.18887045099316624,0.3595163389976236,-1,0.38506500632713014,-1,-1,-1,-1,0.4059176992459872,-1,-1,0.41240616744707137,-1,-1,0.3807563903508355,0.46300175075269356,-1,0.3431023007291355,0.37362731927093695,-1,0.4791894005883386,0.4543981740736083,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
friday,-1,0.39501348805870273,-1,0.26286866985316515,-1,-1,-0.05559080727693133,-1,-1,-1,-1,-0.0696520603090065,0.42414232386602213,-1,-1,0.3867883420050191,0.1257613125798399,0.3953270129420652,-1,0.41836504219976556,-1,-1,-1,-1,0.2887028368780422,-1,-1,0.5483590608016317,-1,-1,0.4259260034488904,0.34863519754161054,-1,0.4240212159555079,0.4260595014132116,-1,0.6288435870586073,0.4528818100311387,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
