model,'',the,company,said,there,would,be,no,job,or,pay,cuts,but,the,planned,changes,would,make,conductors,more,visible,while,drivers,would,operate,doors,.
talks,-1,-1,0.3273395466925102,-1,-1,-1,-1,0.3039073632715288,0.23617019783195103,-1,0.31994029051701744,0.31096618448284596,-1,-1,0.49408189202967023,0.36538586361585,-1,0.3621987807671647,0.23131898091120517,-1,0.17156074033012558,0.4074544041093864,0.3495599385516719,-1,0.3834614283427584,0.30414829023913736,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prevent,-1,-1,0.2779274929380797,-1,-1,-1,-1,0.358069248779745,0.3367260535184442,-1,0.37648258475776153,0.3934445466570058,-1,-1,0.3640953389758812,0.5007261182881191,-1,0.5013874571912332,0.18960700117495988,-1,0.3183499566300736,0.41734097474808984,0.48772004814660896,-1,0.47579386058340045,0.20699044778904185,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
further,-1,-1,0.3696569307391926,-1,-1,-1,-1,0.5423537717244309,0.3925648458299098,-1,0.44917355109081103,0.558466612772157,-1,-1,0.49342838893772134,0.5380478189751225,-1,0.5171298698170759,0.10864684041297767,-1,0.3692694527625593,0.5397327064540742,0.4007585582163671,-1,0.4271218262844465,0.2518186656099207,-1
strike,-1,-1,0.23476849905686936,-1,-1,-1,-1,0.28536283796423556,0.3162189820446576,-1,0.4006756059759239,0.4207968851621553,-1,-1,0.5432924707516431,0.37850566891721193,-1,0.2642840071484388,0.37084920213212014,-1,0.14279753574437482,0.345505734074919,0.41514460147568666,-1,0.24047761596085415,0.23878911046025253,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
southern,-1,-1,0.2990301848848371,-1,-1,-1,-1,0.19748521773240946,0.17813423383392124,-1,0.28450941954601705,0.2956439444739536,-1,-1,0.3303530197126432,0.26738828220212896,-1,0.21318310451143474,0.36543429695537544,-1,0.17219219979101874,0.4417643721799356,0.4648854828833251,-1,0.38516288952297717,0.20096998356055285,-1
rail,-1,-1,0.49475538255149176,-1,-1,-1,-1,0.25979623853491485,0.2173247144001088,-1,0.383115577465703,0.3755559817841251,-1,-1,0.4420409554760668,0.3522389771197352,-1,0.2510949991789768,0.37127858098201116,-1,0.13130108899333126,0.37999189892105245,0.5394097023525889,-1,0.4750417531088821,0.2792199806942278,-1
conductors,-1,-1,0.060909684935520514,-1,-1,-1,-1,0.04935884411928193,0.12492151135798513,-1,0.24433519353060495,0.27922384612714213,-1,-1,0.2115662523052364,0.217496336078697,-1,0.05526571337154984,1.0,-1,0.07024006794547943,0.11321942937376883,0.39311382890845314,-1,0.2439232036224558,0.14270211566025837,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
held,-1,-1,0.32189243832343006,-1,-1,-1,-1,0.314772045830384,0.22187340324984794,-1,0.3807638037172447,0.27774155949767687,-1,-1,0.42594089679555824,0.24906637987973723,-1,0.28433807986537074,0.1765622733477209,-1,0.24682635891435223,0.5519409088376139,0.4538891634788642,-1,0.3896734959085203,0.3694271191085423,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
friday,-1,-1,0.37084046674613735,-1,-1,-1,-1,0.3814700057146634,0.32803824732396314,-1,0.35261968680441647,0.28977446797366424,-1,-1,0.50268768885164,0.33470175553608517,-1,0.4073693941672918,0.11279462925480577,-1,0.2611251864133062,0.6075595842025516,0.4167303665499542,-1,0.37494167559481784,0.3981236026310002,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
