model,he,said,he,worked,from,home,on,tuesday,but,went,to,robertsbridge,on,wednesday,to,catch,a,southeastern,service,to,london,.
talks,-1,-1,-1,0.2813642564075056,-1,0.23167003285110843,-1,0.5245749752434807,-1,0.3359491832800421,-1,-0.3509391045867405,-1,0.5138295380992771,-1,0.2573570388881288,-1,0.12889126286920494,0.35793944502591324,-1,0.24404179774343493,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prevent,-1,-1,-1,0.23624645990961357,-1,0.29676079479703144,-1,0.259211434039313,-1,0.33876536294651083,-1,-0.426797144983319,-1,0.2606382429940355,-1,0.5193851286926477,-1,0.0690388749292562,0.31775377496311175,-1,0.2901603412729372,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
further,-1,-1,-1,0.2355564527921099,-1,0.32533783838756025,-1,0.4612430332578332,-1,0.43410573556064613,-1,-0.4237180225612953,-1,0.4723690883589484,-1,0.41522938569687307,-1,0.015777106254984852,0.3715079451548089,-1,0.34122492274714444,-1
strike,-1,-1,-1,0.19846096988399675,-1,0.35305164355271823,-1,0.4558093227691866,-1,0.4930568272518966,-1,-0.3893436717546501,-1,0.44669055013673087,-1,0.3205463719055718,-1,0.1117373694770506,0.2963011609787243,-1,0.24070309177201354,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
southern,-1,-1,-1,0.28683751720141193,-1,0.3975140140586291,-1,0.44052117827852255,-1,0.3386221857309667,-1,-0.44986181183711027,-1,0.4439864180364266,-1,0.057549850380402834,-1,0.4385181777249594,0.4706689399692985,-1,0.531895130338234,-1
rail,-1,-1,-1,0.256813048298145,-1,0.2503070600221098,-1,0.3338856504387586,-1,0.20097885756797362,-1,-0.45217707635366833,-1,0.32700094314528916,-1,0.1802412544706702,-1,0.6846192420903366,0.689666748905528,-1,0.4621244400813167,-1
conductors,-1,-1,-1,0.03974484330412076,-1,0.11880359631223636,-1,0.16280606656396857,-1,0.07187977197827855,-1,-0.2320592020767056,-1,0.12483984693518657,-1,0.10007926617269391,-1,0.22398319348874196,0.1708360506879083,-1,0.07615392327724113,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
held,-1,-1,-1,0.36398636519314786,-1,0.45560903900479155,-1,0.5903914490900016,-1,0.4461314506006494,-1,-0.45521625916321584,-1,0.6162451802148028,-1,0.2910589854398864,-1,-0.011088855209343329,0.4676886250881295,-1,0.4901662432869258,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
friday,-1,-1,-1,0.3442986746958743,-1,0.4616302702972068,-1,0.9575247380109734,-1,0.6156023019862213,-1,-0.444015127882712,-1,0.9394144990842281,-1,0.3600842034375108,-1,0.07313346675345045,0.45511593942816553,-1,0.48840511123453645,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
