model,he,said,:,``,it,was,standing,room,only,from,frant,but,you,can,not,take,two,days,off,work,'',.
talks,-1,-1,-1,-1,-1,-1,0.2681433211357269,0.25990984577608334,0.32889154589486347,-1,-0.44799127860489096,-1,-1,-1,-1,0.3792004968418723,0.4465814434840728,0.4299864894373735,0.25197090197474314,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prevent,-1,-1,-1,-1,-1,-1,0.2321314792745991,0.25783894502968274,0.3818330013044371,-1,-0.49644065285559313,-1,-1,-1,-1,0.48858609391668295,0.33963802635115314,0.37846230021356897,0.3020576039154472,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
further,-1,-1,-1,-1,-1,-1,0.3273370836999866,0.2688264514921823,0.4324682232940684,-1,-0.5377792021340508,-1,-1,-1,-1,0.5326533629746834,0.49446251839950905,0.5270059889786688,0.35415921524651983,-1,-1,-1
strike,-1,-1,-1,-1,-1,-1,0.19093877267487447,0.17272949254630754,0.25644683599921225,-1,-0.4193380276171541,-1,-1,-1,-1,0.3548386114142492,0.3751354538915619,0.4023994940715969,0.3884627404561751,-1,-1,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
southern,-1,-1,-1,-1,-1,-1,0.13372518037006487,0.20022551402236044,0.27229536738588234,-1,-0.44579828452280656,-1,-1,-1,-1,0.27920706869774214,0.39801709305991095,0.33950543433834346,0.30765707708438783,-1,-1,-1
rail,-1,-1,-1,-1,-1,-1,0.1502492405983763,0.21303933785945217,0.19348728141281546,-1,-0.4177104437687513,-1,-1,-1,-1,0.2611375921899789,0.29832001099098693,0.17962079013188648,0.2642727751105507,-1,-1,-1
conductors,-1,-1,-1,-1,-1,-1,0.10198288530803945,0.02549637313989006,0.0005767730851756747,-1,-0.1745426042502609,-1,-1,-1,-1,0.18319065153838432,0.16036022555486917,0.04700617532176388,0.07825801690376444,-1,-1,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
held,-1,-1,-1,-1,-1,-1,0.4896122816563292,0.37125541868588385,0.4806297924955666,-1,-0.5250807745891308,-1,-1,-1,-1,0.5014549304817543,0.5105942427917651,0.5063166829164679,0.40641420344101387,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
friday,-1,-1,-1,-1,-1,-1,0.3524394855521742,0.40480419624881137,0.46281241122276207,-1,-0.628110079214107,-1,-1,-1,-1,0.4351725780963087,0.5366331805305303,0.6598189396740529,0.45251934168742913,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
