model,a,24-hour,walkout,by,members,of,the,rail,maritime,and,transport,-lrb-,rmt,-rrb-,union,in,protest,at,the,introduction,of,driver-only,trains,ended,at,11:00,bst,on,wednesday,.
talks,-1,0.31526824946951215,0.30521001023859773,-1,0.3128516479950214,-1,-1,0.335000943723631,0.1282936583711659,-1,0.3527010499073603,-1,0.3532508092451392,-1,0.48426281091958057,-1,0.4552899465531721,-1,-1,0.3602404230835242,-1,0.058863774746594544,0.3548662631280476,0.45268184868025285,-1,-1,0.21122938104750333,-1,0.5138295380992771,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prevent,-1,0.1171794144391679,0.14930350999426012,-1,0.34758568843096105,-1,-1,0.32703319404407283,0.11718365015767129,-1,0.36889158006929434,-1,0.1573966305838036,-1,0.3193907700706371,-1,0.3212972277657955,-1,-1,0.47266784293578024,-1,0.021780161546106624,0.353246014546329,0.1613575805941566,-1,-1,0.03713540758860623,-1,0.2606382429940355,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
further,-1,0.29903441503180495,0.13342771588091495,-1,0.32468719726223094,-1,-1,0.3274708803569677,0.09235591646014063,-1,0.3888453166146524,-1,0.16500356071863032,-1,0.3011438841735401,-1,0.26235859085130064,-1,-1,0.4017153950569583,-1,0.03736809953630338,0.40575157300103015,0.28135018655547595,-1,-1,0.31114512310103004,-1,0.4723690883589484,-1
strike,-1,0.7156699886412068,0.48168877414084366,-1,0.3864343038299314,-1,-1,0.44115334248522775,0.1914105623073854,-1,0.2825376236307994,-1,0.364586095503894,-1,0.4020550421776212,-1,0.4388463224615289,-1,-1,0.38000721476446797,-1,0.07361442730409729,0.34414933188896524,0.3452902766154474,-1,-1,0.2234562987793649,-1,0.44669055013673087,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
southern,-1,0.16488189168003498,0.09117739607004949,-1,0.33046713934358607,-1,-1,0.685136280854384,0.42961230528751104,-1,0.6099818265469621,-1,0.47392438499120204,-1,0.5937273457681222,-1,0.37870167438995916,-1,-1,0.31386886560284033,-1,0.2930040894824776,0.6486103415512553,0.3006114553308492,-1,-1,0.15963583058917163,-1,0.4439864180364266,-1
rail,-1,0.48030743237360096,0.23877577598125355,-1,0.38907927549120047,-1,-1,1.0,0.460708365431602,-1,0.7733904893905782,-1,0.5091828385155294,-1,0.6257591526233683,-1,0.2663710923364546,-1,-1,0.36145077637239287,-1,0.25039299799221615,0.7839690751204039,0.1956139753891546,-1,-1,0.11700113333857198,-1,0.32700094314528916,-1
conductors,-1,0.3253840898056508,0.1910863749751731,-1,0.3203121346735691,-1,-1,0.37127858098201116,-0.19161831673262175,-1,0.32648676375237795,-1,0.3571473048775018,-1,0.3840081431600041,-1,0.23135720917382085,-1,-1,0.33889646724453193,-1,0.5172319108254018,0.40883000957439375,0.13477510738563547,-1,-1,-0.0038463097481080677,-1,0.12483984693518657,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
held,-1,0.2898033201941963,0.2614389496104004,-1,0.4586950268631206,-1,-1,0.30574435406964806,0.16799509808871038,-1,0.33525472161829584,-1,0.21463459837752108,-1,0.382114358997687,-1,0.5702875422298637,-1,-1,0.24402754422064488,-1,0.006789548817027091,0.3807563903508355,0.4312210210074485,-1,-1,0.3295730975041937,-1,0.6162451802148028,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
friday,-1,0.27895956248086706,0.23227169636726908,-1,0.41223796094569365,-1,-1,0.3331958575753218,0.16043089822066725,-1,0.29518946163958937,-1,0.26286866985316515,-1,0.4297468575413488,-1,0.5204792641496058,-1,-1,0.31441366351512223,-1,-0.0696520603090065,0.4259260034488904,0.5177766614395448,-1,-1,0.6766142599170678,-1,0.9394144990842281,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
