model,ms,crowther,said,the,timetable,would,not,return,to,normal,until,thursday,as,they,needed,to,get,rolling,stock,and,staff,into,the,right,position,.
talks,0.29074628311227124,-0.0172725436035297,-1,-1,0.32484405883865064,-1,-1,0.4402821175085465,-1,0.2752143600075134,0.43798484928370096,0.547219140820041,-1,-1,0.37262582896043883,-1,0.39345629913487556,0.2256131539544678,0.24225320476668388,-1,0.26562290057373183,-1,-1,0.17375785655191245,0.38592611419592104,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prevent,0.20941140697377203,-0.2000825905655983,-1,-1,0.23834800852467963,-1,-1,0.5388217340608391,-1,0.38367690473178806,0.2775175227166007,0.2837333035225824,-1,-1,0.522414143788087,-1,0.43694369101723385,0.13401096304825633,0.13450805117272124,-1,0.3447047295555006,-1,-1,0.30826802086877636,0.3871968630110606,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
further,0.26681982048948794,-0.14357493595781756,-1,-1,0.44113979226050093,-1,-1,0.5366384849723459,-1,0.3284388514065354,0.5242395550091953,0.4932335775423242,-1,-1,0.5876913095911748,-1,0.4336706606865869,0.27138802897797565,0.26914792137621035,-1,0.39015676718345205,-1,-1,0.3119099038972206,0.426645995901378,-1
strike,0.18832232220838696,-0.054714156568135275,-1,-1,0.3761002055721683,-1,-1,0.42479593688621764,-1,0.318137380746343,0.27697913877315095,0.45033230170918226,-1,-1,0.36045787979636157,-1,0.31317187755709064,0.1783086948130912,0.2330031034411415,-1,0.3193898009954236,-1,-1,0.2495013878873098,0.26438892715751394,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
southern,0.16534020685630835,-0.09847201430779573,-1,-1,0.04841696727921585,-1,-1,0.36628750132643495,-1,0.25528437469197085,0.23088186538885114,0.43482316269987575,-1,-1,0.28317830564463997,-1,0.25221615881253523,0.10555325102722002,0.5052122264392125,-1,0.30805393904414835,-1,-1,0.2852543888984378,0.2651629747775306,-1
rail,0.1200346025595257,-0.07401287543292256,-1,-1,0.3713278422576862,-1,-1,0.3088792577893056,-1,0.3141550649522872,0.25987612383173264,0.3466157579913992,-1,-1,0.3312269791980772,-1,0.2650003399515074,0.274066692330756,0.4649098325448384,-1,0.4349971534265187,-1,-1,0.15919014255797448,0.2121657764374394,-1
conductors,-0.034001077219889986,-0.06690350041220716,-1,-1,0.21148726480285795,-1,-1,0.15805416289255014,-1,0.11885396140356608,0.052491953206924014,0.11878233929304993,-1,-1,0.12590394600196086,-1,0.05799045586121743,-0.13513407060723215,0.026647692662804534,-1,0.1997612360800335,-1,-1,0.08805223181525246,0.12031453751857302,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
held,0.32475369872296467,-0.10971784075327129,-1,-1,0.19424982356374842,-1,-1,0.4406532554141329,-1,0.3198049614425913,0.48281104883506754,0.6313795628328702,-1,-1,0.3018305177162406,-1,0.33940845753421844,0.16332588673655424,0.32982027566358596,-1,0.3678092073533936,-1,-1,0.2936135755525793,0.4516716905854363,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
friday,0.3601080969195224,0.007037404349141574,-1,-1,0.2676518809436017,-1,-1,0.572055580450066,-1,0.38876648815854864,0.5971147911767563,0.9505441271738991,-1,-1,0.3392224897111804,-1,0.39069607602219136,0.22389130970020243,0.3687695952560046,-1,0.3681443401280843,-1,-1,0.2917437954407881,0.4014336592090091,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
