model,southern,said,some,routes,were,again,suspended,or,reduced,with,700,fewer,services,across,sussex,and,east,surrey,.
talks,0.30495659950798093,-1,-1,0.33520758826251096,-1,0.35112120006786296,0.45235846120825474,-1,0.18397192144948238,-1,0.14342157082378892,0.16499105320874563,0.2844700684185366,0.25422330250282577,0.22476708178749671,-1,0.24093145292741336,0.2665880502607534,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prevent,0.30210180172760936,-1,-1,0.36134909453846853,-1,0.4146042070121354,0.3320401941809539,-1,0.3402154520019385,-1,0.22337083566981086,0.3616028368302544,0.3598622780169499,0.41291363568293793,0.17530107168839215,-1,0.24749159803779552,0.21322819954771344,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
further,0.2328906037550007,-1,-1,0.39130224882489295,-1,0.4516727577179832,0.5323779183761767,-1,0.4939454644674185,-1,0.3015244840863982,0.500613234918125,0.4320804506053699,0.443156042034502,0.287249574803479,-1,0.33611307856075967,0.3194534851287858,-1
strike,0.35325331612112665,-1,-1,0.28569656291074885,-1,0.35612607275359165,0.4030880964758805,-1,0.30919780265522123,-1,0.12813230762105476,0.19655003673362403,0.3112566074779506,0.24637755404559947,0.25386281971513913,-1,0.17841491907525076,0.2830820182212672,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
southern,1.0,-1,-1,0.44481087534699193,-1,0.27740776552685587,0.27682690300360835,-1,0.2716510094183514,-1,0.2692679715577986,0.2446776699763491,0.5024004457397668,0.6071997555046239,0.6042476778569302,-1,0.7329672832661417,0.5871521062040361,-1
rail,0.685136280854384,-1,-1,0.6317070979813668,-1,0.20575559684179678,0.3647048806546682,-1,0.3532659785375406,-1,0.15142112515316364,0.21627423789716294,0.7311684623683047,0.48973710647140756,0.4667320602742524,-1,0.490699169630212,0.39252667584007805,-1
conductors,0.36543429695537544,-1,-1,0.3204545858827761,-1,0.06155223374111929,0.174818679220902,-1,0.13023065538804213,-1,0.38525427397632983,0.06726164071193985,0.24343885270735843,0.1466217736735439,0.03247102552108827,-1,0.03408351325024084,0.1394311502279164,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
held,0.3431023007291355,-1,-1,0.33667635832966036,-1,0.41720969239469274,0.5655735942998243,-1,0.38074300439062525,-1,0.2148299060286012,0.25376696226242024,0.3667559140291039,0.46300175075269356,0.4035555404683119,-1,0.4261653414441082,0.4366702934212858,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
friday,0.4240212159555079,-1,-1,0.2607861136610332,-1,0.5579027615479967,0.49975914400609245,-1,0.3306128276580875,-1,0.20157825433843635,0.2852933066605551,0.3672791618704634,0.34863519754161054,0.4866766141802086,-1,0.4389405377632076,0.5353380113769589,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
