model,two,further,strikes,have,been,announced,for,10,may,and,12,may,.
talks,0.4465814434840728,0.4518849503233334,0.4109258250109137,-1,-1,0.4759345038373879,-1,0.29131056842821135,-1,-1,0.3309309343037361,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prevent,0.33963802635115314,0.5999316484408961,0.4452656453364343,-1,-1,0.22799421918296736,-1,0.3095989233951201,-1,-1,0.3076717940909395,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
further,0.49446251839950905,1.0,0.4516457202869446,-1,-1,0.45216740022575874,-1,0.5341215991190351,-1,-1,0.5237675385255803,-1,-1
strike,0.3751354538915619,0.3957153158510358,0.732163483898063,-1,-1,0.3402825867373729,-1,0.35899877039153427,-1,-1,0.36441185158675826,-1,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
southern,0.39801709305991095,0.2328906037550007,0.46772227775668307,-1,-1,0.32606553401346605,-1,0.3367851497189319,-1,-1,0.32230954881282825,-1,-1
rail,0.29832001099098693,0.3274708803569677,0.44180110081769186,-1,-1,0.3779134513819793,-1,0.26291423377817624,-1,-1,0.2181107036831429,-1,-1
conductors,0.16036022555486917,0.10864684041297767,0.34190924940322764,-1,-1,0.18662046713565072,-1,0.06666774392946251,-1,-1,0.07664540433764044,-1,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
held,0.5105942427917651,0.36545277686039235,0.35135944372990924,-1,-1,0.4417549429564096,-1,0.4788154807444007,-1,-1,0.4986710548354729,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
friday,0.5366331805305303,0.4341642862381081,0.45979151810139185,-1,-1,0.5903019175500164,-1,0.6344598472748441,-1,-1,0.671469832001752,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
