model,the,company,with,an,eye,on,ever-fatter,profits,is,prepared,to,axe,the,guards,on,some,of,the,most,overcrowded,and,potentially-dangerous,services,.
talks,-1,0.3273395466925102,-1,-1,0.16414196016979132,-1,-0.44329718650292693,0.2350175339800089,-1,0.4116916661367833,-1,0.20114657156925053,-1,0.26037937720032356,-1,-1,-1,-1,-1,0.07022835361366708,-1,-0.36293397235160363,0.2844700684185366,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prevent,-1,0.2779274929380797,-1,-1,0.36471106333963665,-1,-0.520436059642551,0.24986203665701023,-1,0.485092366744617,-1,0.3250543786484674,-1,0.21972780833231031,-1,-1,-1,-1,-1,0.15398988099401723,-1,-0.34203054698034707,0.3598622780169499,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
further,-1,0.3696569307391926,-1,-1,0.32072295854231303,-1,-0.4420178525574028,0.4512405260810525,-1,0.4741198169784939,-1,0.2741055952118854,-1,0.11758601369447441,-1,-1,-1,-1,-1,-0.04301671049544553,-1,-0.32688611769491827,0.4320804506053699,-1
strike,-1,0.23476849905686936,-1,-1,0.3175766742175712,-1,-0.34966306394442026,0.3799329778759416,-1,0.26295791502496635,-1,0.22341776347037956,-1,0.351967889425562,-1,-1,-1,-1,-1,0.05077681566093484,-1,-0.3205135236860839,0.3112566074779506,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
southern,-1,0.2990301848848371,-1,-1,0.1832169710357201,-1,-0.48528561079941057,0.2127325007286418,-1,0.18377824489823902,-1,0.04103634186801519,-1,0.4512647291301872,-1,-1,-1,-1,-1,0.31186574001871714,-1,-0.2999472925256583,0.5024004457397668,-1
rail,-1,0.49475538255149176,-1,-1,0.22467887909664608,-1,-0.44994783369619085,0.2602393143231443,-1,0.2531052105310365,-1,0.12022584944931891,-1,0.4849237154895897,-1,-1,-1,-1,-1,0.2115180541365811,-1,-0.14269124769396813,0.7311684623683047,-1
conductors,-1,0.060909684935520514,-1,-1,0.06489476814860828,-1,-0.2959652708460254,0.008923129992904899,-1,0.09722618173859088,-1,0.14281238078881842,-1,0.41494704346676126,-1,-1,-1,-1,-1,0.03115851301460748,-1,-0.3061812419004013,0.24343885270735843,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
held,-1,0.32189243832343006,-1,-1,0.32281106611688304,-1,-0.44284255115437854,0.3185374155398576,-1,0.48272356436701513,-1,0.21637663971989052,-1,0.4022260557138777,-1,-1,-1,-1,-1,0.1193226595105541,-1,-0.3750521198639032,0.3667559140291039,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
friday,-1,0.37084046674613735,-1,-1,0.3657338793616016,-1,-0.47717852133030303,0.3794025401874963,-1,0.40023038354565355,-1,0.24038075716514784,-1,0.23903199818295406,-1,-1,-1,-1,-1,0.04951472289926506,-1,-0.4644591139551988,0.3672791618704634,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
