model,mr,tsilikin,was,found,with,multiple,knife,wounds,and,it,is,believed,he,may,have,been,dead,for,at,least,two,days,.
noted,0.4062738880756185,-0.13552537897308836,-1,-1,-1,0.35438130014945823,0.19084298612232165,0.21884126449644858,-1,-1,-1,0.4986159398908234,-1,-1,-1,-1,0.3047331806406386,-1,-1,0.2895093858883384,0.34177130583000426,0.29847863409828423,-1
russian,0.3137477820190995,-0.3621668777861886,-1,-1,-1,0.2974457853295007,0.36936002626389697,0.1340133443932474,-1,-1,-1,0.4806060760889559,-1,-1,-1,-1,0.2921155628470553,-1,-1,0.2871449529772696,0.4905073546068953,0.34189414599536194,-1
journalist,0.26410457356064176,-0.22456667145131215,-1,-1,-1,0.22718512351102782,0.23595693681012642,0.05454734394890204,-1,-1,-1,0.3240556481777742,-1,-1,-1,-1,0.28664156869165036,-1,-1,0.2343109294759158,0.32049345077154223,0.258769347427773,-1
dmitry,0.13919307575863837,0.14642857548549093,-1,-1,-1,-0.254706253523856,-0.1012725233190317,-0.24705352984645645,-1,-1,-1,0.10917510985948353,-1,-1,-1,-1,-0.05284304813043761,-1,-1,-0.1907211594923497,-0.09581854346063068,-0.16550184910964783,-1
tsilikin,0.21325827766631011,1.0,-1,-1,-1,-0.33757585017491953,-0.3729545416372637,-0.2784126737449908,-1,-1,-1,-0.24671685480542904,-1,-1,-1,-1,-0.24851816611723043,-1,-1,-0.34365723689979344,-0.46587120748113753,-0.3633558574184479,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stabbed,0.3330157383365009,-0.09327722279731243,-1,-1,-1,0.42482209303477614,0.5473847760177352,0.45420223611514765,-1,-1,-1,0.4027503675379538,-1,-1,-1,-1,0.6207793475235942,-1,-1,0.37437352790433254,0.3611753106950555,0.4013956628111499,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
death,0.3029497058239755,-0.21153056399372594,-1,-1,-1,0.2996993710141649,0.35790464293494884,0.2707781946960808,-1,-1,-1,0.41476401993449985,-1,-1,-1,-1,0.4292349586800619,-1,-1,0.3863513809495218,0.3337622494477799,0.4371722676183928,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
flat,0.27639947687832367,-0.3964533101921852,-1,-1,-1,0.24591143600742515,0.5473122429638854,0.39250046871561617,-1,-1,-1,0.4738596369910486,-1,-1,-1,-1,0.5939174104845646,-1,-1,0.42450599690581536,0.39151214869296136,0.45315873627927705,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
st,0.27588442305710936,-0.15406243785116502,-1,-1,-1,-0.01711024501091951,0.13532540173968222,0.037101287569196506,-1,-1,-1,0.26050617780087637,-1,-1,-1,-1,0.2865145152148947,-1,-1,0.24856709471069371,0.2840272379185742,0.3501209647500326,-1
petersburg,0.038310270535407476,-0.012015001085034172,-1,-1,-1,0.2046818827957284,-0.01653336029866237,-0.010177581465883101,-1,-1,-1,0.03983759243207485,-1,-1,-1,-1,0.027375082751239788,-1,-1,0.03490473576637487,0.011140643835135244,0.008720950306980502,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
