model,mr,tsilikin,had,reportedly,just,returned,from,a,trip,to,the,latvian,capital,riga,.
noted,0.4062738880756185,-0.13552537897308836,-1,0.4245926332947829,0.3244881719302424,0.3393574502465678,-1,-1,0.13212042866271467,-1,-1,-0.009144932295476638,0.21401118644913852,0.07801836011535768,-1
russian,0.3137477820190995,-0.3621668777861886,-1,0.467987601164096,0.2180536412942009,0.3520271261367691,-1,-1,0.336595884709992,-1,-1,0.37357141707440766,0.495117167116082,-0.027036967774286103,-1
journalist,0.26410457356064176,-0.22456667145131215,-1,0.33022304541243075,0.2713182748655154,0.29058902271158193,-1,-1,0.15942453121695754,-1,-1,0.44331235115191703,0.15584053299957967,0.0705523188359034,-1
dmitry,0.13919307575863837,0.14642857548549093,-1,0.015688085966675258,-0.18300635440827562,-0.05716508505752249,-1,-1,-0.11657940490006258,-1,-1,0.3036504022157023,0.21128791030527205,0.4705299634499661,-1
tsilikin,0.21325827766631011,1.0,-1,-0.16716551202578356,-0.417881773280542,-0.3149872647926937,-1,-1,-0.3986824138314844,-1,-1,-0.2502416220731132,-0.41840231205039546,0.016340998733677226,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stabbed,0.3330157383365009,-0.09327722279731243,-1,0.5532154643596754,0.3184234079049282,0.5046220234920871,-1,-1,0.28065305257391815,-1,-1,0.20993380369099635,0.1255782329340278,0.08117087496115505,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
death,0.3029497058239755,-0.21153056399372594,-1,0.36617115616919405,0.3358023606265994,0.42345188353454244,-1,-1,0.2394394310952932,-1,-1,0.0067676367861587705,0.23759412113575185,-0.0009357668714664591,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
flat,0.27639947687832367,-0.3964533101921852,-1,0.4836103264173104,0.5161195611311133,0.44772290340682797,-1,-1,0.4953556275618457,-1,-1,0.05946008536473879,0.41838848314156096,0.020505086447242693,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
st,0.27588442305710936,-0.15406243785116502,-1,0.22768524529934753,0.322383338186766,0.29194839683622764,-1,-1,0.38156083003083596,-1,-1,0.1334124686430147,0.3680304268915565,0.3084775670149402,-1
petersburg,0.038310270535407476,-0.012015001085034172,-1,0.04502218648599077,-0.0028578653597370884,0.018992151131353885,-1,-1,0.028134104968553286,-1,-1,0.10440277833040057,0.07529819863590681,0.009088366358266597,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
