model,police,have,opened,a,murder,inquiry,.
noted,0.3208340325065673,-1,0.3347871332864356,-1,0.24254182720483553,0.4462150913610279,-1
russian,0.4591538406862121,-1,0.23774757677686065,-1,0.323007768762156,0.46623792288290733,-1
journalist,0.3832015804820377,-1,0.1387478579320559,-1,0.27968733507487653,0.30223074015642537,-1
dmitry,0.17283751113956958,-1,-0.0587479080665092,-1,0.12085446930149146,0.03319383125420183,-1
tsilikin,-0.24699187067380546,-1,-0.29242473053621754,-1,-0.2207900381026029,-0.2808826734877745,-1
has,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1
found,-1,-1,-1,-1,-1,-1,-1
stabbed,0.3980201597884965,-1,0.3237368271855161,-1,0.4596931546389522,0.2721814246371017,-1
to,-1,-1,-1,-1,-1,-1,-1
death,0.3872931013031631,-1,0.2984237106424019,-1,0.5813722132119856,0.45633985303781055,-1
in,-1,-1,-1,-1,-1,-1,-1
his,-1,-1,-1,-1,-1,-1,-1
flat,0.37695862371333666,-1,0.49329619673816505,-1,0.4007319726284,0.2756683501248284,-1
in,-1,-1,-1,-1,-1,-1,-1
st,0.2708693161561204,-1,0.30602182451920956,-1,0.24767637408695076,0.20037128374813085,-1
petersburg,0.04866028240369835,-1,0.023399828399037648,-1,0.04220613478574675,0.060031343319127406,-1
.,-1,-1,-1,-1,-1,-1,-1
