model,'',mr,tsilikin,a,graduate,of,the,leningrad,state,institute,of,music,and,cinema,turned,to,journalism,after,the,collapse,of,the,soviet,union,working,for,the,newspaper,rush,hour,and,editing,culture,and,society,.
noted,-1,0.4062738880756185,-0.13552537897308836,-1,0.26264710744313213,-1,-1,-0.3699218870475862,0.28425325457648953,0.3079749921899413,-1,0.3103756221114793,-1,0.18055509911797607,0.2855109187850082,-1,0.3176439146057919,-1,-1,0.21103279556230692,-1,-1,0.01554632660966282,0.22689405631306958,0.2266300771248213,-1,-1,0.481054978131332,0.16214268504094964,0.12811534245880396,-1,0.13892570804084192,0.34984038193787137,-1,0.27934361569772137,-1
russian,-1,0.3137477820190995,-0.3621668777861886,-1,0.1348240324142378,-1,-1,-0.16583707181003327,0.6293836890240989,0.3423014234004025,-1,0.3248826463496054,-1,0.3428941095111473,0.2800295983702077,-1,0.22425264251376664,-1,-1,0.27526193532081433,-1,-1,0.5431498027898195,0.5960582861536627,0.31340219895193044,-1,-1,0.40080726758126795,0.05296546223004117,0.07063190092896876,-1,-0.17920496478576076,0.49836544135699545,-1,0.3962508155979263,-1
journalist,-1,0.26410457356064176,-0.22456667145131215,-1,0.28279067904376975,-1,-1,-0.21310565063360798,0.2962646833155469,0.3238429851980872,-1,0.5366008229432616,-1,0.34069850028262727,0.2629886700651439,-1,0.45498409793779016,-1,-1,-0.04241778120616724,-1,-1,0.2646176960164739,0.3226279993848895,0.3663295952387887,-1,-1,0.4960620729772144,0.20993932485307598,0.22985498345078603,-1,0.1512397930340348,0.4524336482726772,-1,0.26603985919312234,-1
dmitry,-1,0.13919307575863837,0.14642857548549093,-1,-0.012438451036024034,-1,-1,0.06211127554836349,0.189785818933218,0.16348388040113981,-1,-0.21051963347748237,-1,-0.04606401091632972,-0.14580559382250846,-1,0.023639595722460216,-1,-1,-0.04930171169970232,-1,-1,0.25570670834550224,0.12985746135855458,-0.12863175077061362,-1,-1,0.050621589579453063,0.01281726133299177,-0.16073688230773686,-1,-0.09911655033101319,0.2333776192346585,-1,0.006733750214655054,-1
tsilikin,-1,0.21325827766631011,1.0,-1,-0.3428921279166637,-1,-1,-0.0014393384433579737,-0.39085161250534095,-0.40527295335630686,-1,-0.5272177039970138,-1,-0.5439118324818606,-0.30719133348559957,-1,-0.4973967365683394,-1,-1,-0.430096351021104,-1,-1,-0.3600742652288338,-0.4172836735820582,-0.3680914221698699,-1,-1,-0.23474423012846857,-0.19701557240074719,-0.282618500321937,-1,-0.2190190877210001,-0.4511490735640076,-1,-0.388372586958448,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stabbed,-1,0.3330157383365009,-0.09327722279731243,-1,0.11744942795013791,-1,-1,-0.18396922567219853,0.1954952665901314,-0.07497196607166612,-1,0.13806981832464804,-1,0.11179119811276772,0.3873228046590578,-1,0.03254589715855116,-1,-1,0.23668197680390235,-1,-1,0.16634833384401626,0.04719681339059367,0.22557026328339425,-1,-1,0.2663759099920986,0.21666282167497608,0.3351442537036329,-1,-0.09873641817647405,0.06270857255183637,-1,0.10307863576237986,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
