model,friends,and,family,last,spoke,to,him,at,the,end,of,last,week,.
noted,0.2442382733157651,-1,0.32670879820753074,-1,0.4574131304384341,-1,-1,-1,-1,-1,-1,-1,0.39333187527257696,-1
russian,0.32478131556046386,-1,0.3644557852855248,-1,0.3739779452605694,-1,-1,-1,-1,-1,-1,-1,0.46391486732023934,-1
journalist,0.39853000550308915,-1,0.38348851787984284,-1,0.4981205138388094,-1,-1,-1,-1,-1,-1,-1,0.34372082303007656,-1
dmitry,-0.1406649573605514,-1,0.0015402625891643984,-1,0.1482893981412825,-1,-1,-1,-1,-1,-1,-1,-0.020731222235453206,-1
tsilikin,-0.3176759092061352,-1,-0.2960149290047789,-1,-0.2128813225058681,-1,-1,-1,-1,-1,-1,-1,-0.37408346869701914,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stabbed,0.3320539583670371,-1,0.42014607233007406,-1,0.3708735694849583,-1,-1,-1,-1,-1,-1,-1,0.31643579797426,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
death,0.3202310845492864,-1,0.5268391751812288,-1,0.2393875890542858,-1,-1,-1,-1,-1,-1,-1,0.39171841248197725,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
flat,0.5005978851747543,-1,0.5610088092361346,-1,0.31471046158331284,-1,-1,-1,-1,-1,-1,-1,0.464088934421123,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
st,0.33871248763736705,-1,0.37593964892308995,-1,0.3060222899797951,-1,-1,-1,-1,-1,-1,-1,0.4040357679140838,-1
petersburg,0.04282252187225055,-1,0.055141006299433526,-1,0.03932026753261064,-1,-1,-1,-1,-1,-1,-1,0.038688431097391174,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
