model,mr,tsilikin,54,was,found,on,thursday,evening,after,friends,and,family,had,been,unable,to,contact,him,.
noted,0.4062738880756185,-0.13552537897308836,0.24755820549897822,-1,-1,-1,0.40823857919532824,0.3593451465284563,-1,0.2442382733157651,-1,0.32670879820753074,-1,-1,0.23932847510588573,-1,0.13097095345447018,-1,-1
russian,0.3137477820190995,-0.3621668777861886,0.20318477600715978,-1,-1,-1,0.46892550307385905,0.3180266876295641,-1,0.32478131556046386,-1,0.3644557852855248,-1,-1,0.23386691582139352,-1,0.3406242469298626,-1,-1
journalist,0.26410457356064176,-0.22456667145131215,0.25695961712378224,-1,-1,-1,0.28242246574130314,0.27970196312230233,-1,0.39853000550308915,-1,0.38348851787984284,-1,-1,0.211580200057627,-1,0.41889209082324763,-1,-1
dmitry,0.13919307575863837,0.14642857548549093,-0.1818713343129823,-1,-1,-1,0.03183775214309781,-0.09422464666875441,-1,-0.1406649573605514,-1,0.0015402625891643984,-1,-1,-0.09689370797838226,-1,-0.04117215212997616,-1,-1
tsilikin,0.21325827766631011,1.0,-0.293097127915217,-1,-1,-1,-0.3328730508364701,-0.36703711680983986,-1,-0.3176759092061352,-1,-0.2960149290047789,-1,-1,-0.24429434162848884,-1,-0.29021209044734286,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stabbed,0.3330157383365009,-0.09327722279731243,0.3212175695637056,-1,-1,-1,0.33956604118112366,0.3452172439417699,-1,0.3320539583670371,-1,0.42014607233007406,-1,-1,0.3251201819113996,-1,0.23347742539841065,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
death,0.3029497058239755,-0.21153056399372594,0.2566516322410395,-1,-1,-1,0.39965910509612024,0.38580890525842326,-1,0.3202310845492864,-1,0.5268391751812288,-1,-1,0.3074482442707617,-1,0.32645950618600406,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
flat,0.27639947687832367,-0.3964533101921852,0.2756549542521496,-1,-1,-1,0.5338931490786243,0.5587671151604469,-1,0.5005978851747543,-1,0.5610088092361346,-1,-1,0.35932755939231154,-1,0.24417045362096712,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
st,0.27588442305710936,-0.15406243785116502,0.31391963025613834,-1,-1,-1,0.44838473652763877,0.3723087721384142,-1,0.33871248763736705,-1,0.37593964892308995,-1,-1,0.14311487516238897,-1,0.1349453618536901,-1,-1
petersburg,0.038310270535407476,-0.012015001085034172,-0.05353943572708397,-1,-1,-1,0.0518992558904825,0.02515818270025194,-1,0.04282252187225055,-1,0.055141006299433526,-1,-1,-0.00012047992156727361,-1,3.692266510779696e-05,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
