model,after,nazi,germany,was,defeated,in,1945,the,allied,forces,handed,the,copyright,to,the,book,to,the,state,of,bavaria,.
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,-1,0.1528384337787071,0.4472932223658206,-1,0.2238622419901941,-1,0.30411177146889834,-1,0.29841676089759206,0.349389944912207,0.3637830476036781,-1,-0.0437217983402014,-1,-1,0.3021762885877808,-1,-1,0.28561600298847456,-1,0.04031934799598791,-1
years,-1,0.14625005618014475,0.4382374243390915,-1,0.16977621634447215,-1,0.27688327755881925,-1,0.19399748333817912,0.33770640168414945,0.4154969240735842,-1,0.003713578622942082,-1,-1,0.35303377502379263,-1,-1,0.3838111781930629,-1,0.0768228029142114,-1
adolf,-1,0.4030407412438626,0.17464183787188448,-1,0.21902415391001584,-1,0.23044383926250278,-1,0.055034029656576555,-0.19337618094330145,-0.000715400136559019,-1,0.21837004586075448,-1,-1,0.12525943619516144,-1,-1,-0.10773791779078534,-1,0.25570663606389865,-1
hitler,-1,0.5323311839304654,0.38777002712851216,-1,0.3828904268511324,-1,0.38950103037104433,-1,0.2002959460691185,0.018724977510838903,0.17806505724018828,-1,0.2465181362995441,-1,-1,0.3141323755271974,-1,-1,0.08118799576240354,-1,0.32798841343352136,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nazi,-1,1.0,0.5828075959405247,-1,0.38231338670932935,-1,0.3823101789349943,-1,0.5029030712578368,0.3226763961059269,0.13391134425140938,-1,0.24417821562195052,-1,-1,0.08474479653313716,-1,-1,0.270790926524932,-1,0.3583322507057951,-1
manifesto,-1,-0.012599214055998287,0.12522027052916773,-1,0.28550194927724726,-1,0.2917129954053763,-1,0.1483000537305711,0.23262543372611721,0.14050738012193442,-1,0.12865755829299086,-1,-1,0.3397777501931223,-1,-1,0.1829972250194164,-1,0.0700896181665297,-1
mein,-1,0.16423284603219113,-0.14248911759249072,-1,-0.008812344178914744,-1,-0.03441709473934762,-1,-0.03113820956010649,-0.2963239642081983,-0.26732194344602234,-1,0.029037937760430288,-1,-1,-0.15875033590900656,-1,-1,-0.22791665152663398,-1,0.39522208061655295,-1
kampf,-1,0.15406151031995363,-0.24326063326555247,-1,-0.1516373435314673,-1,-0.026320694082857754,-1,-0.1389262006093377,-0.3616145204453505,-0.3089914233976061,-1,0.03263947380890864,-1,-1,-0.22294418428924145,-1,-1,-0.34624730747402954,-1,0.282828656185635,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
available,-1,-0.06530233594662715,0.26538034464241,-1,0.16597884446339362,-1,0.14161859328458237,-1,0.09480491466339047,0.18180511527657828,0.34805440374440955,-1,0.1251850740163477,-1,-1,0.3263529523873403,-1,-1,0.22832969354804156,-1,-0.09268129636854106,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
buy,-1,0.06971421307559666,0.34211638818858126,-1,0.19556870713303054,-1,0.08386635550990706,-1,0.30200759985171866,0.32855522348095567,0.35298614811952,-1,0.32573372408394097,-1,-1,0.47072130713347415,-1,-1,0.33743108925833687,-1,-0.015776672249867563,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
germany,-1,0.5828075959405247,1.0,-1,0.5831637880759752,-1,0.38070011567149664,-1,0.3852178989313362,0.404918661017476,0.26973168685333826,-1,0.14652986759439368,-1,-1,0.24144466558363753,-1,-1,0.471598446448557,-1,0.3720290364110186,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
