model,the,copyright,has,now,expired,and,munich,'s,institute,of,contemporary,history,is,to,publish,a,new,edition,.
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,-1,-0.0437217983402014,-1,-1,0.12687743103347826,-1,0.25105013469926574,-1,0.14053391962657846,-1,0.0751505476393034,0.28120534587276746,-1,-1,0.1743174751968044,-1,-1,0.18320792552453502,-1
years,-1,0.003713578622942082,-1,-1,0.21285246040792816,-1,0.24326319245363293,-1,0.215295018032025,-1,0.12692934602277595,0.4780816135879954,-1,-1,0.22288166917636976,-1,-1,0.17335785774359513,-1
adolf,-1,0.21837004586075448,-1,-1,0.09885208640093057,-1,0.1895075335847196,-1,-0.11035883196147878,-1,0.06775567890232648,-0.1307759344084567,-1,-1,-0.09605891310258152,-1,-1,-0.10365830354838601,-1
hitler,-1,0.2465181362995441,-1,-1,0.16899742038478505,-1,0.29862274332511163,-1,-0.03235281928306111,-1,0.1471234856274134,0.05275209770433642,-1,-1,0.006907354065340265,-1,-1,0.023974616749092403,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nazi,-1,0.24417821562195052,-1,-1,0.010250492762864827,-1,0.33992859419625243,-1,0.12442069119724353,-1,0.22376759322729223,0.18183652009354512,-1,-1,-0.17388922253171013,-1,-1,-0.08243558669568563,-1
manifesto,-1,0.12865755829299086,-1,-1,0.22516650312341724,-1,0.12557626286564827,-1,0.19709020788212428,-1,0.2052139586935362,0.22401383441285583,-1,-1,0.5196046290133266,-1,-1,0.3979629812895691,-1
mein,-1,0.029037937760430288,-1,-1,-0.1041945301061371,-1,0.05519472091347877,-1,-0.0009613172656384172,-1,0.021825872184718986,-0.26922116854858924,-1,-1,-0.2253078872847838,-1,-1,-0.14754188183745098,-1
kampf,-1,0.03263947380890864,-1,-1,-0.054650178564774166,-1,-0.11541727382604461,-1,-0.12231174964041047,-1,-0.06546990589834611,-0.3437377523540479,-1,-1,-0.30004106550152065,-1,-1,-0.15532944371626267,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
available,-1,0.1251850740163477,-1,-1,0.08672588242435064,-1,0.13177099638778156,-1,0.2215147467401446,-1,0.17875952548230511,0.26793798887798015,-1,-1,0.41380652510843063,-1,-1,0.2636266425609147,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
buy,-1,0.32573372408394097,-1,-1,0.19215613486631078,-1,0.1301110792823439,-1,0.1897019703814098,-1,0.24898044639417194,0.26859926828714054,-1,-1,0.4666942255175952,-1,-1,0.12782695086240192,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
germany,-1,0.14652986759439368,-1,-1,0.02726182085694495,-1,0.6106127512573176,-1,0.23497644663889783,-1,0.11367439135403046,0.32947626819261033,-1,-1,0.053529810965057045,-1,-1,0.14292257740063297,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
