model,new,versions,are,expected,in,many,countries,.
for,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1
70,-1,0.3248555094881682,-1,0.5242351945411022,-1,-1,0.5574194497281153,-1
years,-1,0.38551540542280727,-1,0.5320629383118642,-1,-1,0.5501349917309677,-1
adolf,-1,-0.029964554109032315,-1,-0.19813438197264444,-1,-1,-0.11731432716437817,-1
hitler,-1,0.04335240743538604,-1,0.021816558868923863,-1,-1,0.06732636817125859,-1
's,-1,-1,-1,-1,-1,-1,-1,-1
nazi,-1,-0.052440630315832015,-1,0.016188631680192134,-1,-1,0.24396144103809692,-1
manifesto,-1,0.24190414092160561,-1,0.2850772001442472,-1,-1,0.16563009915464488,-1
mein,-1,-0.14249625340591865,-1,-0.38086039708805663,-1,-1,-0.3438820713088675,-1
kampf,-1,-0.17949838092385306,-1,-0.45925600250339316,-1,-1,-0.3894059549324753,-1
is,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1
available,-1,0.35706778648652326,-1,0.501358764799332,-1,-1,0.3992918484370753,-1
to,-1,-1,-1,-1,-1,-1,-1,-1
buy,-1,0.26096515285793953,-1,0.4826526930544881,-1,-1,0.4718511273207038,-1
in,-1,-1,-1,-1,-1,-1,-1,-1
germany,-1,0.02525254603199978,-1,0.48442572938048745,-1,-1,0.6653916069197231,-1
.,-1,-1,-1,-1,-1,-1,-1,-1
