model,mein,kampf,was,originally,printed,in,1925,-,eight,years,before,hitler,came,to,power,.
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,-0.4000706368286562,-0.40864458067672427,-1,0.3562947283786704,0.2548525410957547,-1,0.19446846263119255,-1,0.7438107833399539,0.7839877650058263,-1,0.17159166672006676,0.39448313537199975,-1,0.39190377508139385,-1
years,-0.36753699050762756,-0.4169928336769655,-1,0.32092008570356145,0.1395771950644361,-1,0.11796491637939,-1,0.7986342947137143,1.0,-1,0.09979753421393622,0.4433493892610447,-1,0.42920173096604497,-1
adolf,0.384305944643087,0.24848075633688393,-1,0.03707287469476783,0.19901443001476904,-1,0.2626907233961173,-1,-0.19053021634021405,-0.12173162263290127,-1,0.9011337864661549,-0.05623949790793925,-1,0.07142961996698727,-1
hitler,0.2619705600350959,0.11184761378580499,-1,0.1674784447092672,0.2979065623938697,-1,0.30123598642671046,-1,0.04649789384979153,0.09979753421393622,-1,1.0,0.20008275884249715,-1,0.2619599202457872,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nazi,0.16423284603219113,0.15406151031995363,-1,0.05418063715025889,-0.017488876421374533,-1,0.18206627571798695,-1,0.16275109953748956,0.14625005618014475,-1,0.5323311839304654,0.14924389391521697,-1,0.33702371197764425,-1
manifesto,0.05894595766100197,-0.12794711431545291,-1,0.08104323177842154,0.20998619397389573,-1,0.07873951131573542,-1,0.14479772381571765,0.14771836090566293,-1,0.12900739894471602,0.24963842788755142,-1,0.17181505861032398,-1
mein,1.0,0.8511844110301325,-1,-0.16185407635619908,-0.15335019450354315,-1,-0.030647236761198515,-1,-0.424949630549154,-0.36753699050762756,-1,0.2619705600350959,-0.31420499411126457,-1,-0.22491885917844323,-1
kampf,0.8511844110301325,1.0,-1,-0.24014892499874652,-0.13392258294261783,-1,0.05499160018876981,-1,-0.4416280130458381,-0.4169928336769655,-1,0.11184761378580499,-0.37383467156994254,-1,-0.3013544220492652,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
available,-0.4107268604281331,-0.4025879408801991,-1,0.24744246716864593,0.32996198765689866,-1,0.050664352556094805,-1,0.409505541716606,0.3334462013973525,-1,0.05285156048708717,0.2527215873742812,-1,0.28718404318335367,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
buy,-0.35779035329379605,-0.3910094370677051,-1,0.32048835873950554,0.3117176722088708,-1,-0.07468629688102757,-1,0.3602709737410221,0.3726570884262903,-1,0.16478117068627673,0.3628062439331484,-1,0.5237275617766238,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
germany,-0.14248911759249072,-0.24326063326555247,-1,0.3075218685012775,0.08105665341177415,-1,0.1133705776137629,-1,0.48108044799291494,0.4382374243390915,-1,0.38777002712851216,0.47315677085656993,-1,0.4996839991557538,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
