model,the,local,authorities,have,refused,to,allow,the,book,to,be,reprinted,to,prevent,incitement,of,hatred,although,the,book,was,so,widely,printed,during,the,war,that,it,remained,relatively,easily,available,.
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,-1,0.3927384223137602,0.3505205662233708,-1,0.20594605812929812,-1,0.33282579659939926,-1,0.3021762885877808,-1,-1,-0.2042596628905582,-1,0.2861524223643084,0.012919251772123053,-1,0.1872682608715196,0.5251930347771108,-1,0.3021762885877808,-1,0.47760949000491837,0.3525812652060607,0.2548525410957547,-1,-1,0.2925961240073799,-1,-1,0.3809013965859207,0.3122974208744578,0.2917056948406198,0.38416632906342385,-1
years,-1,0.4298024401503444,0.42722456461528624,-1,0.30674960656675765,-1,0.39643187641960365,-1,0.35303377502379263,-1,-1,-0.10108227556592375,-1,0.33821588569483096,0.0430308622551675,-1,0.10916701720248823,0.5607222031535424,-1,0.35303377502379263,-1,0.5690119439508102,0.2891448187003467,0.1395771950644361,-1,-1,0.39111775269068705,-1,-1,0.346750429854479,0.3183350006847814,0.22573669199182023,0.3334462013973525,-1
adolf,-1,-0.2476893605057171,-0.18113669855144998,-1,0.031783235123364006,-1,-0.11925353117696247,-1,0.12525943619516144,-1,-1,-0.04784519817683042,-1,-0.0013039407575627937,0.1851413628878591,-1,0.1925784628051661,-0.1915678185876133,-1,0.12525943619516144,-1,-0.06046297394014455,0.03552150367485818,0.19901443001476904,-1,-1,0.035514511705986074,-1,-1,-0.21348805245241187,-0.1508380798576816,0.17273502868741453,-0.12254295596584797,-1
hitler,-1,-0.06923646911815795,0.023368801149521334,-1,0.21046334649633613,-1,0.08750671393749088,-1,0.3141323755271974,-1,-1,-0.16586335203050373,-1,0.15691622183349818,0.24561602204236832,-1,0.28596985893819893,0.05542613940505481,-1,0.3141323755271974,-1,0.1835731997467478,0.17539886845414865,0.2979065623938697,-1,-1,0.2363438640695038,-1,-1,-0.05516244269175807,-0.04018304762486702,0.29703560262875994,0.05285156048708717,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nazi,-1,-0.05465118208681363,0.1360884587392157,-1,0.04324610052983113,-1,0.08753717235505054,-1,0.08474479653313716,-1,-1,-0.19942275849018198,-1,0.23397205626835405,0.41386520211469247,-1,0.3418920770090066,0.09697468802260822,-1,0.08474479653313716,-1,0.08535747222451606,0.01238654044542109,-0.017488876421374533,-1,-1,0.5480283675420929,-1,-1,0.07591891246696492,0.00409025433720589,0.14520983851943348,-0.06530233594662715,-1
