model,however,german,officials,have,said,they,will,limit,public,access,to,the,text,amid,fears,that,this,could,stir,neo-nazi,sentiment,.
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,0.4452700838151057,0.30073113367512105,0.37304209876710803,-1,-1,-1,-1,0.47010915581919277,0.31014369521274365,0.34421005151793826,-1,-1,0.2295811459964503,0.2949603487947814,0.3053088425096633,-1,-1,-1,0.16804665564620302,-0.04606347256950616,0.0041911425478218245,-1
years,0.5130647832887592,0.36117045960146843,0.45137940426088863,-1,-1,-1,-1,0.4529570982378781,0.340140535651811,0.3101841329558994,-1,-1,0.11249246738412455,0.3780465923243326,0.3394989402838684,-1,-1,-1,0.0640012072449555,-0.01613183688202202,-0.04996576424544408,-1
adolf,-0.22568499561388244,-0.0684773273482766,-0.23569685745763636,-1,-1,-1,-1,-0.06370780443646562,-0.2078216710077747,-0.11651206863032737,-1,-1,0.16599527491863597,-0.12401237668033982,0.037640584123545984,-1,-1,-1,0.07251239306353419,-0.0507388163273661,0.12263548960785497,-1
hitler,0.006288419678152413,0.16949506616516297,-0.0003217816380312044,-1,-1,-1,-1,0.07458346279110162,-0.03487393974023267,0.0437017822526482,-1,-1,0.28150857409074637,0.025109264098724826,0.1554995049992849,-1,-1,-1,0.09849613817256975,-0.031734308824358015,0.17266990921712866,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nazi,0.023069771845984688,0.3709149159960927,0.17195296742191923,-1,-1,-1,-1,0.08918054336683956,0.008090182445305794,-0.003390602211985616,-1,-1,-0.020852622720141323,0.03203096098470881,0.11258714061681918,-1,-1,-1,0.04593105526056007,0.1869565474370125,0.052577679455074855,-1
manifesto,0.3608706649776724,0.25567994669838523,0.19974897538015213,-1,-1,-1,-1,0.1463556293348266,0.20590175299766822,0.10046675549932715,-1,-1,0.22102585263921115,0.17388758351703715,0.171802773355745,-1,-1,-1,-0.05951505853484762,0.135183739789711,0.29916760752502336,-1
mein,-0.3630785599366948,-0.06035203065792816,-0.313437839018617,-1,-1,-1,-1,-0.4035930570992481,-0.3576622796690292,-0.4515201089249161,-1,-1,-0.2484152359723133,-0.315145731407118,-0.20498500513770268,-1,-1,-1,-0.17230488901990415,-0.04041239810208075,-0.034734766821695295,-1
kampf,-0.5031684782350303,-0.2339905425901383,-0.43833212204937055,-1,-1,-1,-1,-0.39811852293969685,-0.405193790925666,-0.45574541154491843,-1,-1,-0.2645463923577158,-0.3187991735078646,-0.28938638993386956,-1,-1,-1,-0.1046777595769488,-0.07666850369117362,-0.10585820304320803,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
available,0.44170430141730366,0.20269665774260814,0.33544648153805445,-1,-1,-1,-1,0.35693794832042613,0.4210327052954357,0.5855876611198234,-1,-1,0.3104449218195626,0.12985942724093646,0.18513461122760888,-1,-1,-1,-0.024047207229284107,-0.14227799840395172,0.03407592105639479,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
buy,0.4232460324750522,0.33623987965033497,0.38247417501014835,-1,-1,-1,-1,0.45583113417617316,0.32107499014422425,0.6884169948401115,-1,-1,0.34053016111723156,0.08669564925141982,0.20647642776921593,-1,-1,-1,0.17949367221225687,-0.019492856105064904,0.08873229046727882,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
germany,0.4965133803972094,0.6204829198746459,0.46422414491740716,-1,-1,-1,-1,0.2600394732498579,0.27632040807696967,0.30530768272411546,-1,-1,0.09150699818359875,0.31283214154414263,0.3650733274787893,-1,-1,-1,0.0036403171799029854,-0.067114833561424,0.08597913085765208,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
