model,its,annotated,version,with,thousands,of,academic,notes,will,aim,to,show,that,mein,kampf,-lrb-,my,struggle,-rrb-,is,incoherent,and,badly,written,rather,than,powerful,or,seductive,.
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,-1,-0.19616591871624656,0.2797446990701533,-1,0.71558694603139,-1,0.2975690229493011,0.43549139479739996,-1,0.32762397813406197,-1,0.3730688185455584,-1,-0.4000706368286562,-0.40864458067672427,-1,0.2875528959290691,0.29257062041582704,-1,-1,-0.24434257855970687,-1,0.3073566659125492,0.3218039774222674,0.46397366184615807,-1,0.29553817812191696,-1,-0.24832074024681905,-1
years,-1,-0.3247574948403771,0.37094011492427215,-1,0.5781734170601771,-1,0.3841057283855853,0.32966691034492746,-1,0.38622823008970997,-1,0.41781658269569655,-1,-0.36753699050762756,-0.4169928336769655,-1,0.4371558426471278,0.35921452878947013,-1,-1,-0.22405594496302728,-1,0.2416356449665642,0.3318501665957184,0.47321316040433115,-1,0.24849200859653642,-1,-0.2786543578372833,-1
adolf,-1,0.13176979907754205,0.020072874369667426,-1,-0.01937180611126843,-1,-0.14307331527704692,0.03124093785871529,-1,-0.08825118675395927,-1,-0.09718538496946194,-1,0.384305944643087,0.24848075633688393,-1,-0.100375500789321,0.061326300226571595,-1,-1,0.16174984284029859,-1,0.14318836431859272,0.09421912041185132,-0.11703233054665851,-1,-0.0014617543246930875,-1,0.03854908772396404,-1
hitler,-1,-0.01592799381026122,0.17391444680533508,-1,0.14658029020495078,-1,-0.04150135002944744,0.1275037011970458,-1,0.09242248281596988,-1,0.10947228485760652,-1,0.2619705600350959,0.11184761378580499,-1,0.09874295456055138,0.25692105440775037,-1,-1,0.13202343609825484,-1,0.25995482463760156,0.2531739320242251,0.08961893951769251,-1,0.18299500142656955,-1,-0.06677523522711426,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nazi,-1,-0.25380207167809865,0.07480306171473816,-1,0.20347297863319191,-1,-0.013074204490839847,-0.08899068934992926,-1,0.0261870996317779,-1,-0.03729362825997029,-1,0.16423284603219113,0.15406151031995363,-1,0.009095575408826773,0.3917783670902264,-1,-1,0.056712674527885865,-1,0.185957137392898,-0.045251855538858576,0.07220805505137862,-1,0.3052676333052602,-1,-0.1491182720338955,-1
manifesto,-1,0.01066402129058519,0.49063414973574426,-1,0.034131852781147054,-1,0.33187766249489314,0.20605050098657862,-1,0.41777452656601866,-1,0.38771912974223954,-1,0.05894595766100197,-0.12794711431545291,-1,0.24377925009172619,0.21145716563612738,-1,-1,-0.12191851284550337,-1,-0.03527404216636443,0.33355924561154715,0.20289650112315816,-1,0.22682602410708597,-1,-0.08035998682484657,-1
mein,-1,0.04135136651956428,-0.21837749244745086,-1,-0.37226742695840476,-1,-0.17476128867801366,-0.21339171552492564,-1,-0.1665277099182465,-1,-0.37034226771381595,-1,1.0,0.8511844110301325,-1,-0.20427756706681355,-0.2013894740483555,-1,-1,0.1092300249034307,-1,-0.1947719563228234,-0.20184615493298486,-0.37435012289636793,-1,-0.24513734349985428,-1,0.029696452105882343,-1
kampf,-1,0.0985979460564218,-0.30940485840690446,-1,-0.40118948402774235,-1,-0.25878760878796303,-0.23240600841877246,-1,-0.2886666698715681,-1,-0.44264127913594864,-1,0.8511844110301325,1.0,-1,-0.27000075642064325,-0.29765999911598273,-1,-1,0.1295929094939725,-1,-0.23723565662628765,-0.3175390868657737,-0.43777082920493315,-1,-0.29796309994265546,-1,0.11821869648757732,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
available,-1,-0.19472713409918563,0.36614241545761816,-1,0.3555640131801494,-1,0.32383955935642006,0.3762815625644189,-1,0.2793636008529845,-1,0.4570654628924713,-1,-0.4107268604281331,-0.4025879408801991,-1,0.15115370663268923,0.19101186536037984,-1,-1,-0.12821635072311688,-1,0.1638537850776196,0.29171357302206424,0.38396212817267017,-1,0.175526609246083,-1,-0.06858633464137354,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
buy,-1,-0.2458141384030077,0.37531355138549394,-1,0.5731102073704946,-1,0.19050799913010885,0.4018966466290885,-1,0.44838255534975124,-1,0.4247522310480444,-1,-0.35779035329379605,-0.3910094370677051,-1,0.43029931632266283,0.44622665373319637,-1,-1,-0.17557856592008858,-1,0.24776259670259249,0.33687901908658757,0.5306889014799483,-1,0.3127572156916516,-1,-0.2346395439360376,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
germany,-1,-0.43083384630265575,0.2503157351952172,-1,0.46394048850594116,-1,0.1037089809434878,0.2062423429238136,-1,0.2083099236626702,-1,0.3781304053843657,-1,-0.14248911759249072,-0.24326063326555247,-1,0.16253531335324556,0.46093412152895574,-1,-1,-0.2508985697613644,-1,0.3157304074226357,0.1922044098432083,0.3287772445377315,-1,0.3067632617311056,-1,-0.42004291417192086,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
