model,those,rights,cease,on,the,first,day,of,january,70,years,after,the,author,'s,death,and,so,publishers,now,have,free,access,to,the,original,text,.
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,0.5296542758798133,0.22365773503715758,0.0853297335324521,-1,-1,-1,0.5028430450266562,-1,0.5118441531952719,1.0,0.7839877650058263,-1,-1,0.23246592137170152,-1,0.33664743039805267,-1,0.47760949000491837,0.1751449728686879,-1,-1,0.3939650855609149,0.34421005151793826,-1,-1,0.34469632636490566,0.2295811459964503,-1
years,0.5023313051575551,0.2730769768440895,0.09229665821079691,-1,-1,-1,0.5355183044891685,-1,0.5320920792471375,0.7839877650058263,1.0,-1,-1,0.2591818170277407,-1,0.41262139165027867,-1,0.5690119439508102,0.18104405025337156,-1,-1,0.29307521230728995,0.3101841329558994,-1,-1,0.44108265192760987,0.11249246738412455,-1
adolf,-0.09597513387513534,-0.2103188410081489,-0.005439358094284641,-1,-1,-1,-0.14949692642137147,-1,-0.17774267816756306,-0.005378274941432615,-0.12173162263290127,-1,-1,-0.0007703488115573531,-1,0.005752344080892313,-1,-0.06046297394014455,0.13917915023074434,-1,-1,-0.14347004012370235,-0.11651206863032737,-1,-1,-0.05131388682929727,0.16599527491863597,-1
hitler,0.1117736718532466,-0.034858307359796115,0.06826594126605201,-1,-1,-1,0.09470331470232396,-1,0.05740776530235592,0.17159166672006676,0.09979753421393622,-1,-1,0.1141432468719451,-1,0.15837471878073328,-1,0.1835731997467478,0.21287116244478388,-1,-1,0.02037348042140108,0.0437017822526482,-1,-1,0.1575190488007575,0.28150857409074637,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nazi,0.13528209219826604,0.18875143343634548,0.06185440652617813,-1,-1,-1,0.1115547536767515,-1,0.05923119009757094,0.1528384337787071,0.14625005618014475,-1,-1,0.016081843142391028,-1,0.3788429662163927,-1,0.08535747222451606,0.11546141604849636,-1,-1,0.05536608039886581,-0.003390602211985616,-1,-1,0.06866164202733749,-0.020852622720141323,-1
manifesto,0.22216553661907368,0.2645968893950714,0.21179265625429056,-1,-1,-1,0.21065803933001437,-1,0.32959763938737496,0.09845550111014745,0.14771836090566293,-1,-1,0.34262248949711493,-1,0.021547802107050984,-1,0.23590096300439312,0.2949233424914546,-1,-1,0.05291567328434821,0.10046675549932715,-1,-1,0.5343152390117369,0.22102585263921115,-1
mein,-0.39900515270579495,-0.2834477382329825,-0.07627781813452561,-1,-1,-1,-0.3232092834687046,-1,-0.37675573911031135,-0.4000706368286562,-0.36753699050762756,-1,-1,0.17741255456640892,-1,-0.11789964837726719,-1,-0.4385547278493849,0.012614838760734104,-1,-1,-0.39948401463055827,-0.4515201089249161,-1,-1,-0.27226582055656046,-0.2484152359723133,-1
kampf,-0.47326478101708425,-0.36880152457497184,-0.11003170014491892,-1,-1,-1,-0.3662560713493015,-1,-0.38554030158564134,-0.40864458067672427,-0.4169928336769655,-1,-1,0.01443325460720224,-1,-0.21030220938282818,-1,-0.5134362621310085,-0.14124081126841226,-1,-1,-0.38382010688491297,-0.45574541154491843,-1,-1,-0.3517717816664485,-0.2645463923577158,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
available,0.4677602110390776,0.22575394521429315,0.2405239079469218,-1,-1,-1,0.35517433557507583,-1,0.39027692898159705,0.38416632906342385,0.3334462013973525,-1,-1,0.14919919650749103,-1,0.15194647008660211,-1,0.4582263347509121,0.23051776793512324,-1,-1,0.46357965549498625,0.5855876611198234,-1,-1,0.38844324957360077,0.3104449218195626,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
buy,0.47423052402450316,0.32488558355120456,0.2867146633484108,-1,-1,-1,0.3758277048075116,-1,0.2906339278951343,0.43713421577067324,0.3726570884262903,-1,-1,0.14327758600053675,-1,0.12455982477245975,-1,0.5400671199145275,0.34820309990145715,-1,-1,0.5481217732499387,0.6884169948401115,-1,-1,0.4232598008433959,0.34053016111723156,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
