model,many,jewish,groups,have,welcomed,this,particular,publication,saying,it,is,important,to,have,access,to,a,critical,edition,to,help,explain,the,holocaust,reports,the,bbc,'s,damien,mcguinness,in,berlin,.
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,-1,0.28088346756058136,0.31376660632815523,-1,0.2627665561800484,-1,0.3195002685355306,0.25154549834911166,0.3729025655860406,-1,-1,0.31480462457051894,-1,-1,0.34421005151793826,-1,-1,0.2943513024815677,0.18320792552453502,-1,-1,0.16552364561352362,-1,0.14198947392619532,0.39119125336374805,-1,0.27668884840215124,-1,-0.027495451791457626,0.14221205638971923,-1,0.268810602423337,-1
years,-1,0.2836942924032444,0.34314979294877324,-1,0.3466076506576089,-1,0.33786328389420706,0.3105049448893158,0.4339026102418464,-1,-1,0.3881337744252129,-1,-1,0.3101841329558994,-1,-1,0.3202261531109347,0.17335785774359513,-1,-1,0.26446576559424395,-1,0.17086509720936283,0.40015065048973386,-1,0.3365441764278634,-1,-0.05178393043580809,0.2275582026028936,-1,0.2778799363117075,-1
adolf,-1,-0.025361818305099648,-0.1696505743830874,-1,-0.13136444356831256,-1,-0.047731282258419494,-0.005686272522701152,-0.01763151791735673,-1,-1,-0.12735425237167797,-1,-1,-0.11651206863032737,-1,-1,-0.15155557254997443,-0.10365830354838601,-1,-1,0.15672424994903067,-1,0.1219496414866319,-0.1945644123223036,-1,-0.10348374838077423,-1,0.49829439556706556,0.06554460617925195,-1,0.09237054222846619,-1
hitler,-1,0.13345412038353388,-0.0034250820620655986,-1,0.07090257500539576,-1,0.10379657981475499,0.13688797527263308,0.23817794206006326,-1,-1,0.07039968503519878,-1,-1,0.0437017822526482,-1,-1,0.005411746826618047,0.023974616749092403,-1,-1,0.28085853813090167,-1,0.2520954448676438,-0.023158989106285555,-1,0.049294337536515576,-1,0.45447917649812963,0.27083709042790716,-1,0.2517103499226634,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
