model,the,duchess,of,cambridge,joined,the,princes,on,the,garden,tour,.
prince,-1,0.5498302535656552,-1,0.559830292850643,0.4938349753313618,-1,0.3141244204968353,-1,-1,0.31291988321678343,0.27383429485152266,-1
william,-1,0.34988081698524165,-1,0.3846897015310582,0.3168449812959222,-1,0.3882040135474889,-1,-1,0.3304169563221073,0.11051271220549908,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prince,-1,0.5498302535656552,-1,0.559830292850643,0.4938349753313618,-1,0.3141244204968353,-1,-1,0.31291988321678343,0.27383429485152266,-1
harry,-1,0.6203824557595519,-1,0.6899425033024171,0.4876865060914253,-1,0.1165068613842456,-1,-1,0.24421052338311977,0.2601456207679441,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
visited,-1,0.4125892185040211,-1,0.43284253565338116,0.48096617723588353,-1,0.10470220056155399,-1,-1,0.37029293617815795,0.30217919220382483,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
london,-1,0.20080648602496542,-1,0.46440880763748615,0.4056484803170193,-1,0.21852730110190433,-1,-1,0.5591318452745399,0.47340949988224545,-1
memorial,-1,0.1194288472322309,-1,0.2617570228642536,0.19788282048711103,-1,0.25347819880556943,-1,-1,0.5540732005664384,0.3496315632324827,-1
garden,-1,0.23649399810632898,-1,0.4289645789021398,0.22704768015579058,-1,0.36785832979670374,-1,-1,1.0,0.3934240219323676,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,0.2656754039776399,-1,0.279051336827298,0.32075648348222463,-1,0.04042734250961,-1,-1,0.3815332778945626,0.2321505701302078,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,0.0751489759221371,-1,0.1328968731298812,0.1892623246303845,-1,0.06182509461206065,-1,-1,0.3553403744500435,0.41955067087063425,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20th,-1,-0.0761115786761919,-1,0.03221008790656554,0.18938161975060241,-1,-0.012696162511388387,-1,-1,0.3829470196778607,0.41044224830595444,-1
anniversary,-1,-0.004958042211693714,-1,-0.005795857654307346,0.05081242836488631,-1,-0.03341927787189003,-1,-1,0.30878601994092114,0.4179216585847847,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
death,-1,0.10883779146125216,-1,0.19526489857992246,0.21892317629097413,-1,0.040410463760691684,-1,-1,0.3002075576826093,0.19163631872980869,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
