model,their,royal,highnesses,met,gardener,sean,harkin,who,designed,the,display,and,graham,dillamore,who,knew,the,princess,when,he,worked,there,some,30,years,ago,.
prince,-1,0.3520976244163041,-0.15950141885523617,0.6097023008844038,0.29524210853111343,0.49788521558426146,-0.004272022417829202,-1,0.21814837922088925,-1,0.07853788210624246,-1,0.8037860647408882,-0.5238360228006631,-1,0.41419498962540735,-1,0.6041735678220965,-1,-1,0.34171815736117006,-1,-1,0.3181723052557677,0.29380279520775165,0.31047510037470305,-1
william,-1,0.18393738068044985,-0.2387921684707004,0.4636343020137348,0.2623425694509992,0.39782817142748705,0.006082890791836215,-1,0.20524204554648562,-1,0.04580094781901034,-1,0.6740374559948662,-0.4204881165190404,-1,0.3229877015554523,-1,0.4515926438605691,-1,-1,0.26921682706485195,-1,-1,0.2672757293230008,0.23409644308386235,0.2465889201728022,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prince,-1,0.3520976244163041,-0.15950141885523617,0.6097023008844038,0.29524210853111343,0.49788521558426146,-0.004272022417829202,-1,0.21814837922088925,-1,0.07853788210624246,-1,0.8037860647408882,-0.5238360228006631,-1,0.41419498962540735,-1,0.6041735678220965,-1,-1,0.34171815736117006,-1,-1,0.3181723052557677,0.29380279520775165,0.31047510037470305,-1
harry,-1,0.16695868783092638,-0.32368702716597575,0.3923762648110116,0.1357157466334964,0.5766787775701093,0.007813787962322571,-1,0.20566293115602297,-1,0.12302890692455104,-1,0.7410862916771773,-0.4454514875022868,-1,0.3674531241436374,-1,0.27944092843638435,-1,-1,0.2639988333487622,-1,-1,0.23177710276789487,0.22848879946150702,0.22344599420280709,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
visited,-1,0.40749321680590733,0.031209909226719956,0.6916366431406239,0.1191478714040215,0.22927504094240714,-0.14852141142030506,-1,0.2812701277247738,-1,0.12646771678913882,-1,0.3549604635449206,-0.4736517511223801,-1,0.43975490482527557,-1,0.37194042316192677,-1,-1,0.46935840772263204,-1,-1,0.37105484858045945,0.4039354602789197,0.5191291339913822,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
london,-1,0.5314455831050477,0.07698849168474653,0.49468276510016507,0.02711292469910731,0.09549497399466378,-0.3167749659029653,-1,0.3534478824653082,-1,0.2842795081549344,-1,0.30462935243758893,-0.5157635847249904,-1,0.2768577899796911,-1,0.35629660259937856,-1,-1,0.42732839256498845,-1,-1,0.48359843374238465,0.4217188847959634,0.3912376273317767,-1
memorial,-1,0.39543194265974035,0.08112955274992173,0.24412835649897324,0.02579034367670996,-0.10206271908760112,-0.2749480164890554,-1,0.3390610377340384,-1,0.2507851842267489,-1,0.08747644176935332,-0.3405433158281248,-1,0.13651179430318916,-1,0.2909975770509785,-1,-1,0.19187928809996446,-1,-1,0.24627108833357247,0.25345959071582824,0.1945634030495953,-1
garden,-1,0.45823262920089824,0.08021876053006638,0.3091844013442371,0.08332150410506756,0.10545452236917496,-0.31674644820510944,-1,0.3773759520062141,-1,0.33051798233576557,-1,0.23304490980367554,-0.569501043318462,-1,0.2624787191930391,-1,0.3999944243192928,-1,-1,0.28368371275658455,-1,-1,0.24342601033058453,0.3037738294421255,0.3029813089400738,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,0.3465533613242968,-0.0575301902266705,0.6274414059660124,0.10871027343310369,0.32137879254185764,0.025888331902920614,-1,0.2983373864208019,-1,0.14763079399267542,-1,0.4180028794229902,-0.5145099018445054,-1,0.543272750882695,-1,0.5266411558337768,-1,-1,0.44210995888952054,-1,-1,0.38824822331618924,0.45644752616458883,0.4633329125383159,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,0.18751779724936468,-0.15993266315211208,0.1999366716710087,-0.022481626768844132,0.017177451272399558,-0.2415393860475108,-1,0.20828340317718164,-1,0.2733877881778308,-1,0.07917089241237463,-0.38006195633956263,-1,0.10217680433890308,-1,0.27861830912200847,-1,-1,0.1437401467462277,-1,-1,0.35614960174042265,0.3266351088762022,0.3906377924784581,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20th,-1,0.13779692599525395,-0.09202327291728274,0.14111278885123557,-0.04239449805964024,0.05964502983083053,-0.26866637022658413,-1,0.16466446268087753,-1,0.27629537364206014,-1,0.0011008510307759511,-0.45397529210321896,-1,0.07615640453756645,-1,0.2901053268243243,-1,-1,0.11061076346524179,-1,-1,0.29933551986544427,0.3473700349909217,0.39950235360965025,-1
anniversary,-1,0.10121071741484011,-0.0850201316160879,0.16269375567438282,-0.14275292837682385,0.05416723812459989,-0.2083111506133788,-1,0.14254419958617337,-1,0.2124162788916768,-1,0.026331845354101602,-0.30170506308432543,-1,0.07086407231028069,-1,0.17799548065887816,-1,-1,0.07509102731105777,-1,-1,0.21465455323805116,0.31277436214443954,0.32945507595568124,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
death,-1,0.2156759820629559,-0.1511818976668442,0.4145126024964958,0.03674714045906158,0.23227391943644038,-0.12861226044977792,-1,0.24054434293247096,-1,0.17343684085427802,-1,0.28208825319220887,-0.41746180202548366,-1,0.31614836950295744,-1,0.27399202496160135,-1,-1,0.20725652162327446,-1,-1,0.3537194057817752,0.41262139165027867,0.38634837883687523,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
