model,the,white,garden,at,kensington,palace,was,planted,to,mark,20,years,since,princess,diana,died,in,a,car,crash,.
prince,-1,0.45302458626288533,0.31291988321678343,-1,0.31530598440938085,0.5039972402078704,-1,0.15321694869486246,-1,0.612674602948949,0.3318515756600403,0.29380279520775165,-1,0.6041735678220965,0.475501013895662,0.47110970874744273,-1,-1,0.19766486024658325,0.18038856702069517,-1
william,-1,0.37416960652348563,0.3304169563221073,-1,0.20515049931285678,0.36158882904460454,-1,0.1436885390834307,-1,0.5539923416290483,0.26836068522590495,0.23409644308386235,-1,0.4515926438605691,0.32718310274984286,0.3473515381286548,-1,-1,0.19264372079078618,0.08849046230161284,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prince,-1,0.45302458626288533,0.31291988321678343,-1,0.31530598440938085,0.5039972402078704,-1,0.15321694869486246,-1,0.612674602948949,0.3318515756600403,0.29380279520775165,-1,0.6041735678220965,0.475501013895662,0.47110970874744273,-1,-1,0.19766486024658325,0.18038856702069517,-1
harry,-1,0.4477993582448653,0.24421052338311977,-1,0.211342106996118,0.3869713972076885,-1,0.1286530057905101,-1,0.591392276534783,0.2775386330932117,0.22848879946150702,-1,0.27944092843638435,0.17648562334073126,0.2901226281144049,-1,-1,0.19020671920854904,0.10817975065888397,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
visited,-1,0.30487957796631526,0.37029293617815795,-1,0.18414256215330183,0.3313015594015043,-1,0.3162567984321012,-1,0.2845089162999468,0.4175934539723084,0.4039354602789197,-1,0.37194042316192677,0.27086013720659374,0.5294291921549459,-1,-1,0.33062877876543595,0.36703971146377645,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
london,-1,0.27571245190772664,0.5591318452745399,-1,0.3288811679613044,0.4728439123636813,-1,0.09065417169752366,-1,0.29405371334384944,0.5156954404247786,0.4217188847959634,-1,0.35629660259937856,0.22753138505561243,0.44276260382886123,-1,-1,0.43513690916683756,0.44695472076950193,-1
memorial,-1,0.20354779673982626,0.5540732005664384,-1,0.11036509782642323,0.2751256799720123,-1,0.1957853551414791,-1,0.1854415639242225,0.22423454384301233,0.25345959071582824,-1,0.2909975770509785,0.2377424524916465,0.27657592980361034,-1,-1,0.26978645009950153,0.32951752938008294,-1
garden,-1,0.40184283589099823,1.0,-1,0.3889910528926347,0.4815691761809726,-1,0.32418221753419796,-1,0.25177939378490843,0.2835747046029107,0.3037738294421255,-1,0.3999944243192928,0.2324162795412874,0.3608019233713575,-1,-1,0.5416396006346246,0.47847034111891396,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,0.4144741250956512,0.3815332778945626,-1,-0.004166632076919807,0.2503920799211339,-1,0.18628235026355489,-1,0.4394363860828423,0.4283431957289284,0.45644752616458883,-1,0.5266411558337768,0.5267958120128505,0.6738179626585684,-1,-1,0.4153188622001194,0.38375846265115054,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,0.12573678063529303,0.3553403744500435,-1,-0.04425416435816998,0.15288631615041892,-1,0.2700674381658159,-1,0.22158016561090543,0.3521597465187596,0.3266351088762022,-1,0.27861830912200847,0.3337162323803138,0.32752038778920955,-1,-1,0.29011569397710746,0.2846757251034392,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20th,-1,0.1379996860539402,0.3829470196778607,-1,0.05442956417043843,0.22229530590816915,-1,0.2888040288060598,-1,0.33602758914582653,0.33207229214870204,0.3473700349909217,-1,0.2901053268243243,0.3199431027657882,0.24332595083013953,-1,-1,0.14202137028807005,0.19190616274719108,-1
anniversary,-1,0.02745101351711665,0.30878601994092114,-1,-0.08301457071942275,0.09342647832621465,-1,0.12798402729817648,-1,0.5297517709810522,0.2483256456323628,0.31277436214443954,-1,0.17799548065887816,0.24117659769000777,0.13552141955927088,-1,-1,0.09510608047981028,0.16072116230700473,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
death,-1,0.1712365598466855,0.3002075576826093,-1,0.02450411306411282,0.20618865746139214,-1,0.11907210787472067,-1,0.3494105929223271,0.39275752529523333,0.41262139165027867,-1,0.27399202496160135,0.351194556928184,0.5362215016044009,-1,-1,0.27642437053318236,0.463130212760013,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
