model,a,spokeswoman,for,kensington,palace,said,:,``,the,engagement,will,allow,the,princes,to,pay,tribute,to,the,life,and,work,of,their,mother,.
prince,-1,0.3814052436139568,-1,0.31530598440938085,0.5039972402078704,-1,-1,-1,-1,0.14472137349632974,-1,0.17171740438991667,-1,0.3141244204968353,-1,0.21354218429819616,0.37886388562090334,-1,-1,0.21977162535721306,-1,-1,-1,-1,0.5878485886615874,-1
william,-1,0.32547773288848425,-1,0.20515049931285678,0.36158882904460454,-1,-1,-1,-1,0.14417187924631758,-1,0.1149210029659089,-1,0.3882040135474889,-1,0.2901835859799471,0.39478189206706493,-1,-1,0.163990945543949,-1,-1,-1,-1,0.45499636303566215,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prince,-1,0.3814052436139568,-1,0.31530598440938085,0.5039972402078704,-1,-1,-1,-1,0.14472137349632974,-1,0.17171740438991667,-1,0.3141244204968353,-1,0.21354218429819616,0.37886388562090334,-1,-1,0.21977162535721306,-1,-1,-1,-1,0.5878485886615874,-1
harry,-1,0.22572726269640564,-1,0.211342106996118,0.3869713972076885,-1,-1,-1,-1,0.01203445489057331,-1,0.09455914926616737,-1,0.1165068613842456,-1,0.13033368945201684,0.23262217103172134,-1,-1,0.18474764692587797,-1,-1,-1,-1,0.38970553830375654,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
visited,-1,0.24289205001997904,-1,0.18414256215330183,0.3313015594015043,-1,-1,-1,-1,0.1791300634176991,-1,0.34068452770291335,-1,0.10470220056155399,-1,0.21828831160401263,0.27371594225222595,-1,-1,0.2891621375466884,-1,-1,-1,-1,0.465829953151939,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
london,-1,0.3223808268638879,-1,0.3288811679613044,0.4728439123636813,-1,-1,-1,-1,0.271317019002277,-1,0.39562318318716483,-1,0.21852730110190433,-1,0.27378277801858,0.19358264661052516,-1,-1,0.368836682901153,-1,-1,-1,-1,0.3805803284869169,-1
memorial,-1,0.20750475151316705,-1,0.11036509782642323,0.2751256799720123,-1,-1,-1,-1,0.3674850262686712,-1,0.23393070863801813,-1,0.25347819880556943,-1,0.26871787816959913,0.29088206091548585,-1,-1,0.36194909417511,-1,-1,-1,-1,0.2379790921008864,-1
garden,-1,0.18595083623689668,-1,0.3889910528926347,0.4815691761809726,-1,-1,-1,-1,0.3866143668055241,-1,0.2663031292756646,-1,0.36785832979670374,-1,0.26690766019258594,0.22649416320789584,-1,-1,0.4506172645752726,-1,-1,-1,-1,0.3815332778945626,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,0.36397911412043726,-1,-0.004166632076919807,0.2503920799211339,-1,-1,-1,-1,0.28013303146744184,-1,0.32238044369454943,-1,0.04042734250961,-1,0.29535089217889476,0.39175345239306325,-1,-1,0.6530620090695121,-1,-1,-1,-1,1.0,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,-0.011444843205376642,-1,-0.04425416435816998,0.15288631615041892,-1,-1,-1,-1,0.21168863050552666,-1,0.1782636019677286,-1,0.06182509461206065,-1,0.13224517961163162,0.15760915840977463,-1,-1,0.2828634750346145,-1,-1,-1,-1,0.26074606434497527,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20th,-1,-0.066092774568425,-1,0.05442956417043843,0.22229530590816915,-1,-1,-1,-1,0.26896867337002295,-1,0.09704398888045807,-1,-0.012696162511388387,-1,0.10059888243154536,0.09348798867220798,-1,-1,0.3407121363610699,-1,-1,-1,-1,0.24513418831041456,-1
anniversary,-1,0.03985818871270552,-1,-0.08301457071942275,0.09342647832621465,-1,-1,-1,-1,0.3320936274929047,-1,0.11004470704557989,-1,-0.03341927787189003,-1,0.14228861447348196,0.13320283954634826,-1,-1,0.36762394426507594,-1,-1,-1,-1,0.26405600547733543,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
death,-1,0.2273438565450534,-1,0.02450411306411282,0.20618865746139214,-1,-1,-1,-1,0.1943798565225242,-1,0.2326563784253879,-1,0.040410463760691684,-1,0.2335585842988086,0.22526851650086654,-1,-1,0.5384830147411604,-1,-1,-1,-1,0.5388752683511533,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
