model,the,garden,has,been,open,since,spring,and,will,continue,into,september,with,white,roses,lilies,gladioli,and,cosmos,.
prince,-1,0.31291988321678343,-1,-1,0.17852821775535288,-1,0.22764918599923,-1,-1,0.12310664467096144,-1,0.3770545854610099,-1,0.45302458626288533,0.1532721803669883,-0.23042127154243985,-0.5188260750135107,-1,0.13936918738443183,-1
william,-1,0.3304169563221073,-1,-1,0.14237653941127848,-1,0.18450023300425467,-1,-1,0.0811318961494667,-1,0.2788951681460994,-1,0.37416960652348563,0.1380535403647969,-0.11304688852159517,-0.4141304292990229,-1,0.09239792733373087,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prince,-1,0.31291988321678343,-1,-1,0.17852821775535288,-1,0.22764918599923,-1,-1,0.12310664467096144,-1,0.3770545854610099,-1,0.45302458626288533,0.1532721803669883,-0.23042127154243985,-0.5188260750135107,-1,0.13936918738443183,-1
harry,-1,0.24421052338311977,-1,-1,0.1258117344116667,-1,0.174146626448194,-1,-1,0.06457689500817987,-1,0.2427239504788431,-1,0.4477993582448653,0.19808117346387177,-0.20463551680004843,-0.4481270126158301,-1,0.06689931001932037,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
visited,-1,0.37029293617815795,-1,-1,0.31570126575694724,-1,0.20629408700481533,-1,-1,0.2672755301168811,-1,0.40421071032425493,-1,0.30487957796631526,-0.06493280240111732,-0.28308394817592775,-0.4630140755820622,-1,0.21370850849277823,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
london,-1,0.5591318452745399,-1,-1,0.4957973754398344,-1,0.37159105275404825,-1,-1,0.39786931929513525,-1,0.5466416067795438,-1,0.27571245190772664,-0.02525505166623132,-0.1683042003920321,-0.5751339890827185,-1,0.23189987827788305,-1
memorial,-1,0.5540732005664384,-1,-1,0.3358822047529424,-1,0.3029130217969195,-1,-1,0.22789760133680614,-1,0.2564893166843376,-1,0.20354779673982626,0.1623268125845062,-0.1578677248455964,-0.42840375498192507,-1,0.1712136716487146,-1
garden,-1,1.0,-1,-1,0.4685597873918259,-1,0.3878396085304725,-1,-1,0.3124594525194402,-1,0.2838599668674098,-1,0.40184283589099823,0.3764048108882698,0.0613531768815021,-0.6229572723167225,-1,0.33212457570116627,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,0.3815332778945626,-1,-1,0.3236676240160794,-1,0.1300103673450015,-1,-1,0.2862447517117188,-1,0.32513365341406253,-1,0.4144741250956512,0.07765701028650274,-0.26186702258041405,-0.4524639041545384,-1,-0.013665280242898037,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,0.3553403744500435,-1,-1,0.1296310928212434,-1,0.38342743659417744,-1,-1,0.11117944539390034,-1,0.4110972544739082,-1,0.12573678063529303,0.05059838019550289,-0.19545598345347526,-0.35516391879941267,-1,0.4099948808790501,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20th,-1,0.3829470196778607,-1,-1,0.3162247908777469,-1,0.5186250253984499,-1,-1,0.17695245083697553,-1,0.41740082029348713,-1,0.1379996860539402,0.24717781809627914,-0.17834694155935926,-0.4384802534879957,-1,0.11876490847158905,-1
anniversary,-1,0.30878601994092114,-1,-1,0.24332622403630855,-1,0.44954371278907657,-1,-1,0.19390598193568787,-1,0.33097443913912317,-1,0.02745101351711665,0.06564693082914752,-0.24017178906027992,-0.31483845102169106,-1,0.053655788850887065,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
death,-1,0.3002075576826093,-1,-1,0.306086900579561,-1,0.21012451999743498,-1,-1,0.3214667732384935,-1,0.354751248762993,-1,0.1712365598466855,0.003975554624485067,-0.2856052042118393,-0.3517760171062909,-1,0.008596785794980799,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
