model,the,five,engines,broke,off,from,the,spaceship,after,blast,off,and,crashed,somewhere,in,the,atlantic,ocean,.
internet,-1,0.32169184208095136,0.4736829940553111,0.2140190992809523,0.321988495956366,-1,-1,-0.026759335563573128,-1,0.259752320786907,0.321988495956366,-1,0.30919324844865503,0.2569579586905242,-1,-1,0.37776890259990226,0.39048151321417346,-1
giant,-1,0.1846819580579775,0.3506727568792962,0.09247366710564697,0.21048672674401403,-1,-1,0.10918898390676701,-1,0.21547748467114092,0.21048672674401403,-1,0.3759768497505098,0.03533078639681797,-1,-1,0.2441333719840183,0.29965414075360686,-1
amazon,-1,0.16923167980227083,0.32141114330723486,0.10740920107521512,0.17589831233737285,-1,-1,0.19218915402983971,-1,0.05941916156685478,0.17589831233737285,-1,0.2203043496175655,0.276153106520602,-1,-1,0.34650017425969426,0.331607271730744,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
owner,-1,0.3373707286980516,0.2946081972576047,0.3020440364671,0.30855044403071874,-1,-1,0.04600808218974428,-1,0.14205527351127412,0.30855044403071874,-1,0.4042008344814376,0.19700328703981385,-1,-1,0.28063530381476487,0.35668519775654084,-1
jeff,-1,0.041041611078092566,0.010054668205162987,0.0680756185216791,-0.006025770476535852,-1,-1,0.1229341964478996,-1,-0.09554826382526782,-0.006025770476535852,-1,0.12102433052118466,0.0257792512470143,-1,-1,0.21319693414889318,0.18754778495541846,-1
bezos,-1,-0.26779537511914575,-0.23598263022193433,-0.12538746950339363,-0.14089416632825236,-1,-1,0.18879674669012303,-1,-0.3513745346822714,-0.14089416632825236,-1,-0.027064359259618698,-0.050887176080625984,-1,-1,0.06878787401047637,-0.002631534744272024,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
made,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
amazing,-1,0.3517933760105658,0.16926216671664007,0.09393251870548736,0.29582030608088483,-1,-1,-0.0717539144954289,-1,0.3314359791099264,0.29582030608088483,-1,0.11482606733344103,0.3500271196272723,-1,-1,0.08888015146298467,0.15734135715009467,-1
underwater,-1,0.10250871664939665,0.5880493327245464,0.15025535864939032,0.18239554464656804,-1,-1,0.26918866530331287,-1,0.42420995299209996,0.18239554464656804,-1,0.41195299080839154,0.15790197750095492,-1,-1,0.31998873616456325,0.3547870177372012,-1
discovery,-1,0.349092838358531,0.3782407853616331,0.29645902210994657,0.2817194038667924,-1,-1,0.15264489641908718,-1,0.519578957975265,0.2817194038667924,-1,0.3446094727698932,0.11378118756665012,-1,-1,0.25700625387560605,0.29905785727153866,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
