model,'',he,said,he,was,going,to,ask,nasa,which,owns,the,rockets,for,permission,to,display,one,of,the,engines,in,the,museum,of,flight,in,his,home,city,of,seattle,.
internet,-1,-1,-1,-1,-1,0.4024284346602298,-1,0.4224903526822803,0.21043235167550023,-1,0.5578462756386,-1,0.1302252241249342,-1,0.29097553974040546,-1,0.3403540885041749,0.4409809896886442,-1,-1,0.4736829940553111,-1,-1,0.2766959197606542,-1,0.3607797133002161,-1,-1,0.3098338690058078,0.27723125405384597,-1,0.08586622893971219,-1
giant,-1,-1,-1,-1,-1,0.27403718599716265,-1,0.07056886413259056,0.22893200898059363,-1,0.5562674223929482,-1,0.22550860360400338,-1,0.056833443268975326,-1,0.16452848052952307,0.3278192221719982,-1,-1,0.3506727568792962,-1,-1,0.25783196318200086,-1,0.2536478359600868,-1,-1,0.1700159445950714,0.1409353179858942,-1,0.07589878349159518,-1
amazon,-1,-1,-1,-1,-1,0.2386218351627224,-1,0.24400889004332138,0.3185034438275506,-1,0.40509297364606955,-1,0.2458873873220121,-1,0.1445494196288859,-1,0.13455767302001753,0.28253980964641623,-1,-1,0.32141114330723486,-1,-1,0.18411287967733447,-1,0.2408838700420307,-1,-1,0.22074641586026378,0.23425394053041337,-1,0.07318510601835349,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
owner,-1,-1,-1,-1,-1,0.3435776467009717,-1,0.3478528865127324,0.5231589014438475,-1,0.5632389086851901,-1,0.1777985083623107,-1,0.3275048185076712,-1,0.2193853672946533,0.4679277085219742,-1,-1,0.2946081972576047,-1,-1,0.5143085441268321,-1,0.4639491228441801,-1,-1,0.43104313233327773,0.48812896063042666,-1,0.1129219754716424,-1
jeff,-1,-1,-1,-1,-1,0.0363438773587077,-1,0.14923937048389924,0.38902431765534984,-1,0.2493099745533246,-1,0.06219235491441555,-1,0.08175869436435035,-1,-0.011176994039809873,0.12551725057060092,-1,-1,0.010054668205162987,-1,-1,0.20968943998790124,-1,0.06973345174749856,-1,-1,0.13301552592065136,0.16163043578720293,-1,0.3401340299420801,-1
bezos,-1,-1,-1,-1,-1,-0.20438907381732152,-1,-0.05420666997136836,0.14780630533642736,-1,0.021593242220680042,-1,0.03192936380374867,-1,0.03860987829006224,-1,-0.25793790984264664,-0.18609586468008832,-1,-1,-0.23598263022193433,-1,-1,-0.03073219069542188,-1,-0.20045485334284452,-1,-1,-0.0810390925887543,-0.04501790534744643,-1,0.34123567818290956,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
made,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
amazing,-1,-1,-1,-1,-1,0.5317076184577488,-1,0.40295713150524093,0.13873927964728106,-1,0.24353266225286618,-1,0.017039719485763882,-1,0.1855770626074874,-1,0.40758999398423157,0.413121015793795,-1,-1,0.16926216671664007,-1,-1,0.3217254575439199,-1,0.22239792517338508,-1,-1,0.2471311018824437,0.27980577340188717,-1,0.03189989634980661,-1
underwater,-1,-1,-1,-1,-1,0.11758911954117002,-1,0.034676558534482926,-0.08434980489249377,-1,0.26023378301566336,-1,0.44056722110059665,-1,0.15862253727175435,-1,0.37824467253570726,0.18837673389949428,-1,-1,0.5880493327245464,-1,-1,0.2627519912682694,-1,0.4115247951769089,-1,-1,0.08932129145849332,0.04990266795768361,-1,0.07084714160968697,-1
discovery,-1,-1,-1,-1,-1,0.3299325205506187,-1,0.24054657325418627,0.28817293299645175,-1,0.3694291456324127,-1,0.17888926692464713,-1,0.1836313632109866,-1,0.4416734912493576,0.49740345294641397,-1,-1,0.3782407853616331,-1,-1,0.42404033518195294,-1,0.3571554714549121,-1,-1,0.28879704406189755,0.37385536154387133,-1,0.060818687651249426,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
