model,he,'s,now,planning,on,trying,to,bring,one,of,them,to,the,surface,.
internet,-1,-1,-1,0.3769757106210383,-1,0.40883638634159625,-1,0.4346643040364039,0.4409809896886442,-1,-1,-1,-1,0.5884923438017715,-1
giant,-1,-1,-1,0.17409990507423978,-1,0.23209473400174319,-1,0.210141852064206,0.3278192221719982,-1,-1,-1,-1,0.39051909196655266,-1
amazon,-1,-1,-1,0.1907422648224607,-1,0.17278380177603392,-1,0.19221724719342104,0.28253980964641623,-1,-1,-1,-1,0.3052495859669353,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
owner,-1,-1,-1,0.3502272652021716,-1,0.3657687245014527,-1,0.3477895099279126,0.4679277085219742,-1,-1,-1,-1,0.283111516107043,-1
jeff,-1,-1,-1,0.11312086527371701,-1,0.022745373091902166,-1,0.027049003965589846,0.12551725057060092,-1,-1,-1,-1,-0.053502956090489606,-1
bezos,-1,-1,-1,-0.08034978028341766,-1,-0.08208650655247429,-1,-0.16064569072657275,-0.18609586468008832,-1,-1,-1,-1,-0.3211699560420831,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
made,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
amazing,-1,-1,-1,0.2884725550772549,-1,0.3921738127625721,-1,0.4003581386743811,0.413121015793795,-1,-1,-1,-1,0.42202768525868994,-1
underwater,-1,-1,-1,0.20410331138083015,-1,0.20155379740487822,-1,0.08979923372981746,0.18837673389949428,-1,-1,-1,-1,0.4818674079770562,-1
discovery,-1,-1,-1,0.4095925580901377,-1,0.31852035302587034,-1,0.3735868375236391,0.49740345294641397,-1,-1,-1,-1,0.5000815901525782,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
