model,in,a,blog,post,about,the,discovery,he,wrote,:,``,i,was,five,years,old,when,i,watched,apollo,11,unfold,on,television,and,without,any,doubt,it,was,a,big,contributor,to,my,passions,for,science,engineering,and,exploration,.
internet,-1,-1,0.3127966725504485,0.35333453155143224,-1,-1,0.43696822183863815,-1,0.3624643218697239,-1,-1,-1,-1,0.32169184208095136,0.3304984861052934,0.27406485867067465,-1,-1,0.2861742889149439,0.06232371832628969,0.32368532596058286,0.14698060198444196,-1,0.5164962960852194,-1,0.5020457011446844,0.464488738247704,0.22364472523062795,-1,-1,-1,0.36187952866086737,0.13087962853696966,-1,0.29811148333519544,0.1849597051418026,-1,0.6274481341848839,0.6650838421701384,-1,0.45512284328459285,-1
giant,-1,-1,0.2730877870299959,0.22498516440365424,-1,-1,0.3635304350034245,-1,0.25710017032826005,-1,-1,-1,-1,0.1846819580579775,0.23530697613380336,0.22067000180554708,-1,-1,0.11902287168122949,0.18109594214802827,0.16531511771872354,0.035657057577578755,-1,0.37783097395208587,-1,0.10630867143151912,0.14148968973833265,0.03987098364888497,-1,-1,-1,0.40376253513049587,0.23373620102004633,-1,0.12196424095538483,0.03328227555329022,-1,0.37564287234322813,0.5554323276168354,-1,0.5849382890832491,-1
amazon,-1,-1,0.28902665647386383,0.2508297497045735,-1,-1,0.24527279542875569,-1,0.31610355996738193,-1,-1,-1,-1,0.16923167980227083,0.19830609033165925,0.1438253930911495,-1,-1,0.21009538934180716,0.15265548608769308,0.17123238199791402,0.2084135129902578,-1,0.3592532560160755,-1,0.16091308644951818,0.1820751964750822,0.1325262374982492,-1,-1,-1,0.25882420632110703,0.1242768118646046,-1,0.07371595570257372,-0.041615676175142946,-1,0.3173853249184291,0.3526374104181039,-1,0.32022568895148895,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
owner,-1,-1,0.4217313209529179,0.39170531446615453,-1,-1,0.42727254153089755,-1,0.5357544034148352,-1,-1,-1,-1,0.3373707286980516,0.3666609275851702,0.47961692109148246,-1,-1,0.22474125385187338,0.10836044829978153,0.2584484037922561,-0.2075164780504164,-1,0.35305466786192274,-1,0.3373609421031226,0.28827953749937496,0.2601436310713724,-1,-1,-1,0.23973151484495347,0.006963996728885369,-1,0.4121220606200239,-0.010470206839410912,-1,0.48737047300068825,0.48884077980888363,-1,0.21892330149225137,-1
jeff,-1,-1,0.18986814997102608,0.11003541652644533,-1,-1,0.15878956846542858,-1,0.37873040462325513,-1,-1,-1,-1,0.041041611078092566,0.0899778035417117,0.05150089168281091,-1,-1,0.05397909282777846,0.08121976018986721,0.059536241688785685,-0.13140150117838578,-1,0.0577991164710675,-1,-0.04634371390157477,-0.015958437667176417,0.10407051372103637,-1,-1,-1,-0.010960647008968927,-0.010836978846299639,-1,0.023483672455034466,-0.04082101452058273,-1,0.3774230485163682,0.2413775327761447,-1,-0.10171384161734864,-1
bezos,-1,-1,0.04158978236496069,-0.027539832186394886,-1,-1,-0.16970238697071882,-1,0.1412617161244697,-1,-1,-1,-1,-0.26779537511914575,-0.1949301643401664,-0.1596920587595645,-1,-1,-0.11315523622484203,-0.10368869528182456,-0.28525924533449554,-0.16548392789120836,-1,-0.18978200350336483,-1,-0.2926614495323212,-0.2677910961325596,-0.11024598851016698,-1,-1,-1,-0.21524124485764795,-0.05633075712500668,-1,-0.25153612470843134,-0.13827540300327157,-1,0.006355028760175352,-0.09125724308607519,-1,-0.1558278074030537,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
made,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
amazing,-1,-1,0.30712847467958415,0.22649290750581386,-1,-1,0.5247910299877899,-1,0.4110765971332988,-1,-1,-1,-1,0.3517933760105658,0.40589239015733236,0.35760113911351077,-1,-1,0.40881197102306843,-0.07210439748064612,0.2915782163656948,0.2864552107176307,-1,0.3611687173098832,-1,0.33637863513646893,0.2946188234107979,0.3551883288475929,-1,-1,-1,0.4614742426407532,0.1749691089837937,-1,0.49480604533163797,0.22806366338899275,-1,0.3448054648831691,0.3492705563020999,-1,0.13212625996132488,-1
underwater,-1,-1,0.21697321892781907,0.10763781039996556,-1,-1,0.3772802794739465,-1,0.05658208605043613,-1,-1,-1,-1,0.10250871664939665,0.1010864978513989,0.1248043675535836,-1,-1,0.21410019648793843,0.2032514041977257,0.07869495935772897,0.24285197139561887,-1,0.3251905374741917,-1,0.21841616896273774,0.1314002517876558,0.049023487532107834,-1,-1,-1,0.03375059099732469,0.1197093386772875,-1,0.07395097800463113,0.19062688051252952,-1,0.26443984392525033,0.4721129795144341,-1,0.6090700938824499,-1
discovery,-1,-1,0.47598446645109194,0.35357854339425376,-1,-1,1.0,-1,0.38737285070008687,-1,-1,-1,-1,0.349092838358531,0.40574494460074906,0.3761657253833579,-1,-1,0.2424968730173399,0.07366863263687029,0.38238964715940926,0.2130624633094188,-1,0.4227394738349819,-1,0.39409546548000896,0.4601915965911455,0.35663033122565224,-1,-1,-1,0.43031052168351513,0.21131130289545563,-1,0.3344868321206258,0.18880350551512992,-1,0.5001787599848587,0.4589417884655369,-1,0.28106914548384854,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
