model,the,intention,is,to,get,some,insights,into,the,processes,that,have,sculpted,the,dwarf,since,its,formation,with,the,rest,of,the,solar,system,some,4.5,billion,years,year,ago,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fascinating,-1,0.241489779181165,-1,-1,0.27465621634384196,-1,0.5434162084725347,-1,-1,0.35952140453316517,-1,-1,0.08518766587748017,-1,0.2639374927181597,-1,-1,0.369419236719316,-1,-1,0.2886681214187923,-1,-1,0.12460544276733543,0.1564604512309744,-1,0.0835034318516582,-0.006189301156028115,0.1724893344078121,0.2989998292314442,0.175614663688904,-1
bright,-1,0.2649764856238318,-1,-1,0.30665695640932156,-1,0.08179528374335976,-1,-1,0.36062180768209473,-1,-1,0.05623279944780557,-1,0.14436746765276687,-1,-1,0.2989225224160931,-1,-1,0.3340812855862566,-1,-1,0.08184420931219183,0.25005631730551836,-1,0.007056348311479055,-0.2245398677501338,0.2455411415414137,0.23582745073359102,0.2131987177503687,-1
spots,-1,0.053692577317083434,-1,-1,0.2801957815597593,-1,0.03088871741917576,-1,-1,0.24840143040605522,-1,-1,-0.052481422563387836,-1,0.3102538196136281,-1,-1,0.22184632197257648,-1,-1,0.30092397858658737,-1,-1,0.14085354671056904,0.15206703307406422,-1,-0.031379712069977694,-0.0770569944873023,0.16607955052459134,0.17155825566515592,0.14363981392459002,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
surface,-1,0.30144356351654233,-1,-1,0.43759382669574387,-1,0.31412570656248595,-1,-1,0.44034216870317955,-1,-1,-0.07949032461533712,-1,0.2520109135246985,-1,-1,0.584735521609219,-1,-1,0.5917303225938818,-1,-1,0.413121208336484,0.46973149194052977,-1,0.29535141116174213,0.41638004763908,0.3465093510005024,0.40768848658234047,0.3085683315482932,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dwarf,-1,0.02675181221852696,-1,-1,-0.00981993117938651,-1,0.09281812768830477,-1,-1,-0.07460051051700023,-1,-1,0.05763650085288874,-1,1.0,-1,-1,0.22361115127123055,-1,-1,0.057056726959865744,-1,-1,0.17025743947867644,0.022038288778779225,-1,0.05573839236337541,-0.07062770056063172,-0.08150341221759794,-0.023895801544879358,-0.044253417639677606,-1
planet,-1,0.21111966677949745,-1,-1,0.3334659400936244,-1,0.2896375631717075,-1,-1,0.2553413559859117,-1,-1,-0.060116247094462505,-1,0.7615400990312189,-1,-1,0.46020077513158186,-1,-1,0.4325933211971509,-1,-1,0.36325024012492513,0.33699893720143703,-1,0.18550764171887923,0.14386240773312653,0.23040752425832967,0.32789493638022593,0.24341922876575472,-1
ceres,-1,-0.09654145181298546,-1,-1,-0.23258074791608596,-1,-0.07300239416667909,-1,-1,-0.26857806788571614,-1,-1,-0.08031876938041571,-1,0.3730340114489106,-1,-1,0.015194787528409637,-1,-1,-0.1638184699549632,-1,-1,-0.11314113899226541,-0.25874367464673664,-1,-0.005549522839370935,-0.04533194405722707,-0.13413062392750397,-0.21732965872223797,-0.16123264392873082,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
come,-1,0.35807503274668384,-1,-1,0.6155780232963389,-1,0.2645843415731013,-1,-1,0.30314678649006677,-1,-1,-0.18828857337833393,-1,0.026484810059098973,-1,-1,0.3207275484801617,-1,-1,0.72453956581963,-1,-1,0.1732462333902689,0.36174843460875605,-1,0.14362121470854095,0.14463983630571253,0.5242404074619773,0.5475901654241833,0.4851797458500815,-1
into,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sharper,-1,0.11366336268535249,-1,-1,0.3172033548625697,-1,0.4750745947131667,-1,-1,0.20187911867381225,-1,-1,0.37298151892796416,-1,0.17931565478561906,-1,-1,0.3104697231034933,-1,-1,0.19666143882500953,-1,-1,0.1902543525328262,0.12905922613000265,-1,0.2205871915957902,0.0499833090825208,0.013748423656448794,0.10904268520246108,0.07052749233250188,-1
view,-1,0.46139745354788086,-1,-1,0.42512145487819075,-1,0.21947227789075696,-1,-1,0.42038665841979017,-1,-1,-0.15905140775598947,-1,0.14235582384911682,-1,-1,0.4488470784204517,-1,-1,0.5434865052481174,-1,-1,0.17208345361023059,0.40585637809510433,-1,0.10852060870443958,0.09701522784415195,0.3182861454014785,0.33628776763025503,0.2999336978444028,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
