model,jonathan.amos-internet@bbc.co.uk,and,follow,me,on,twitter,:,@bbcamos,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
fascinating,-1,-1,0.15649443195135282,0.35626677515402316,-1,0.21472334801475512,-1,-1,-1
bright,-1,-1,0.22374092209758611,0.3461834681332078,-1,0.2714266608268838,-1,-1,-1
spots,-1,-1,0.03276513657382352,0.1262547939950982,-1,0.13371619193565887,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
surface,-1,-1,0.2123281085392964,0.3759203993247653,-1,0.29257648068417685,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
dwarf,-1,-1,0.1692125807060093,0.05682499069252045,-1,0.2797993680899806,-1,-1,-1
planet,-1,-1,0.27618753272167385,0.3042868418881586,-1,0.4358026579948129,-1,-1,-1
ceres,-1,-1,-0.19985745587047665,-0.11803868567069875,-1,-0.12569545806473004,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1
come,-1,-1,0.39601105088704747,0.6235755236708204,-1,0.3497730552678062,-1,-1,-1
into,-1,-1,-1,-1,-1,-1,-1,-1,-1
sharper,-1,-1,0.09536947962120501,0.19337528180105834,-1,0.06607516623713061,-1,-1,-1
view,-1,-1,0.24168325435300753,0.4111388518144201,-1,0.35632134000431137,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
