model,what,were,initially,thought,to,be,just,a,couple,of,brilliant,closely,spaced,features,at,one,location,now,turn,out,to,be,a,clutch,of,many,smaller,dots,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fascinating,-1,-1,0.13384843794027135,0.31630264569159894,-1,-1,0.31766582544182487,-1,0.20459181248024705,-1,0.5221365219098207,0.21987503448763612,-0.04368895126170491,0.3377157960968663,-1,0.3132139144912187,0.5250066859162862,-1,0.3656009145437469,-1,-1,-1,-1,0.2602573926235451,-1,-1,0.3385739600225328,0.08238686316161747,-1
bright,-1,-1,0.1904758343933345,0.36683453866475413,-1,-1,0.3712689246567581,-1,0.28690168527719717,-1,0.3724143824760404,0.21327903087895272,-0.18384461035394883,0.26247473654071607,-1,0.32086054503730355,0.35726277600651735,-1,0.28115765651601776,-1,-1,-1,-1,0.10873614644793284,-1,-1,0.3042692396824248,0.0063344657271565685,-1
spots,-1,-1,-0.045562945288909695,0.1112722230116644,-1,-1,0.24979243931522466,-1,0.2892162738475659,-1,0.21544489746586015,0.02964817627353178,-0.053600447448945765,0.2105236774220024,-1,0.42895650149551734,0.4043439272467342,-1,0.31016263215042517,-1,-1,-1,-1,0.27858556784223043,-1,-1,0.3742782762364736,0.327297201863497,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
surface,-1,-1,0.1939664794578685,0.44399658538002984,-1,-1,0.548847071624524,-1,0.27780760617604683,-1,0.353487146801833,0.24656986851317764,-0.14413459787344807,0.3213845323680776,-1,0.42694499318846146,0.6459737324953734,-1,0.5417687031828495,-1,-1,-1,-1,0.19488959031597053,-1,-1,0.5715211916866363,0.09613391573505325,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dwarf,-1,-1,-0.2357104943744115,-0.04862101319871592,-1,-1,0.09903328400417843,-1,-0.07995081788845315,-1,0.15971619661168857,-0.06497174919742887,-0.05866894123295818,0.1646369727216761,-1,0.06746037792130222,0.18395118512490816,-1,0.14090425472699808,-1,-1,-1,-1,0.01334859814268452,-1,-1,0.1438504311123736,0.43593057604079655,-1
planet,-1,-1,-0.025887684907685893,0.30057355661470964,-1,-1,0.44378918225876207,-1,0.21912662993211418,-1,0.42965019889291933,0.1183105206240237,-0.1857004988281561,0.3315465302324575,-1,0.39997346425193037,0.5764408782338214,-1,0.44717197202865466,-1,-1,-1,-1,0.046804356942763525,-1,-1,0.4222008051251984,0.2573987288445787,-1
ceres,-1,-1,-0.3073109724986858,-0.22570571183268306,-1,-1,-0.12675412820377474,-1,-0.14852549807970084,-1,-0.14817500301329067,-0.2508046281061551,-0.08243043521996363,-0.1632687586718118,-1,-0.10209786373177576,-0.049149338074223614,-1,-0.06313696285387294,-1,-1,-1,-1,0.08725790423738022,-1,-1,-0.22590604376814705,0.18843618829551423,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
come,-1,-1,0.3635113303158144,0.5832651545153377,-1,-1,0.6656126557224423,-1,0.5307174882403017,-1,0.4102565732518275,0.2874256021909173,-0.10890788722784439,0.3281424485397739,-1,0.46999713111754104,0.4274061863684444,-1,0.6634817552127584,-1,-1,-1,-1,0.01036689291142967,-1,-1,0.46133567909322215,0.03434733688548264,-1
into,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sharper,-1,-1,0.0960144643721984,0.17193148543225778,-1,-1,0.19187990993762205,-1,0.13506375101052714,-1,0.22383214393515782,0.23163201716750115,0.16267935818442036,0.16245101407873141,-1,0.021482927034158883,0.18298412597834268,-1,0.27946475886519084,-1,-1,-1,-1,0.26747114261211946,-1,-1,0.4055851543576299,0.20472826437436975,-1
view,-1,-1,0.23117433589498948,0.5131173231081684,-1,-1,0.5260655440894647,-1,0.3304293608975497,-1,0.3525791178799631,0.16893803787847306,-0.24768976889790317,0.43723908769304165,-1,0.5116550350574793,0.6211425908277638,-1,0.46567264691196864,-1,-1,-1,-1,0.1461910572449472,-1,-1,0.42191112545446163,-0.00601848480916245,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
